stimulus,angle,response,time
23,-18.50,right,1474464146.038246
95,17.50,right,1474464154.002898
61,0.50,left,1474464155.457079
16,-22.00,left,1474464156.897682
72,6.00,right,1474464158.557093
82,11.00,right,1474464159.915932
15,-22.50,left,1474464161.421442
48,-6.00,left,1474464162.860437
73,6.50,right,1474464164.381553
43,-8.50,left,1474464165.891312
86,13.00,right,1474464167.385087
116,28.00,right,1474464168.920954
20,-20.00,left,1474464170.373847
89,14.50,right,1474464172.018666
107,23.50,right,1474464173.348348
81,10.50,right,1474464174.963735
57,-1.50,left,1474464176.430629
84,12.00,right,1474464177.979921
63,1.50,left,1474464179.583574
117,28.50,right,1474464181.091265
88,14.00,right,1474464182.571616
18,-21.00,left,1474464184.201644
71,5.50,right,1474464185.626236
21,-19.50,left,1474464187.106360
26,-17.00,left,1474464188.626767
42,-9.00,left,1474464190.148364
100,20.00,right,1474464191.709461
44,-8.00,left,1474464193.341063
78,9.00,right,1474464194.833740
6,-27.00,left,1474464196.287273
47,-6.50,left,1474464197.725955
53,-3.50,left,1474464199.192378
8,-26.00,left,1474464200.837325
66,3.00,right,1474464202.252020
80,10.00,right,1474464203.485390
9,-25.50,left,1474464204.993918
31,-14.50,left,1474464206.474011
98,19.00,right,1474464207.981660
24,-18.00,left,1474464209.612617
1,-29.50,left,1474464210.968748
13,-23.50,left,1474464212.395146
52,-4.00,left,1474464214.150498
102,21.00,right,1474464215.410968
101,20.50,right,1474464216.823747
109,24.50,right,1474464218.263143
7,-26.50,left,1474464219.896024
30,-15.00,left,1474464221.376422
99,19.50,right,1474464222.829622
77,8.50,right,1474464224.407398
28,-16.00,left,1474464225.764578
27,-16.50,left,1474464227.299864
104,22.00,right,1474464228.821932
118,29.00,right,1474464230.206544
94,17.00,right,1474464231.714626
51,-4.50,left,1474464233.360859
40,-10.00,left,1474464234.814256
0,-30.00,left,1474464236.459811
34,-13.00,left,1474464237.844560
3,-28.50,left,1474464239.270123
83,11.50,right,1474464240.955919
64,2.00,right,1474464242.312840
33,-13.50,left,1474464243.874980
37,-11.50,left,1474464245.272741
17,-21.50,left,1474464246.685908
46,-7.00,left,1474464248.263158
75,7.50,right,1474464249.882938
12,-24.00,left,1474464251.349444
112,26.00,right,1474464252.911974
50,-5.00,left,1474464254.501411
22,-19.00,left,1474464255.845154
49,-5.50,left,1474464257.462214
108,24.00,right,1474464258.900889
106,23.00,right,1474464260.299314
41,-9.50,left,1474464262.027014
91,15.50,right,1474464263.410099
39,-10.50,left,1474464264.945235
38,-11.00,left,1474464266.478213
25,-17.50,left,1474464267.863042
10,-25.00,left,1474464269.273949
14,-23.00,left,1474464270.671138
65,2.50,right,1474464272.246456
56,-2.00,right,1474464273.782373
76,8.00,right,1474464275.386707
69,4.50,right,1474464276.907747
97,18.50,right,1474464278.443226
90,15.00,right,1474464279.897068
62,1.00,left,1474464281.487997
19,-20.50,left,1474464282.955441
103,21.50,right,1474464284.465172
54,-3.00,right,1474464286.193992
68,4.00,right,1474464287.591260
4,-28.00,left,1474464289.017359
96,18.00,right,1474464290.552367
60,0.00,left,1474464292.375023
55,-2.50,left,1474464293.745235
67,3.50,left,1474464295.333994
5,-27.50,left,1474464296.759504
92,16.00,right,1474464298.184396
105,22.50,right,1474464299.636827
74,7.00,right,1474464301.075328
114,27.00,right,1474464302.459442
93,16.50,right,1474464303.857205
35,-12.50,left,1474464305.489442
59,-0.50,right,1474464307.121806
11,-24.50,left,1474464308.438814
2,-29.00,left,1474464310.027965
70,5.00,right,1474464311.633098
32,-14.00,left,1474464313.111949
87,13.50,right,1474464314.635586
45,-7.50,right,1474464316.322890
79,9.50,right,1474464317.679502
115,27.50,right,1474464319.077422
36,-12.00,left,1474464320.599028
58,-1.00,left,1474464322.176958
113,26.50,right,1474464323.480583
85,12.50,right,1474464325.056716
110,25.00,right,1474464326.508863
111,25.50,right,1474464328.084920
29,-15.50,right,1474464329.577783
119,29.50,right,1474464331.223430
