object,stimulus,angle,response,time
low,44,27.00,right,1468829954.083998
low,59,34.50,right,1468829991.434749
low,89,49.50,right,1468829992.928786
high,6,8.00,left,1468829994.341461
mid,115,62.50,right,1468829995.901449
low,106,58.00,right,1468829997.504396
high,74,42.00,right,1468829998.969766
high,56,33.00,right,1468830000.626935
high,2,6.00,left,1468830002.011160
mid,87,48.50,right,1468830003.618356
mid,17,13.50,left,1468830005.016123
mid,117,63.50,right,1468830006.563626
mid,53,31.50,left,1468830008.111870
low,95,52.50,right,1468830009.661404
low,99,54.50,right,1468830011.249918
mid,51,30.50,left,1468830012.771345
high,95,52.50,right,1468830014.318085
high,28,19.00,left,1468830015.772929
mid,48,29.00,left,1468830017.460203
high,16,13.00,left,1468830018.898266
high,84,47.00,right,1468830020.282454
low,23,16.50,left,1468830021.763346
low,20,15.00,left,1468830023.313266
mid,65,37.50,right,1468830024.931920
mid,32,21.00,left,1468830026.360492
low,43,26.50,left,1468830027.910368
mid,85,47.50,right,1468830029.488622
low,9,9.50,left,1468830030.817321
high,107,58.50,right,1468830032.242878
high,113,61.50,right,1468830033.627447
low,93,51.50,right,1468830035.245731
low,69,39.50,left,1468830036.904305
mid,80,45.00,right,1468830038.493594
mid,79,44.50,right,1468830039.742122
high,36,23.00,left,1468830041.154685
high,106,58.00,right,1468830042.744446
low,46,28.00,left,1468830044.143226
mid,56,33.00,left,1468830045.668393
high,0,5.00,left,1468830047.164802
high,30,20.00,left,1468830048.727030
mid,55,32.50,left,1468830050.191877
high,47,28.50,left,1468830051.673881
low,42,26.00,left,1468830053.126007
high,105,57.50,right,1468830054.618691
low,11,10.50,left,1468830056.084267
mid,104,57.00,right,1468830057.701343
low,27,18.50,left,1468830059.183282
mid,6,8.00,left,1468830060.624015
high,92,51.00,right,1468830062.185652
high,9,9.50,left,1468830063.707630
low,109,59.50,right,1468830065.256020
high,61,35.50,left,1468830067.022833
mid,49,29.50,left,1468830068.532087
low,96,53.00,right,1468830069.874081
mid,103,56.50,right,1468830071.628724
low,118,64.00,right,1468830073.038752
high,17,13.50,left,1468830074.464413
mid,113,61.50,right,1468830076.084202
mid,52,31.00,left,1468830077.494763
low,36,23.00,left,1468830078.975806
mid,9,9.50,left,1468830080.496518
low,110,60.00,right,1468830082.156005
mid,28,19.00,left,1468830083.457852
high,89,49.50,right,1468830085.021429
mid,22,16.00,left,1468830086.514266
low,51,30.50,right,1468830088.269444
high,72,41.00,right,1468830089.584284
high,117,63.50,right,1468830091.134605
low,21,15.50,left,1468830092.643010
high,57,33.50,left,1468830094.277264
low,88,49.00,right,1468830095.702253
mid,60,35.00,left,1468830097.376151
high,86,48.00,right,1468830098.775108
low,5,7.50,left,1468830100.294995
mid,96,53.00,right,1468830101.899528
mid,14,12.00,left,1468830103.365888
high,46,28.00,left,1468830105.012654
mid,45,27.50,left,1468830106.603021
low,33,21.50,left,1468830108.152707
high,48,29.00,left,1468830109.550903
low,8,9.00,left,1468830111.058094
mid,111,60.50,right,1468830112.525215
low,40,25.00,left,1468830113.950718
high,51,30.50,left,1468830115.594638
low,114,62.00,right,1468830116.896422
high,13,11.50,left,1468830118.320712
low,119,64.50,right,1468830119.799119
mid,63,36.50,left,1468830121.401906
mid,4,7.00,left,1468830122.867512
low,79,44.50,right,1468830124.390121
low,94,52.00,right,1468830125.912208
mid,7,8.50,left,1468830127.445728
mid,105,57.50,right,1468830128.941501
high,15,12.50,left,1468830130.407777
high,1,5.50,left,1468830131.791446
high,42,26.00,left,1468830133.422062
high,80,45.00,right,1468830134.655811
low,65,37.50,right,1468830136.299341
mid,88,49.00,right,1468830137.808298
high,76,43.00,right,1468830139.370481
mid,58,34.00,left,1468830141.018043
low,57,33.50,left,1468830142.431747
high,3,6.50,left,1468830143.995217
mid,92,51.00,right,1468830145.474967
low,78,44.00,left,1468830146.847414
high,119,64.50,right,1468830148.412780
mid,25,17.50,left,1468830149.825581
low,39,24.50,left,1468830151.334356
low,55,32.50,left,1468830152.924075
high,54,32.00,right,1468830154.598427
low,112,61.00,left,1468830156.119353
mid,84,47.00,left,1468830157.475351
mid,93,51.50,right,1468830159.065280
low,45,27.50,left,1468830160.547057
high,68,39.00,right,1468830162.053593
high,104,57.00,right,1468830163.492152
mid,27,18.50,left,1468830165.176594
low,49,29.50,left,1468830166.615559
high,91,50.50,right,1468830168.098512
mid,29,19.50,left,1468830169.704221
high,38,24.00,left,1468830203.306826
mid,30,20.00,left,1468830204.664083
low,26,18.00,left,1468830206.034208
high,110,60.00,right,1468830207.542945
mid,47,28.50,left,1468830209.174293
low,47,28.50,left,1468830210.545404
mid,59,34.50,left,1468830212.246432
high,29,19.50,right,1468830213.645005
high,75,42.50,right,1468830215.247765
low,56,33.00,left,1468830216.797614
low,84,47.00,right,1468830218.840242
mid,74,42.00,right,1468830220.048569
mid,13,11.50,left,1468830221.270000
low,101,55.50,right,1468830222.817558
high,64,37.00,right,1468830224.449438
mid,50,30.00,left,1468830225.985628
low,77,43.50,right,1468830227.522105
low,15,12.50,left,1468830229.114159
high,65,37.50,right,1468830230.608826
high,58,34.00,right,1468830232.208873
high,73,41.50,left,1468830233.813238
mid,20,15.00,left,1468830235.278432
low,74,42.00,right,1468830236.828711
mid,23,16.50,right,1468830238.487264
low,71,40.50,left,1468830239.556493
high,32,21.00,right,1468830241.160777
high,81,45.50,right,1468830242.517791
low,18,14.00,left,1468830243.997560
low,113,61.50,right,1468830245.451966
mid,34,22.00,left,1468830247.054320
low,80,45.00,right,1468830248.700011
mid,24,17.00,left,1468830250.082763
high,103,56.50,right,1468830251.591039
high,78,44.00,right,1468830252.990454
mid,19,14.50,left,1468830254.430012
mid,10,10.00,left,1468830255.992506
high,85,47.50,right,1468830257.597219
low,116,63.00,right,1468830259.202161
mid,86,48.00,right,1468830260.846665
high,83,46.50,right,1468830262.325447
mid,69,39.50,right,1468830264.010500
high,112,61.00,right,1468830265.491088
low,75,42.50,left,1468830266.957512
low,7,8.50,left,1468830268.303719
high,69,39.50,right,1468830269.851203
mid,44,27.00,right,1468830271.428227
low,54,32.00,left,1468830272.866782
mid,11,10.50,left,1468830274.704003
high,26,18.00,left,1468830275.758022
mid,83,46.50,right,1468830277.362437
low,12,11.00,left,1468830278.775738
low,48,29.00,left,1468830280.269592
low,100,55.00,right,1468830281.599040
low,104,57.00,right,1468830283.189854
mid,118,64.00,right,1468830284.641892
mid,21,15.50,left,1468830286.082250
high,33,21.50,left,1468830287.838096
high,5,7.50,left,1468830289.235768
high,27,18.50,left,1468830290.647387
