object,stimulus,angle,response,time
low,54,32.00,right,1467967591.078410
low,18,14.00,left,1467967601.094583
mid,44,27.00,right,1467967602.713074
mid,76,43.00,right,1467967604.290287
mid,85,47.50,right,1467967605.798698
mid,78,44.00,right,1467967607.251869
low,7,8.50,left,1467967608.650938
high,21,15.50,left,1467967610.036851
high,55,32.50,left,1467967611.668499
high,23,16.50,left,1467967613.108979
low,31,20.50,left,1467967614.575214
high,13,11.50,left,1467967616.055412
low,76,43.00,right,1467967617.564300
mid,84,47.00,right,1467967618.991187
low,27,18.50,left,1467967620.525386
low,42,26.00,left,1467967621.937228
high,119,64.50,right,1467967623.513360
mid,119,64.50,right,1467967624.993023
mid,7,8.50,left,1467967626.445211
low,50,30.00,left,1467967627.980738
high,101,55.50,right,1467967629.557214
mid,40,25.00,left,1467967630.981316
high,69,39.50,right,1467967632.558553
high,85,47.50,left,1467967634.133580
low,95,52.50,right,1467967635.764624
high,26,18.00,left,1467967637.284607
mid,63,36.50,right,1467967638.764673
high,67,38.50,right,1467967640.326569
high,51,30.50,left,1467967641.779655
mid,51,30.50,left,1467967643.163169
mid,10,10.00,left,1467967644.754687
low,56,33.00,left,1467967646.235749
high,112,61.00,right,1467967647.730323
low,48,29.00,left,1467967649.293751
mid,101,55.50,right,1467967650.719866
low,10,10.00,left,1467967652.119191
mid,65,37.50,left,1467967653.545334
low,69,39.50,left,1467967654.998497
high,117,63.50,right,1467967656.518827
mid,28,19.00,left,1467967657.986408
low,28,19.00,left,1467967659.507899
high,77,43.50,right,1467967660.946611
high,8,9.00,left,1467967662.400170
mid,68,39.00,right,1467967664.057434
high,54,32.00,left,1467967665.497934
low,39,24.50,left,1467967666.840165
low,109,59.50,right,1467967668.404315
mid,82,46.00,right,1467967670.034989
high,29,19.50,left,1467967671.515742
low,67,38.50,right,1467967673.036477
mid,64,37.00,right,1467967674.544749
high,104,57.00,right,1467967676.011480
mid,71,40.50,left,1467967677.505039
high,83,46.50,right,1467967679.204371
low,103,56.50,right,1467967680.479438
mid,52,31.00,left,1467967682.014396
low,63,36.50,left,1467967683.534113
mid,32,21.00,left,1467967684.988394
high,94,52.00,right,1467967686.579660
low,8,9.00,left,1467967688.113182
low,53,31.50,left,1467967689.649815
high,73,41.50,right,1467967691.155259
mid,12,11.00,left,1467967692.444359
mid,74,42.00,right,1467967694.157155
high,44,27.00,left,1467967695.458770
low,92,51.00,right,1467967697.075701
low,23,16.50,left,1467967698.639524
mid,14,12.00,left,1467967700.229341
high,28,19.00,left,1467967701.725044
high,6,8.00,left,1467967703.098368
mid,86,48.00,right,1467967704.701858
low,93,51.50,right,1467967706.307215
high,62,36.00,left,1467967707.870642
low,70,40.00,left,1467967709.337628
high,32,21.00,left,1467967710.763126
mid,97,53.50,right,1467967712.256690
mid,21,15.50,left,1467967713.778985
high,58,34.00,left,1467967715.395781
low,111,60.50,right,1467967716.697855
low,96,53.00,right,1467967718.109126
mid,93,51.50,right,1467967719.575958
low,65,37.50,left,1467967721.124905
mid,18,14.00,left,1467967722.688094
high,42,26.00,left,1467967724.318591
low,101,55.50,right,1467967725.757871
mid,19,14.50,left,1467967727.278646
mid,5,7.50,left,1467967728.798974
high,52,31.00,left,1467967730.400304
mid,56,33.00,left,1467967731.852762
low,114,62.00,right,1467967733.305013
high,40,25.00,left,1467967734.893534
high,81,45.50,right,1467967736.372899
low,87,48.50,right,1467967737.908120
low,107,58.50,right,1467967739.471495
high,33,21.50,left,1467967740.869837
mid,77,43.50,left,1467967742.448188
low,79,44.50,left,1467967743.777600
low,49,29.50,left,1467967745.301082
high,19,14.50,left,1467967746.753990
mid,91,50.50,right,1467967748.221460
mid,17,13.50,left,1467967749.675684
mid,80,45.00,left,1467967751.607066
low,80,45.00,right,1467967753.006022
low,46,28.00,left,1467967754.527373
high,97,53.50,right,1467967755.884319
high,65,37.50,left,1467967757.487866
high,38,24.00,left,1467967758.899541
mid,33,21.50,left,1467967760.366073
high,109,59.50,right,1467967761.983445
mid,99,54.50,right,1467967763.519768
high,61,35.50,right,1467967764.930726
mid,59,34.50,right,1467967766.439175
mid,69,39.50,right,1467967768.026655
high,108,59.00,right,1467967769.438682
mid,70,40.00,right,1467967770.972281
low,38,24.00,left,1467967772.219747
low,33,21.50,left,1467967773.795589
high,64,37.00,right,1467967775.400315
low,12,11.00,left,1467967776.745155
low,102,56.00,right,1467967778.226125
high,11,10.50,left,1467967812.170121
high,47,28.50,left,1467967813.595202
high,5,7.50,left,1467967815.061885
low,108,59.00,right,1467967816.433253
low,81,45.50,right,1467967817.992852
mid,105,57.50,right,1467967819.568859
high,43,26.50,left,1467967821.118241
mid,48,29.00,left,1467967822.624373
low,34,22.00,left,1467967824.118944
mid,61,35.50,right,1467967825.722452
low,91,50.50,left,1467967827.272513
mid,23,16.50,left,1467967828.670220
high,113,61.50,right,1467967830.203932
mid,87,48.50,right,1467967831.807220
low,82,46.00,right,1467967833.315768
mid,34,22.00,left,1467967834.701508
mid,118,64.00,right,1467967836.249450
low,51,30.50,right,1467967837.908328
low,115,62.50,right,1467967839.441383
mid,57,33.50,right,1467967840.907966
high,107,58.50,right,1467967842.455389
high,90,50.00,right,1467967843.922954
low,5,7.50,left,1467967845.293336
high,68,39.00,right,1467967846.745530
mid,109,59.50,right,1467967848.347215
high,87,48.50,right,1467967849.978005
low,32,21.00,left,1467967851.321349
mid,89,49.50,right,1467967852.979491
high,70,40.00,right,1467967854.540394
