object,stimulus,angle,response,time
high,30,20.00,right,1478263265.499403
high,44,27.00,right,1478263274.724768
high,53,31.50,right,1478263276.045047
high,74,42.00,right,1478263277.447272
high,35,22.50,left,1478263279.066646
high,26,18.00,left,1478263280.795531
high,8,9.00,left,1478263282.212598
high,12,11.00,left,1478263283.668797
high,66,38.00,right,1478263285.180791
high,92,51.00,right,1478263286.595561
high,67,38.50,right,1478263288.161379
high,33,21.50,left,1478263289.849719
high,65,37.50,right,1478263291.115198
high,5,7.50,left,1478263292.653412
high,110,60.00,right,1478263293.960039
high,13,11.50,left,1478263295.594062
high,89,49.50,right,1478263297.023923
high,27,18.50,left,1478263298.603065
high,50,30.00,right,1478263300.181902
high,43,26.50,left,1478263302.224141
high,32,21.00,left,1478263303.246183
high,46,28.00,left,1478263304.851926
high,54,32.00,right,1478263306.376770
high,52,31.00,right,1478263307.888213
high,71,40.50,right,1478263309.399556
high,7,8.50,left,1478263310.869400
high,99,54.50,right,1478263312.136344
high,10,10.00,left,1478263313.824437
high,113,61.50,right,1478263315.199549
high,41,25.50,left,1478263316.764846
high,18,14.00,left,1478263318.397582
high,34,22.00,left,1478263320.044265
high,118,64.00,right,1478263321.473587
high,87,48.50,right,1478263322.916463
high,93,51.50,right,1478263324.387014
high,101,55.50,right,1478263325.897497
high,114,62.00,right,1478263327.490360
high,59,34.50,right,1478263328.947030
high,9,9.50,left,1478263330.525859
high,84,47.00,right,1478263331.901026
high,61,35.50,left,1478263333.384179
high,111,60.50,right,1478263334.800063
high,107,58.50,right,1478263336.324776
high,90,50.00,right,1478263337.904289
high,57,33.50,right,1478263339.550864
high,58,34.00,right,1478263341.020961
high,98,54.00,right,1478263342.463169
high,78,44.00,right,1478263344.001194
high,48,29.00,right,1478263345.593516
high,11,10.50,right,1478263347.295156
high,119,64.50,NA,0.000000
high,51,30.50,right,1478263350.181726
high,91,50.50,right,1478263351.570625
high,19,14.50,left,1478263353.218121
high,112,61.00,right,1478263354.647036
high,72,41.00,right,1478263356.212501
high,38,24.00,right,1478263357.669235
high,82,46.00,right,1478263359.207591
high,55,32.50,right,1478263360.663975
high,47,28.50,right,1478263362.528747
high,88,49.00,left,1478263363.617574
high,76,43.00,right,1478263365.318173
high,23,16.50,right,1478263366.625157
high,108,59.00,right,1478263368.231096
high,105,57.50,right,1478263369.633040
high,4,7.00,left,1478263371.238933
high,95,52.50,NA,0.000000
high,15,12.50,left,1478263374.343270
high,20,15.00,left,1478263375.786814
high,37,23.50,right,1478263377.243910
high,75,42.50,right,1478263378.618893
high,102,56.00,right,1478263380.115768
high,45,27.50,left,1478263381.585748
high,79,44.50,right,1478263383.001937
high,73,41.50,right,1478263384.418717
high,100,55.00,right,1478263385.915484
high,63,36.50,right,1478263387.412730
high,14,12.00,left,1478263388.896329
high,106,58.00,right,1478263390.447522
high,0,5.00,left,1478263392.094593
high,94,52.00,right,1478263393.442691
high,42,26.00,right,1478263395.035619
high,104,57.00,right,1478263396.463749
high,25,17.50,left,1478263398.042879
high,3,6.50,right,1478263399.567844
high,86,48.00,right,1478263401.161464
high,16,13.00,left,1478263402.630777
high,22,16.00,left,1478263404.209517
high,28,19.00,left,1478263405.802578
high,62,36.00,right,1478263407.190867
high,1,5.50,left,1478263408.769842
high,68,39.00,NA,0.000000
high,80,45.00,right,1478263411.696436
high,21,15.50,left,1478263413.112179
high,115,62.50,right,1478263414.622758
high,24,17.00,left,1478263416.025077
high,49,29.50,right,1478263417.659624
high,96,53.00,NA,0.000000
high,36,23.00,right,1478263420.423119
high,109,59.50,right,1478263422.152010
high,70,40.00,right,1478263423.677191
high,116,63.00,right,1478263425.038842
high,17,13.50,left,1478263426.645275
high,77,43.50,right,1478263427.870458
high,83,46.50,right,1478263429.462975
high,103,56.50,right,1478263430.960863
high,39,24.50,left,1478263432.471892
high,6,8.00,left,1478263434.227621
high,31,20.50,left,1478263435.739175
high,2,6.00,left,1478263437.154593
high,29,19.50,left,1478263438.747686
high,60,35.00,right,1478263440.367676
high,69,39.50,right,1478263441.715802
high,64,37.00,NA,0.000000
high,97,53.50,right,1478263444.751826
high,81,45.50,right,1478263446.086222
high,85,47.50,right,1478263447.637787
high,117,63.50,right,1478263449.025893
high,56,33.00,right,1478263450.727561
high,40,25.00,left,1478263452.034263
