object,stimulus,angle,response,time
high,51,30.50,right,1487320814.413505
low,55,32.50,right,1487320815.653064
mid,68,39.00,right,1487320817.042851
low,18,14.00,left,1487320818.500378
low,9,9.50,left,1487320820.040891
low,92,51.00,right,1487320821.402636
high,65,37.50,right,1487320822.860122
high,102,56.00,right,1487320824.330957
mid,70,40.00,left,1487320825.961698
mid,13,11.50,left,1487320827.540706
mid,101,55.50,right,1487320828.956632
high,49,29.50,right,1487320830.535039
high,92,51.00,right,1487320831.949411
mid,89,49.50,right,1487320833.365291
high,115,62.50,right,1487320834.753808
low,30,20.00,right,1487320836.169570
low,109,59.50,right,1487320837.843264
high,70,40.00,right,1487320839.313809
mid,100,55.00,right,1487320840.810615
low,60,35.00,right,1487320842.388302
high,114,62.00,right,1487320843.926316
low,21,15.50,left,1487320845.396094
mid,62,36.00,right,1487320846.838319
mid,48,29.00,left,1487320848.363391
high,10,10.00,left,1487320849.929117
high,41,25.50,right,1487320851.440336
low,102,56.00,right,1487320852.978966
high,112,61.00,right,1487320854.463028
low,110,60.00,right,1487320855.960325
low,3,6.50,left,1487320857.513221
mid,103,56.50,right,1487320859.010566
mid,93,51.50,right,1487320860.507328
mid,52,31.00,left,1487320862.073154
high,90,50.00,right,1487320863.530139
low,91,50.50,right,1487320865.014539
mid,69,39.50,right,1487320866.675353
mid,12,11.00,left,1487320868.200153
high,89,49.50,right,1487320869.615970
high,35,22.50,right,1487320871.208822
mid,107,58.50,right,1487320872.679588
mid,14,12.00,left,1487320874.191135
low,62,36.00,right,1487320875.824932
mid,83,46.50,right,1487320877.322582
low,26,18.00,left,1487320878.888871
low,4,7.00,left,1487320880.331531
high,24,17.00,right,1487320881.665752
low,117,63.50,right,1487320883.148930
high,63,36.50,right,1487320884.687729
low,5,7.50,left,1487320886.185220
mid,45,27.50,right,1487320887.587229
low,56,33.00,right,1487320889.030095
high,86,48.00,right,1487320890.431374
low,19,14.50,left,1487320892.050383
high,44,27.00,right,1487320893.629629
mid,16,13.00,left,1487320895.371401
high,78,44.00,right,1487320896.733743
low,15,12.50,left,1487320898.203708
mid,67,38.50,right,1487320899.619099
mid,11,10.50,right,1487320901.224856
high,14,12.00,left,1487320902.805176
high,13,11.50,left,1487320904.330352
low,100,55.00,right,1487320905.732508
low,42,26.00,left,1487320907.325322
