object,obj.idx,table,tab.idx,time
low,105,hor,60,1472110094.252963
high,112,hor,60,1472110095.747364
low,46,hor,60,1472110097.205018
low,6,hor,60,1472110098.727695
mid,37,hor,60,1472110100.153147
high,85,hor,60,1472110101.675267
low,94,hor,60,1472110103.229667
high,108,hor,60,1472110104.823183
mid,21,hor,60,1472110106.412784
high,38,hor,60,1472110107.869789
mid,97,hor,60,1472110109.363232
mid,9,hor,60,1472110110.918199
high,66,hor,60,1472110112.309625
mid,55,hor,60,1472110113.802986
low,108,hor,60,1472110115.296153
low,107,hor,60,1472110116.783156
high,119,hor,60,1472110118.273771
low,65,hor,60,1472110119.832158
high,115,hor,60,1472110121.420565
mid,86,hor,60,1472110123.010459
mid,57,hor,60,1472110124.563845
low,67,hor,60,1472110126.021644
mid,84,hor,60,1472110127.548370
high,19,hor,60,1472110128.936409
high,31,hor,60,1472110130.462523
low,42,hor,60,1472110132.053067
low,30,hor,60,1472110133.645401
mid,112,hor,60,1472110135.168231
mid,47,hor,60,1472110136.588887
mid,7,hor,60,1472110138.045696
mid,54,hor,60,1472110139.471231
high,11,hor,60,1472110140.958875
high,74,hor,60,1472110142.417076
low,74,hor,60,1472110143.973305
low,82,hor,60,1472110145.399926
high,3,hor,60,1472110146.857778
low,64,hor,60,1472110148.446871
low,31,hor,60,1472110150.002396
mid,87,hor,60,1472110151.429281
high,99,hor,60,1472110153.019750
high,24,hor,60,1472110154.506839
high,23,hor,60,1472110155.963605
mid,77,hor,60,1472110157.418859
mid,45,hor,60,1472110158.907274
low,106,hor,60,1472110160.463568
high,20,hor,60,1472110161.984295
mid,14,hor,60,1472110163.507163
low,119,hor,60,1472110164.901550
low,32,hor,60,1472110166.524766
high,40,hor,60,1472110168.012350
low,53,hor,60,1472110169.466340
high,70,hor,60,1472110170.990571
high,15,hor,60,1472110172.548030
high,98,hor,60,1472110174.168037
mid,110,hor,60,1472110175.627205
low,55,hor,60,1472110177.213530
mid,23,hor,60,1472110178.640850
low,70,hor,60,1472110180.156763
mid,74,hor,60,1472110181.580147
mid,11,hor,60,1472110182.970127
low,91,hor,60,1472110184.430510
low,50,hor,60,1472110185.887366
mid,15,hor,60,1472110187.341768
high,55,hor,60,1472110188.797634
mid,68,hor,60,1472110190.356302
mid,109,hor,60,1472110191.783801
high,10,hor,60,1472110193.274475
low,39,hor,60,1472110194.833137
mid,78,hor,60,1472110196.424251
high,110,hor,60,1472110197.881782
high,87,hor,60,1472110199.434973
low,18,hor,60,1472110200.859574
low,1,hor,60,1472110202.282579
low,17,hor,60,1472110203.841634
high,106,hor,60,1472110205.296901
mid,70,hor,60,1472110206.816055
mid,19,hor,60,1472110208.335438
low,26,hor,60,1472110209.792994
mid,32,hor,60,1472110211.248259
high,8,hor,60,1472110212.669214
high,111,hor,60,1472110214.157071
low,86,hor,60,1472110215.611326
mid,5,hor,60,1472110217.100465
high,86,hor,60,1472110218.525922
low,63,hor,60,1472110220.118509
high,16,hor,60,1472110221.640137
mid,85,hor,60,1472110223.129118
high,64,hor,60,1472110224.656193
mid,96,hor,60,1472110226.081485
mid,36,hor,60,1472110227.472670
low,2,hor,60,1472110229.062584
mid,104,hor,60,1472110230.651114
high,117,hor,60,1472110232.141667
high,48,hor,60,1472110233.627908
low,8,hor,60,1472110235.181916
low,12,hor,60,1472110236.639464
mid,101,hor,60,1472110238.164405
low,88,hor,60,1472110239.751515
high,109,hor,60,1472110241.311091
mid,26,hor,60,1472110242.863326
low,66,hor,60,1472110244.283223
low,85,hor,60,1472110245.712746
high,90,hor,60,1472110247.269274
high,113,hor,60,1472110248.726928
high,116,hor,60,1472110250.249402
low,103,hor,60,1472110251.807694
mid,42,hor,60,1472110253.298997
mid,50,hor,60,1472110254.722912
mid,105,hor,60,1472110256.176811
mid,102,hor,60,1472110257.733657
high,26,hor,60,1472110259.256613
low,21,hor,60,1472110260.716652
low,71,hor,60,1472110262.141778
high,25,hor,60,1472110263.600236
high,114,hor,60,1472110265.190237
low,93,hor,60,1472110266.713673
mid,106,hor,60,1472110268.209133
high,100,hor,60,1472110269.767140
mid,100,hor,60,1472110271.222698
low,113,hor,60,1472110272.677363
mid,114,hor,60,1472110306.364181
mid,17,hor,60,1472110307.952285
high,13,hor,60,1472110309.440541
low,22,hor,60,1472110310.999284
low,116,hor,60,1472110312.556752
low,114,hor,60,1472110314.080305
high,79,hor,60,1472110315.508825
mid,34,hor,60,1472110317.095081
high,45,hor,60,1472110318.517569
high,72,hor,60,1472110320.008029
mid,111,hor,60,1472110321.600813
low,49,hor,60,1472110323.059623
low,57,hor,60,1472110324.648109
mid,31,hor,60,1472110326.201433
low,84,hor,60,1472110327.622441
high,62,hor,60,1472110329.177297
low,23,hor,60,1472110330.597613
mid,79,hor,60,1472110332.059319
high,49,hor,60,1472110333.583933
mid,119,hor,60,1472110335.071402
high,78,hor,60,1472110336.660526
mid,60,hor,60,1472110338.152067
high,67,hor,60,1472110339.706467
low,110,hor,60,1472110341.127957
low,24,hor,60,1472110342.718757
mid,73,hor,60,1472110344.238818
low,40,hor,60,1472110345.795456
high,68,hor,60,1472110347.382687
low,80,hor,60,1472110348.811132
mid,53,hor,60,1472110350.272959
high,94,hor,60,1472110351.696988
mid,91,hor,60,1472110353.124609
low,20,hor,60,1472110354.546194
high,41,hor,60,1472110356.003738
high,35,hor,60,1472110357.456870
mid,58,hor,60,1472110358.981165
low,37,hor,60,1472110360.505037
low,27,hor,60,1472110362.024334
mid,98,hor,60,1472110363.481059
mid,28,hor,60,1472110364.903775
mid,107,hor,60,1472110366.461356
high,53,hor,60,1472110368.019611
low,97,hor,60,1472110369.479766
mid,72,hor,60,1472110371.002735
high,9,hor,60,1472110372.426731
low,78,hor,60,1472110374.015716
high,46,hor,60,1472110375.471484
high,14,hor,60,1472110376.958355
high,18,hor,60,1472110378.448961
high,56,hor,60,1472110379.907655
high,7,hor,60,1472110381.492956
mid,48,hor,60,1472110382.947699
mid,63,hor,60,1472110384.498443
low,62,hor,60,1472110386.055091
mid,59,hor,60,1472110387.508891
mid,20,hor,60,1472110389.031375
high,44,hor,60,1472110390.423406
low,43,hor,60,1472110391.885627
low,101,hor,60,1472110393.374809
low,29,hor,60,1472110394.832443
low,76,hor,60,1472110396.255771
low,33,hor,60,1472110397.741750
mid,27,hor,60,1472110399.230850
low,95,hor,60,1472110400.687492
mid,44,hor,60,1472110402.242389
low,13,hor,60,1472110403.734019
high,92,hor,60,1472110405.223182
mid,29,hor,60,1472110406.712308
high,1,hor,60,1472110408.266375
high,104,hor,60,1472110409.789771
high,52,hor,60,1472110411.343726
mid,6,hor,60,1472110412.930733
low,104,hor,60,1472110414.485699
high,0,hor,60,1472110415.881150
high,50,hor,60,1472110417.368316
mid,80,hor,60,1472110418.827273
high,2,hor,60,1472110420.249717
low,81,hor,60,1472110421.839776
high,21,hor,60,1472110423.261027
mid,108,hor,60,1472110424.651354
low,118,hor,60,1472110426.078966
low,112,hor,60,1472110427.505463
mid,69,hor,60,1472110429.000413
mid,116,hor,60,1472110430.556627
high,105,hor,60,1472110432.146333
mid,83,hor,60,1472110433.735877
mid,10,hor,60,1472110435.291603
low,3,hor,60,1472110436.718301
mid,64,hor,60,1472110438.211497
mid,62,hor,60,1472110439.665621
high,59,hor,60,1472110441.121718
high,88,hor,60,1472110442.678856
high,28,hor,60,1472110444.270310
low,83,hor,60,1472110445.794878
low,79,hor,60,1472110447.223595
low,4,hor,60,1472110448.678869
low,5,hor,60,1472110450.232491
low,0,hor,60,1472110451.722456
mid,118,hor,60,1472110453.214568
high,118,hor,60,1472110454.737487
low,9,hor,60,1472110456.325381
mid,71,hor,60,1472110457.815303
low,7,hor,60,1472110459.370467
mid,2,hor,60,1472110460.862460
