object,stimulus,angle,response,time
high,72,41.00,right,1468834046.039331
mid,114,62.00,right,1468834117.933448
low,106,58.00,right,1468834119.413747
low,101,55.50,right,1468834120.824665
high,15,12.50,left,1468834122.332546
low,41,25.50,left,1468834123.854247
mid,46,28.00,left,1468834125.579495
low,75,42.50,right,1468834127.017883
high,8,9.00,left,1468834128.524187
mid,100,55.00,right,1468834130.004378
high,69,39.50,left,1468834131.566946
mid,21,15.50,left,1468834133.294493
high,49,29.50,left,1468834134.719900
mid,22,16.00,left,1468834136.173053
low,81,45.50,right,1468834137.761401
high,63,36.50,left,1468834139.104625
high,108,59.00,right,1468834140.624915
low,39,24.50,left,1468834142.119504
high,81,45.50,right,1468834143.542988
mid,79,44.50,left,1468834144.967664
mid,107,58.50,right,1468834146.391963
low,10,10.00,left,1468834147.996776
mid,27,18.50,left,1468834149.640496
low,24,17.00,left,1468834151.039270
mid,81,45.50,right,1468834152.559292
mid,16,13.00,left,1468834154.176081
high,39,24.50,left,1468834155.655023
high,86,48.00,right,1468834157.259914
low,46,28.00,left,1468834158.684657
high,84,47.00,left,1468834160.425170
low,8,9.00,left,1468834161.904351
low,45,27.50,left,1468834163.343901
mid,77,43.50,left,1468834164.906138
low,55,32.50,left,1468834166.347647
high,64,37.00,right,1468834167.963692
mid,43,26.50,left,1468834169.210776
high,19,14.50,left,1468834170.772700
low,50,30.00,right,1468834172.239202
low,93,51.50,left,1468834173.596406
low,74,42.00,right,1468834175.253213
mid,45,27.50,left,1468834176.732694
high,100,55.00,right,1468834178.076101
mid,15,12.50,left,1468834179.487423
mid,56,33.00,right,1468834181.131255
mid,39,24.50,left,1468834182.610973
high,94,52.00,right,1468834184.076371
high,85,47.50,right,1468834185.846450
low,26,18.00,left,1468834187.079221
high,119,64.50,right,1468834188.464650
high,11,10.50,left,1468834190.013020
low,29,19.50,left,1468834191.629645
low,40,25.00,left,1468834193.041477
high,30,20.00,left,1468834194.506787
mid,47,28.50,left,1468834195.933228
low,33,21.50,left,1468834197.398885
high,62,36.00,left,1468834198.905354
mid,102,56.00,right,1468834200.521631
mid,18,14.00,left,1468834201.932669
mid,35,22.50,left,1468834203.373105
low,5,7.50,left,1468834204.881715
mid,2,6.00,left,1468834206.430742
high,38,24.00,left,1468834207.980428
mid,61,35.50,right,1468834209.623273
mid,59,34.50,right,1468834211.089958
high,103,56.50,right,1468834212.679416
low,7,8.50,left,1468834214.105650
low,99,54.50,right,1468834215.695170
high,96,53.00,right,1468834217.215981
low,49,29.50,left,1468834218.681049
mid,113,61.50,right,1468834220.051328
low,25,17.50,left,1468834221.668925
high,40,25.00,right,1468834223.204692
low,62,36.00,right,1468834224.671864
high,89,49.50,right,1468834226.083570
high,90,50.00,right,1468834227.563271
low,35,22.50,left,1468834228.974624
mid,36,23.00,right,1468834230.590625
high,95,52.50,right,1468834232.057337
high,23,16.50,left,1468834233.523982
low,53,31.50,left,1468834235.087270
mid,10,10.00,left,1468834236.593381
mid,52,31.00,right,1468834238.167544
low,2,6.00,left,1468834239.551271
mid,14,12.00,left,1468834241.127058
mid,60,35.00,right,1468834242.551446
mid,89,49.50,right,1468834244.101536
low,44,27.00,left,1468834245.498483
mid,57,33.50,right,1468834246.992349
low,68,39.00,left,1468834248.555070
high,79,44.50,right,1468834250.090750
high,6,8.00,left,1468834251.599461
low,65,37.50,right,1468834253.175954
