object,stimulus,angle,response,time
high,96,53.00,right,1487319882.954400
mid,95,52.50,right,1487319884.478523
high,17,13.50,left,1487319885.948513
mid,10,10.00,left,1487319887.541927
mid,53,31.50,left,1487319889.025992
low,29,19.50,left,1487319890.686340
low,32,21.00,left,1487319892.089182
low,99,54.50,right,1487319893.627645
mid,62,36.00,left,1487319894.989355
high,105,57.50,right,1487319896.663995
low,78,44.00,left,1487319898.147993
high,78,44.00,right,1487319899.686366
mid,46,28.00,left,1487319901.265079
high,30,20.00,left,1487319902.871040
mid,97,53.50,right,1487319904.463592
mid,112,61.00,right,1487319905.905935
low,90,50.00,right,1487319907.348598
low,79,44.50,left,1487319908.777946
high,16,13.00,left,1487319910.371028
high,69,39.50,left,1487319911.773765
low,81,45.50,left,1487319913.217609
mid,92,51.00,left,1487319914.701558
high,24,17.00,left,1487319916.294505
low,68,39.00,left,1487319917.780428
high,73,41.50,left,1487319919.250508
low,11,10.50,left,1487319920.979894
high,95,52.50,right,1487319922.272846
mid,104,57.00,right,1487319923.852051
low,87,48.50,right,1487319925.186778
mid,83,46.50,right,1487319926.793073
mid,24,17.00,left,1487319928.263266
mid,107,58.50,left,1487319929.883030
low,95,52.50,left,1487319931.380459
high,18,14.00,left,1487319932.822850
high,44,27.00,left,1487319934.279525
low,89,49.50,right,1487319935.859236
mid,60,35.00,left,1487319937.384504
mid,11,10.50,right,1487319938.842878
low,84,47.00,right,1487319940.489307
mid,88,49.00,right,1487319941.986638
high,111,60.50,right,1487319943.429885
high,9,9.50,left,1487319944.954083
high,83,46.50,right,1487319946.629156
high,104,57.00,right,1487319947.936034
low,10,10.00,left,1487319949.338466
low,8,9.00,left,1487319950.944573
mid,94,52.00,right,1487319952.359860
low,103,56.50,left,1487319953.761761
mid,29,19.50,left,1487319955.244946
high,38,24.00,right,1487319956.756071
high,93,51.50,right,1487319958.416763
low,57,33.50,left,1487319959.668921
mid,37,23.50,left,1487319961.383468
mid,69,39.50,left,1487319962.921163
low,92,51.00,right,1487319964.350418
low,108,59.00,right,1487319965.752203
high,5,7.50,left,1487319967.249398
low,18,14.00,left,1487319968.692297
mid,59,34.50,right,1487319970.203186
high,25,17.50,left,1487319971.631824
low,101,55.50,right,1487319973.116732
low,39,24.50,left,1487319974.559545
high,88,49.00,left,1487319976.219070
mid,32,21.00,left,1487319977.676060
mid,101,55.50,right,1487319979.118349
low,62,36.00,left,1487319980.574760
low,0,5.00,left,1487319982.086672
mid,47,28.50,right,1487319983.720002
high,13,11.50,left,1487319985.204109
high,77,43.50,right,1487319986.741611
mid,100,55.00,right,1487319988.129670
high,4,7.00,left,1487319989.627682
high,80,45.00,right,1487319991.247262
low,12,11.00,left,1487319992.648545
high,41,25.50,left,1487319994.159937
low,43,26.50,right,1487319995.588901
mid,43,26.50,left,1487319997.141285
high,52,31.00,right,1487319998.734642
low,14,12.00,left,1487320000.204342
low,48,29.00,right,1487320001.877862
high,84,47.00,left,1487320003.088717
mid,55,32.50,left,1487320004.572042
mid,54,32.00,right,1487320006.001560
mid,79,44.50,left,1487320007.566830
high,42,26.00,left,1487320009.118044
mid,6,8.00,left,1487320010.479066
high,106,58.00,right,1487320012.085489
low,34,22.00,left,1487320013.487512
high,86,48.00,left,1487320015.025775
mid,51,30.50,left,1487320016.576930
low,7,8.50,left,1487320018.156607
mid,50,30.00,left,1487320019.668783
mid,20,15.00,left,1487320021.139307
low,41,25.50,left,1487320022.527680
low,17,13.50,left,1487320024.079884
high,53,31.50,left,1487320025.632211
high,3,6.50,left,1487320027.143647
low,71,40.50,right,1487320028.723666
mid,30,20.00,left,1487320030.180155
low,40,25.00,left,1487320031.841204
low,91,50.50,right,1487320033.202391
mid,12,11.00,left,1487320034.686510
high,48,29.00,right,1487320036.755577
low,21,15.50,left,1487320037.654090
high,100,55.00,right,1487320039.151887
high,15,12.50,left,1487320040.540602
mid,61,35.50,left,1487320042.038151
mid,87,48.50,left,1487320043.725607
high,46,28.00,left,1487320045.005550
low,97,53.50,left,1487320046.652089
high,119,64.50,right,1487320048.230518
low,4,7.00,left,1487320049.755048
low,64,37.00,left,1487320051.129477
mid,78,44.00,right,1487320052.722782
high,29,19.50,left,1487320054.098027
mid,49,29.50,left,1487320055.581664
low,69,39.50,left,1487320057.160678
mid,115,62.50,right,1487320058.766407
high,40,25.00,left,1487320060.046699
mid,21,15.50,left,1487320061.556868
high,66,38.00,right,1487320095.313047
high,45,27.50,left,1487320096.796792
mid,74,42.00,left,1487320098.103904
low,117,63.50,right,1487320099.750771
mid,102,56.00,right,1487320101.180647
low,22,16.00,left,1487320102.705447
mid,9,9.50,left,1487320104.202793
high,27,18.50,left,1487320105.604157
low,20,15.00,left,1487320107.182554
high,70,40.00,left,1487320108.720681
mid,66,38.00,right,1487320110.190650
low,110,60.00,right,1487320111.701644
low,33,21.50,left,1487320113.198179
low,114,62.00,right,1487320114.831935
high,63,36.50,left,1487320116.125439
low,1,5.50,left,1487320117.786741
high,71,40.50,right,1487320119.175562
mid,35,22.50,left,1487320120.713192
high,101,55.50,right,1487320122.251582
high,28,19.00,left,1487320123.531476
mid,19,14.50,left,1487320125.070170
low,13,11.50,left,1487320126.581843
mid,26,18.00,left,1487320128.066122
mid,56,33.00,left,1487320129.658022
high,110,60.00,right,1487320131.196605
mid,67,38.50,left,1487320132.776136
mid,99,54.50,right,1487320134.178337
low,3,6.50,left,1487320135.566676
low,30,20.00,left,1487320137.037290
high,8,9.00,left,1487320138.670822
low,54,32.00,left,1487320140.195728
low,88,49.00,left,1487320141.707482
high,36,23.00,right,1487320143.123516
mid,98,54.00,right,1487320144.811647
high,109,59.50,right,1487320146.404850
mid,118,64.00,right,1487320147.698337
