object,obj.idx,table,tab.idx,time
mid,51,hor,60,1474550127.751117
high,111,hor,60,1474550129.243239
mid,55,hor,60,1474550130.665641
mid,119,hor,60,1474550132.220814
high,85,hor,60,1474550133.711632
mid,90,hor,60,1474550135.134309
low,46,hor,60,1474550136.556627
low,88,hor,60,1474550138.117732
high,32,hor,60,1474550139.509232
high,67,hor,60,1474550140.965155
low,63,hor,60,1474550142.455826
low,95,hor,60,1474550143.882001
low,20,hor,60,1474550145.339051
low,62,hor,60,1474550146.761770
low,26,hor,60,1474550148.251200
high,116,hor,60,1474550149.709728
high,44,hor,60,1474550151.265727
mid,58,hor,60,1474550152.688492
high,55,hor,60,1474550154.114337
mid,20,hor,60,1474550155.668059
high,64,hor,60,1474550157.256373
low,84,hor,60,1474550158.783505
mid,60,hor,60,1474550160.306599
mid,50,hor,60,1474550161.894788
mid,95,hor,60,1474550163.286239
high,115,hor,60,1474550164.714142
low,10,hor,60,1474550166.235436
low,14,hor,60,1474550167.755654
low,78,hor,60,1474550169.145324
mid,37,hor,60,1474550170.702407
mid,93,hor,60,1474550172.189803
low,27,hor,60,1474550173.713808
high,63,hor,60,1474550175.234474
mid,78,hor,60,1474550176.692394
high,39,hor,60,1474550178.253295
high,20,hor,60,1474550179.683406
mid,67,hor,60,1474550181.139514
mid,11,hor,60,1474550182.730398
low,55,hor,60,1474550184.154077
mid,2,hor,60,1474550185.741061
low,90,hor,60,1474550187.162461
low,81,hor,60,1474550188.687133
mid,48,hor,60,1474550190.213636
high,35,hor,60,1474550191.803766
high,118,hor,60,1474550193.361294
low,36,hor,60,1474550194.891293
high,92,hor,60,1474550196.416031
high,2,hor,60,1474550198.000966
high,80,hor,60,1474550199.455025
high,99,hor,60,1474550201.011969
low,31,hor,60,1474550202.600855
mid,24,hor,60,1474550204.026830
low,5,hor,60,1474550205.551055
mid,97,hor,60,1474550207.041670
low,86,hor,60,1474550208.498417
high,14,hor,60,1474550210.088782
mid,99,hor,60,1474550211.645727
low,48,hor,60,1474550213.230242
high,31,hor,60,1474550214.685859
mid,69,hor,60,1474550216.111005
mid,27,hor,60,1474550217.698214
high,73,hor,60,1474550219.287257
low,65,hor,60,1474550220.813452
mid,40,hor,60,1474550222.303044
high,42,hor,60,1474550223.729252
high,86,hor,60,1474550225.187874
high,11,hor,60,1474550226.739619
mid,30,hor,60,1474550228.198756
low,54,hor,60,1474550229.721425
low,89,hor,60,1474550231.245266
low,98,hor,60,1474550232.667660
mid,22,hor,60,1474550234.254366
low,117,hor,60,1474550235.679932
high,40,hor,60,1474550237.134517
mid,34,hor,60,1474550238.525155
high,19,hor,60,1474550239.985804
mid,65,hor,60,1474550241.576502
mid,36,hor,60,1474550243.032565
high,89,hor,60,1474550244.486392
low,25,hor,60,1474550245.911856
mid,0,hor,60,1474550247.365797
high,50,hor,60,1474550248.926336
low,72,hor,60,1474550250.352730
low,51,hor,60,1474550251.943630
high,6,hor,60,1474550253.497583
high,29,hor,60,1474550255.022442
high,83,hor,60,1474550256.614845
low,50,hor,60,1474550258.038280
mid,84,hor,60,1474550259.464145
high,47,hor,60,1474550260.957916
low,18,hor,60,1474550262.450062
mid,9,hor,60,1474550263.872956
mid,96,hor,60,1474550265.459043
low,93,hor,60,1474550266.914758
mid,89,hor,60,1474550268.404530
low,44,hor,60,1474550269.857202
high,34,hor,60,1474550271.285554
low,3,hor,60,1474550272.708946
low,76,hor,60,1474550274.135288
mid,44,hor,60,1474550275.658278
mid,83,hor,60,1474550277.282633
