object,stimulus,angle,response,time
low,3,6.50,left,1487166339.001568
mid,29,19.50,left,1487166340.742705
high,96,53.00,right,1487166342.090124
low,97,53.50,right,1487166343.614089
mid,18,14.00,left,1487166345.084862
high,9,9.50,left,1487166346.514792
low,41,25.50,right,1487166348.108158
high,3,6.50,left,1487166349.713595
mid,96,53.00,right,1487166351.169912
low,47,28.50,left,1487166352.803348
mid,24,17.00,left,1487166354.477784
high,114,62.00,right,1487166355.743842
high,107,58.50,right,1487166357.268715
high,101,55.50,right,1487166358.806430
low,114,62.00,right,1487166360.222798
mid,100,55.00,right,1487166361.693395
mid,82,46.00,right,1487166363.123096
low,48,29.00,right,1487166364.485781
mid,76,43.00,right,1487166366.105518
low,72,41.00,right,1487166367.589272
low,69,39.50,right,1487166369.113425
low,94,52.00,right,1487166370.583680
high,71,40.50,right,1487166372.216694
mid,13,11.50,left,1487166373.877063
high,66,38.00,right,1487166375.252091
low,112,61.00,right,1487166376.681173
mid,0,5.00,left,1487166378.247063
mid,41,25.50,right,1487166379.758528
high,47,28.50,right,1487166381.459198
high,115,62.50,right,1487166382.847939
mid,36,23.00,left,1487166384.276745
high,78,44.00,right,1487166385.693539
high,59,34.50,right,1487166387.218971
low,5,7.50,left,1487166388.825891
low,64,37.00,right,1487166390.309451
mid,45,27.50,left,1487166391.970296
low,57,33.50,right,1487166393.222354
low,66,38.00,right,1487166394.788411
mid,28,19.00,left,1487166396.299481
mid,119,64.50,right,1487166397.811154
high,18,14.00,left,1487166399.459466
high,51,30.50,right,1487166401.012271
mid,56,33.00,right,1487166402.429261
low,60,35.00,left,1487166404.048843
high,103,56.50,right,1487166405.356580
high,74,42.00,right,1487166406.827771
high,89,49.50,right,1487166408.420628
low,100,55.00,right,1487166409.905351
low,101,55.50,right,1487166411.443111
low,75,42.50,right,1487166412.872936
mid,81,45.50,right,1487166414.262736
high,55,32.50,right,1487166416.005124
mid,97,53.50,right,1487166417.298092
mid,62,36.00,right,1487166418.821510
high,52,31.00,right,1487166420.359448
low,34,22.00,left,1487166422.033398
low,10,10.00,left,1487166423.476690
high,28,19.00,right,1487166424.961089
mid,118,64.00,right,1487166426.499422
high,43,26.50,right,1487166428.106109
mid,61,35.50,right,1487166429.522719
high,75,42.50,right,1487166431.021089
mid,17,13.50,left,1487166432.681780
low,40,25.00,left,1487166434.179664
mid,44,27.00,left,1487166435.854850
low,111,60.50,right,1487166436.957334
high,79,44.50,right,1487166471.051694
mid,46,28.00,right,1487166472.372213
low,28,19.00,left,1487166473.814359
high,26,18.00,right,1487166475.298925
high,37,23.50,right,1487166476.700839
low,32,21.00,left,1487166478.552722
mid,52,31.00,right,1487166479.750907
high,56,33.00,right,1487166481.370562
mid,83,46.50,right,1487166482.758644
low,49,29.50,left,1487166484.297052
low,117,63.50,right,1487166485.604438
mid,75,42.50,right,1487166487.252384
mid,77,43.50,right,1487166488.709490
mid,50,30.00,right,1487166490.233205
high,111,60.50,right,1487166491.676243
mid,8,9.00,left,1487166493.255413
low,1,5.50,left,1487166494.698835
mid,112,61.00,right,1487166496.290991
low,7,8.50,left,1487166497.923433
low,84,47.00,right,1487166499.202798
low,106,58.00,right,1487166500.836047
high,81,45.50,right,1487166502.373998
high,90,50.00,right,1487166503.884592
high,85,47.50,right,1487166505.055887
mid,7,8.50,left,1487166506.702804
high,8,9.00,left,1487166508.200318
mid,90,50.00,right,1487166509.534176
high,80,45.00,right,1487166511.073029
high,16,13.00,left,1487166512.611160
mid,58,34.00,right,1487166513.917916
low,56,33.00,right,1487166515.429637
low,2,6.00,left,1487166516.995377
mid,87,48.50,right,1487166518.370082
low,93,51.50,right,1487166519.813071
high,38,24.00,left,1487166521.583952
low,76,43.00,right,1487166522.835623
mid,78,44.00,right,1487166524.251139
mid,60,35.00,left,1487166526.048004
mid,88,49.00,right,1487166527.286158
low,16,13.00,left,1487166528.906282
high,54,32.00,right,1487166530.363440
high,91,50.50,right,1487166531.764994
low,109,59.50,right,1487166533.222574
low,8,9.00,left,1487166534.844184
high,25,17.50,left,1487166536.518311
mid,115,62.50,right,1487166537.921161
high,76,43.00,right,1487166539.486645
low,119,64.50,right,1487166540.999146
low,104,57.00,right,1487166542.456535
mid,10,10.00,left,1487166544.050595
low,70,40.00,right,1487166545.519897
mid,111,60.50,right,1487166546.976316
low,4,7.00,left,1487166548.446037
high,24,17.00,left,1487166549.861542
mid,6,8.00,left,1487166551.399938
high,21,15.50,left,1487166552.802831
mid,113,61.50,right,1487166554.355499
low,11,10.50,left,1487166555.757316
high,73,41.50,right,1487166557.200488
high,40,25.00,left,1487166558.806625
mid,22,16.00,left,1487166560.454229
low,88,49.00,right,1487166561.910980
high,106,58.00,right,1487166563.353651
high,62,36.00,right,1487166564.823552
low,55,32.50,left,1487166566.361765
low,21,15.50,left,1487166567.750959
mid,91,50.50,right,1487166569.478604
mid,79,44.50,right,1487166570.745011
high,5,7.50,left,1487166572.297148
mid,35,22.50,left,1487166574.094954
low,103,56.50,right,1487166575.443397
high,39,24.50,right,1487166577.049713
mid,116,63.00,right,1487166578.478946
mid,85,47.50,right,1487166579.989764
high,45,27.50,left,1487166581.623862
mid,106,58.00,right,1487166583.134880
low,105,57.50,right,1487166584.578805
low,53,31.50,left,1487166586.172624
mid,33,21.50,left,1487166587.780552
low,90,50.00,right,1487166589.251480
low,54,32.00,left,1487166590.789550
high,119,64.50,right,1487166592.204647
high,15,12.50,left,1487166593.852039
high,41,25.50,right,1487166595.335030
mid,51,30.50,right,1487166596.954869
