object,stimulus,angle,response,time
high,71,40.50,right,1478164477.763811
high,15,12.50,left,1478164484.351100
high,94,52.00,right,1478164485.726523
high,90,50.00,right,1478164487.293210
high,40,25.00,left,1478164488.803969
high,44,27.00,left,1478164490.342074
high,29,19.50,left,1478164491.798199
high,63,36.50,right,1478164493.255067
high,25,17.50,left,1478164494.724783
high,37,23.50,left,1478164496.358601
high,32,21.00,left,1478164497.952910
high,64,37.00,right,1478164499.450493
high,93,51.50,right,1478164500.784858
high,26,18.00,left,1478164502.240943
high,113,61.50,right,1478164503.724192
high,103,56.50,right,1478164505.208727
high,84,47.00,right,1478164506.692788
high,33,21.50,left,1478164508.339286
high,77,43.50,right,1478164510.027695
high,98,54.00,right,1478164511.498053
high,31,20.50,left,1478164512.955200
high,104,57.00,right,1478164514.342296
high,24,17.00,left,1478164515.743764
high,96,53.00,right,1478164517.213928
high,9,9.50,left,1478164518.819989
high,41,25.50,right,1478164520.413106
high,85,47.50,right,1478164521.869292
high,100,55.00,right,1478164523.475787
high,76,43.00,right,1478164524.863409
high,34,22.00,left,1478164526.319030
high,117,63.50,right,1478164527.680150
high,3,6.50,left,1478164529.299958
high,18,14.00,left,1478164530.892772
high,11,10.50,left,1478164532.267646
high,97,53.50,right,1478164533.779042
high,56,33.00,right,1478164535.112696
high,109,59.50,right,1478164536.663984
high,110,60.00,right,1478164538.107304
high,46,28.00,left,1478164539.767891
high,13,11.50,left,1478164541.047696
high,50,30.00,right,1478164542.763166
high,30,20.00,left,1478164544.328891
high,115,62.50,right,1478164545.608134
high,54,32.00,left,1478164547.105972
high,87,48.50,right,1478164548.643081
high,114,62.00,right,1478164550.182166
high,14,12.00,left,1478164551.625546
high,102,56.00,right,1478164552.987574
high,59,34.50,left,1478164554.499599
high,21,15.50,left,1478164555.942598
high,10,10.00,left,1478164557.317867
high,47,28.50,left,1478164559.400903
high,22,16.00,left,1478164560.571474
high,106,58.00,right,1478164562.082247
high,42,26.00,left,1478164563.592129
high,88,49.00,right,1478164565.076502
high,107,58.50,right,1478164566.478387
high,73,41.50,right,1478164568.261525
high,58,34.00,right,1478164569.895446
high,49,29.50,right,1478164571.229934
high,82,46.00,right,1478164572.590790
high,70,40.00,right,1478164573.910299
high,79,44.50,right,1478164575.379917
high,112,61.00,right,1478164576.877438
high,80,45.00,right,1478164578.279780
high,67,38.50,left,1478164579.968660
high,45,27.50,left,1478164581.383646
high,16,13.00,left,1478164582.922601
high,7,8.50,left,1478164584.365681
high,48,29.00,left,1478164586.231244
high,75,42.50,right,1478164587.415842
high,74,42.00,right,1478164588.872664
high,92,51.00,right,1478164590.343379
high,105,57.50,right,1478164591.909035
high,20,15.00,left,1478164593.529232
high,66,38.00,right,1478164595.312956
high,55,32.50,right,1478164596.851192
high,108,59.00,right,1478164598.348019
high,27,18.50,left,1478164599.749105
high,38,24.00,left,1478164601.083142
high,81,45.50,right,1478164602.539552
high,2,6.00,left,1478164604.078838
high,51,30.50,left,1478164605.535981
high,39,24.50,left,1478164607.169867
high,1,5.50,left,1478164608.680901
high,89,49.50,right,1478164610.110214
high,62,36.00,right,1478164611.825458
high,72,41.00,right,1478164613.159380
high,23,16.50,left,1478164614.561856
high,60,35.00,left,1478164616.182754
high,12,11.00,left,1478164617.639134
high,95,52.50,right,1478164619.190652
high,61,35.50,right,1478164620.565916
high,69,39.50,right,1478164622.212697
high,6,8.00,left,1478164623.792346
high,65,37.50,right,1478164625.235432
high,118,64.00,right,1478164626.555807
high,68,39.00,right,1478164628.120591
high,8,9.00,left,1478164629.536040
high,53,31.50,right,1478164630.938364
high,78,44.00,right,1478164632.422015
high,91,50.50,right,1478164633.891128
high,86,48.00,right,1478164635.293457
high,17,13.50,left,1478164636.913853
high,57,33.50,left,1478164638.410631
high,19,14.50,left,1478164639.798465
high,4,7.00,left,1478164641.214559
high,119,64.50,right,1478164642.725692
high,5,7.50,left,1478164644.249097
high,35,22.50,left,1478164645.759930
high,116,63.00,right,1478164647.231172
high,101,55.50,right,1478164648.701692
high,83,46.50,right,1478164650.104824
high,52,31.00,left,1478164651.806740
high,43,26.50,left,1478164653.399432
high,36,23.00,left,1478164654.773213
high,28,19.00,left,1478164656.160905
high,99,54.50,right,1478164657.671714
high,0,5.00,left,1478164659.264432
high,111,60.50,right,1478164660.611463
