stimulus,angle,response,time
8,-26.00,left,1479213570.615696
59,-0.50,left,1479213571.989621
66,3.00,left,1479213573.378556
30,-15.00,left,1479213574.903024
29,-15.50,left,1479213576.345297
14,-23.00,left,1479213577.857906
15,-22.50,left,1479213579.273207
17,-21.50,left,1479213580.823846
95,17.50,left,1479213582.294136
113,26.50,right,1479213583.873581
105,22.50,right,1479213585.369881
51,-4.50,left,1479213587.098366
116,28.00,right,1479213588.554903
25,-17.50,left,1479213590.038055
63,1.50,left,1479213591.657210
80,10.00,right,1479213593.207784
107,23.50,right,1479213594.405689
55,-2.50,left,1479213595.903241
94,17.00,right,1479213597.359971
82,11.00,right,1479213598.884167
26,-17.00,left,1479213600.286202
118,29.00,right,1479213601.893053
88,14.00,right,1479213603.417227
12,-24.00,left,1479213605.037545
4,-28.00,left,1479213606.494853
104,22.00,right,1479213608.047705
36,-12.00,left,1479213609.626693
78,9.00,right,1479213611.055238
70,5.00,right,1479213612.484362
34,-13.00,left,1479213613.899891
77,8.50,right,1479213615.451096
58,-1.00,left,1479213617.165889
40,-10.00,left,1479213618.499726
91,15.50,right,1479213620.078959
71,5.50,left,1479213621.576097
115,27.50,right,1479213623.017917
53,-3.50,left,1479213624.542505
60,0.00,left,1479213626.066876
23,-18.50,left,1479213627.577269
43,-8.50,left,1479213629.211104
110,25.00,right,1479213630.531046
21,-19.50,left,1479213632.082889
39,-10.50,left,1479213633.525303
7,-26.50,left,1479213635.091633
50,-5.00,left,1479213636.684206
28,-16.00,left,1479213638.044879
87,13.50,right,1479213639.583257
73,6.50,right,1479213641.026175
1,-29.50,left,1479213642.385644
2,-29.00,left,1479213643.746510
0,-30.00,left,1479213645.325187
5,-27.50,left,1479213646.808205
45,-7.50,left,1479213648.251751
61,0.50,left,1479213649.859526
81,10.50,right,1479213651.261821
98,19.00,right,1479213652.745449
47,-6.50,right,1479213654.174888
100,20.00,right,1479213655.726239
38,-11.00,left,1479213657.209181
42,-9.00,left,1479213658.583706
90,15.00,right,1479213659.999721
109,24.50,right,1479213661.442615
101,20.50,right,1479213662.940340
112,26.00,right,1479213664.476994
49,-5.50,left,1479213666.164930
92,16.00,right,1479213667.648015
56,-2.00,left,1479213669.226804
68,4.00,left,1479213670.833435
10,-25.00,left,1479213672.397544
9,-25.50,left,1479213673.948857
20,-20.00,left,1479213675.472866
54,-3.00,left,1479213676.969979
67,3.50,left,1479213678.412657
111,25.50,right,1479213679.842081
119,29.50,right,1479213681.243906
35,-12.50,left,1479213682.808544
79,9.50,left,1479213684.482469
72,6.00,right,1479213686.006548
44,-8.00,left,1479213687.367061
24,-18.00,left,1479213688.796252
41,-9.50,left,1479213690.444347
19,-20.50,left,1479213691.845786
74,7.00,left,1479213693.724231
52,-4.00,left,1479213694.963516
64,2.00,left,1479213696.679386
76,8.00,left,1479213698.053054
84,12.00,right,1479213699.359800
96,18.00,right,1479213700.965794
65,2.50,right,1479213702.816174
37,-11.50,left,1479213704.094507
31,-14.50,left,1479213705.620024
27,-16.50,left,1479213707.104633
99,19.50,right,1479213708.668699
85,12.50,right,1479213710.084122
69,4.50,left,1479213711.691252
86,13.00,right,1479213713.025592
22,-19.00,left,1479213714.495235
117,28.50,right,1479213715.978071
48,-6.00,left,1479213717.706119
32,-14.00,left,1479213718.836854
46,-7.00,left,1479213720.225095
93,16.50,right,1479213721.680779
16,-22.00,left,1479213723.204705
108,24.00,right,1479213724.702441
13,-23.50,left,1479213726.103824
83,11.50,right,1479213727.736912
75,7.50,right,1479213729.384013
103,21.50,right,1479213730.745316
3,-28.50,left,1479213732.433025
62,1.00,left,1479213733.903418
18,-21.00,left,1479213735.182813
57,-1.50,left,1479213736.842649
6,-27.00,left,1479213738.326196
102,21.00,right,1479213739.783367
89,14.50,right,1479213741.157809
33,-13.50,left,1479213742.736835
114,27.00,right,1479213744.206617
97,18.50,right,1479213745.758393
106,23.00,right,1479213747.050885
11,-24.50,left,1479213748.778799
