object,stimulus,angle,response,time
high,88,49.00,right,1472044528.502973
mid,53,31.50,left,1472044540.519807
high,77,43.50,right,1472044541.947435
low,63,36.50,left,1472044543.843382
low,26,18.00,left,1472044544.968016
low,24,17.00,left,1472044546.324250
mid,25,17.50,left,1472044547.900093
mid,91,50.50,right,1472044549.476283
high,107,58.50,right,1472044550.806466
low,111,60.50,right,1472044552.383946
mid,113,61.50,right,1472044553.878475
high,39,24.50,left,1472044555.277024
high,110,60.00,right,1472044556.757198
high,92,51.00,right,1472044558.279007
low,70,40.00,left,1472044559.773142
low,86,48.00,left,1472044561.363007
high,44,27.00,right,1472044563.036002
high,63,36.50,left,1472044564.530799
mid,105,57.50,right,1472044565.860854
mid,39,24.50,left,1472044567.231728
mid,94,52.00,left,1472044569.041008
mid,71,40.50,left,1472044570.344216
low,64,37.00,left,1472044571.782137
low,115,62.50,right,1472044573.495023
mid,6,8.00,left,1472044574.962915
high,54,32.00,right,1472044576.457438
mid,21,15.50,left,1472044577.909970
high,79,44.50,left,1472044579.842335
mid,119,64.50,right,1472044581.144225
low,56,33.00,left,1472044582.816914
low,16,13.00,left,1472044584.064570
high,101,55.50,right,1472044585.641197
mid,54,32.00,left,1472044587.204903
low,0,5.00,left,1472044588.604098
low,77,43.50,left,1472044590.385112
high,96,53.00,right,1472044591.769485
high,28,19.00,left,1472044593.181471
high,67,38.50,left,1472044594.936860
high,21,15.50,left,1472044596.239265
low,114,62.00,right,1472044597.718999
mid,13,11.50,left,1472044599.049601
mid,11,10.50,left,1472044600.583877
low,23,16.50,left,1472044602.121380
low,27,18.50,left,1472044603.601799
mid,106,58.00,right,1472044605.412127
low,8,9.00,left,1472044606.755489
high,80,45.00,right,1472044608.208290
mid,88,49.00,left,1472044609.963409
low,4,7.00,left,1472044611.169638
mid,80,45.00,right,1472044612.731589
low,39,24.50,left,1472044613.992012
high,66,38.00,right,1472044615.690821
low,11,10.50,left,1472044617.006485
low,14,12.00,left,1472044618.488168
high,23,16.50,left,1472044620.036560
mid,59,34.50,left,1472044621.763055
mid,49,29.50,left,1472044623.106644
high,93,51.50,right,1472044624.751413
high,112,61.00,right,1472044626.011668
mid,89,49.50,right,1472044627.768204
mid,41,25.50,left,1472044629.042457
low,54,32.00,left,1472044630.455056
high,7,8.50,left,1472044631.921944
high,102,56.00,right,1472044633.402936
low,30,20.00,left,1472044634.869793
mid,87,48.50,right,1472044636.529794
mid,24,17.00,left,1472044637.873172
mid,30,20.00,left,1472044639.394377
low,98,54.00,right,1472044641.259088
low,94,52.00,left,1472044642.657667
high,43,26.50,left,1472044643.986871
high,81,45.50,right,1472044645.660371
low,51,30.50,left,1472044646.852715
high,16,13.00,left,1472044648.361130
low,107,58.50,right,1472044650.115331
mid,33,21.50,left,1472044651.376590
mid,67,38.50,left,1472044653.364684
mid,50,30.00,left,1472044654.572444
low,33,21.50,left,1472044656.025639
high,84,47.00,right,1472044657.559777
low,97,53.50,right,1472044659.315084
high,62,36.00,right,1472044660.876533
mid,29,19.50,left,1472044662.083302
high,31,20.50,left,1472044663.467388
mid,23,16.50,left,1472044665.017303
mid,35,22.50,left,1472044666.483846
mid,38,24.00,left,1472044667.978748
mid,73,41.50,left,1472044669.966044
low,37,23.50,left,1472044671.035991
high,29,19.50,left,1472044672.557653
high,69,39.50,right,1472044674.148076
low,110,60.00,right,1472044675.614787
high,73,41.50,right,1472044677.356277
high,49,29.50,left,1472044678.986458
low,78,44.00,left,1472044680.657898
low,12,11.00,left,1472044681.740032
low,62,36.00,left,1472044683.344467
high,11,10.50,left,1472044684.674267
mid,117,63.50,right,1472044686.194539
mid,96,53.00,right,1472044687.675061
high,35,22.50,left,1472044689.416528
low,117,63.50,right,1472044690.801735
low,38,24.00,left,1472044692.377693
high,42,26.00,left,1472044693.885364
mid,77,43.50,left,1472044695.462585
mid,60,35.00,left,1472044696.970622
high,3,6.50,left,1472044698.394363
low,25,17.50,left,1472044699.942500
mid,34,22.00,left,1472044701.382061
low,2,6.00,left,1472044702.808367
high,87,48.50,right,1472044704.398594
low,46,28.00,left,1472044705.824520
mid,69,39.50,right,1472044707.499714
high,13,11.50,left,1472044708.816140
high,18,14.00,left,1472044710.283776
mid,97,53.50,right,1472044711.970338
mid,0,5.00,left,1472044713.275088
low,10,10.00,left,1472044714.741919
low,58,34.00,left,1472044716.209148
high,52,31.00,left,1472044718.073630
high,115,62.50,right,1472044751.580091
high,56,33.00,left,1472044752.964796
mid,110,60.00,right,1472044754.445834
low,28,19.00,left,1472044755.844257
low,43,26.50,left,1472044757.323670
mid,90,50.00,right,1472044758.916294
low,93,51.50,left,1472044760.437476
mid,72,41.00,left,1472044762.026810
high,20,15.00,left,1472044763.301570
mid,109,59.50,right,1472044764.865428
low,92,51.00,right,1472044766.469001
high,10,10.00,left,1472044767.853740
low,105,57.50,left,1472044769.443396
high,25,17.50,right,1472044770.758741
high,113,61.50,right,1472044772.224536
low,52,31.00,left,1472044773.703842
low,18,14.00,left,1472044775.267695
mid,65,37.50,left,1472044776.830165
low,91,50.50,left,1472044778.735325
mid,82,46.00,left,1472044780.215159
high,65,37.50,right,1472044781.449999
mid,66,38.00,left,1472044783.231424
high,27,18.50,left,1472044784.370817
mid,70,40.00,left,1472044786.044396
mid,78,44.00,left,1472044787.607606
high,61,35.50,right,1472044788.897042
low,17,13.50,left,1472044790.281092
mid,98,54.00,right,1472044791.897453
high,36,23.00,left,1472044793.391061
mid,76,43.00,right,1472044794.923497
low,47,28.50,left,1472044796.444264
low,65,37.50,left,1472044798.226229
low,29,19.50,left,1472044799.514196
high,108,59.00,right,1472044800.981700
high,6,8.00,left,1472044802.393394
mid,95,52.50,right,1472044804.025970
mid,115,62.50,right,1472044805.408668
low,36,23.00,left,1472044806.929525
low,84,47.00,left,1472044808.698956
mid,104,57.00,right,1472044810.014742
high,0,5.00,left,1472044811.453899
high,55,32.50,left,1472044813.166814
low,75,42.50,left,1472044814.743900
low,21,15.50,left,1472044816.101068
mid,61,35.50,left,1472044817.854910
mid,19,14.50,left,1472044819.196739
high,64,37.00,right,1472044820.842389
high,41,25.50,left,1472044822.324171
mid,28,19.00,left,1472044823.613427
high,111,60.50,right,1472044825.259575
low,3,6.50,left,1472044826.754915
low,87,48.50,left,1472044828.840241
low,112,61.00,right,1472044830.022491
mid,63,36.50,left,1472044831.558958
high,4,7.00,left,1472044833.123511
high,109,59.50,right,1472044834.590715
low,55,32.50,left,1472044836.086246
mid,15,12.50,left,1472044837.416440
mid,18,14.00,left,1472044838.980606
high,37,23.50,left,1472044840.448439
low,69,39.50,left,1472044842.283976
low,106,58.00,right,1472044843.626436
low,13,11.50,left,1472044844.970649
mid,20,15.00,left,1472044846.381028
mid,16,13.00,left,1472044847.916925
low,96,53.00,right,1472044849.452061
mid,75,42.50,left,1472044851.262176
high,12,11.00,left,1472044852.496462
high,50,30.00,left,1472044854.114424
high,104,57.00,right,1472044855.527660
mid,4,7.00,left,1472044856.993372
high,74,42.00,left,1472044858.790680
high,1,5.50,left,1472044860.105577
mid,42,26.00,left,1472044861.669666
mid,27,18.50,left,1472044863.191012
low,53,31.50,left,1472044864.847096
mid,99,54.50,right,1472044866.314086
low,59,34.50,left,1472044867.972083
low,35,22.50,left,1472044869.342973
high,76,43.00,right,1472044870.849856
high,19,14.50,left,1472044872.263413
low,85,47.50,right,1472044873.824907
high,9,9.50,left,1472044875.266319
mid,79,44.50,left,1472044876.950928
high,57,33.50,right,1472044878.198466
mid,112,61.00,right,1472044879.774809
low,1,5.50,left,1472044881.160174
mid,22,16.00,left,1472044882.736367
mid,111,60.50,right,1472044884.382803
low,82,46.00,left,1472044885.821653
high,15,12.50,left,1472044887.179213
mid,12,11.00,left,1472044888.632208
high,53,31.50,left,1472044890.183974
low,102,56.00,right,1472044891.773549
high,116,63.00,right,1472044893.309430
low,101,55.50,right,1472044894.803251
low,22,16.00,left,1472044896.324903
high,90,50.00,right,1472044897.845244
mid,74,42.00,right,1472044899.463912
mid,81,45.50,right,1472044901.011426
mid,116,63.00,right,1472044902.423309
low,57,33.50,left,1472044903.807468
low,67,38.50,left,1472044905.247441
high,98,54.00,right,1472044906.920596
mid,57,33.50,left,1472044908.414836
high,24,17.00,left,1472044910.019194
high,100,55.00,right,1472044911.567032
low,48,29.00,left,1472044913.117059
high,51,30.50,right,1472044914.610554
mid,3,6.50,left,1472044916.144191
mid,108,59.00,right,1472044917.790211
low,45,27.50,left,1472044919.146952
low,79,44.50,left,1472044920.694805
mid,92,51.00,right,1472044922.228831
mid,40,25.00,left,1472044923.641623
high,26,18.00,left,1472044925.272994
high,48,29.00,left,1472044926.931932
low,61,35.50,left,1472044928.469177
high,40,25.00,left,1472044930.044893
low,100,55.00,left,1472044931.636951
high,8,9.00,left,1472044965.192671
mid,101,55.50,right,1472044966.576648
low,113,61.50,right,1472044967.948320
high,83,46.50,right,1472044969.524242
low,9,9.50,left,1472044970.937074
low,66,38.00,left,1472044972.526548
mid,118,64.00,right,1472044973.938448
mid,62,36.00,left,1472044975.309550
low,76,43.00,left,1472044976.912864
high,106,58.00,right,1472044978.283257
high,47,28.50,left,1472044979.887640
mid,107,58.50,right,1472044981.396274
mid,48,29.00,left,1472044982.863371
low,71,40.50,left,1472044984.276176
low,42,26.00,left,1472044985.756663
high,45,27.50,left,1472044987.703919
high,94,52.00,right,1472044988.881569
mid,84,47.00,left,1472044990.500375
low,74,42.00,left,1472044991.898233
mid,2,6.00,left,1472044993.434419
mid,9,9.50,left,1472044994.954821
high,118,64.00,right,1472044996.600918
high,97,53.50,right,1472044998.272438
low,89,49.50,left,1472044999.753440
mid,36,23.00,left,1472045000.974243
low,32,21.00,left,1472045002.425904
mid,55,32.50,left,1472045003.961532
low,44,27.00,left,1472045005.359768
high,86,48.00,right,1472045007.224671
low,41,25.50,left,1472045008.540502
low,103,56.50,right,1472045010.075147
mid,114,62.00,right,1472045011.446755
high,30,20.00,left,1472045012.914359
high,82,46.00,left,1472045014.669849
