object,obj.idx,table,tab.idx,time
high,47,hor,60,1471960129.716509
high,74,hor,60,1471960131.238202
high,31,hor,60,1471960132.626607
high,103,hor,60,1471960134.184008
mid,91,hor,60,1471960135.606696
high,27,hor,60,1471960137.098661
low,9,hor,60,1471960138.590391
mid,4,hor,60,1471960140.146619
mid,50,hor,60,1471960141.737144
low,49,hor,60,1471960143.259306
low,26,hor,60,1471960144.789726
high,28,hor,60,1471960146.375365
high,100,hor,60,1471960147.897151
low,31,hor,60,1471960149.488811
mid,5,hor,60,1471960151.080798
mid,64,hor,60,1471960152.505386
high,85,hor,60,1471960154.029404
low,56,hor,60,1471960155.587601
high,35,hor,60,1471960157.043209
high,88,hor,60,1471960158.432141
mid,32,hor,60,1471960159.990875
low,72,hor,60,1471960161.445679
mid,105,hor,60,1471960163.033925
low,78,hor,60,1471960164.627266
high,22,hor,60,1471960166.154195
mid,78,hor,60,1471960167.643141
high,75,hor,60,1471960169.100574
mid,45,hor,60,1471960170.555579
low,37,hor,60,1471960172.016303
low,118,hor,60,1471960173.469735
mid,39,hor,60,1471960175.027642
high,116,hor,60,1471960176.548063
high,87,hor,60,1471960178.068608
low,12,hor,60,1471960179.626157
mid,43,hor,60,1471960181.148199
high,99,hor,60,1471960182.707732
low,73,hor,60,1471960184.197756
low,101,hor,60,1471960185.622142
mid,7,hor,60,1471960187.012637
mid,49,hor,60,1471960188.604533
high,49,hor,60,1471960190.162183
low,105,hor,60,1471960191.718039
low,117,hor,60,1471960193.306777
low,79,hor,60,1471960194.762836
high,60,hor,60,1471960196.315301
high,45,hor,60,1471960197.739018
high,53,hor,60,1471960199.158972
mid,86,hor,60,1471960200.685028
mid,59,hor,60,1471960202.271098
low,65,hor,60,1471960203.860892
mid,72,hor,60,1471960205.346901
high,107,hor,60,1471960206.900261
mid,11,hor,60,1471960208.491895
low,90,hor,60,1471960209.981284
low,32,hor,60,1471960211.542968
high,3,hor,60,1471960213.061977
mid,87,hor,60,1471960214.651957
mid,108,hor,60,1471960216.177477
mid,118,hor,60,1471960217.599033
low,76,hor,60,1471960219.022784
high,10,hor,60,1471960220.581629
low,103,hor,60,1471960222.038104
high,13,hor,60,1471960223.627492
high,98,hor,60,1471960225.117462
mid,70,hor,60,1471960226.640572
mid,19,hor,60,1471960260.330161
high,37,hor,60,1471960261.854077
high,76,hor,60,1471960263.375898
mid,94,hor,60,1471960264.799086
low,34,hor,60,1471960266.229807
high,63,hor,60,1471960267.653549
mid,73,hor,60,1471960269.175228
low,8,hor,60,1471960270.598995
mid,41,hor,60,1471960272.059762
low,24,hor,60,1471960273.586331
high,23,hor,60,1471960274.978554
low,68,hor,60,1471960276.501705
low,91,hor,60,1471960277.929974
low,71,hor,60,1471960279.457166
high,70,hor,60,1471960281.014307
mid,47,hor,60,1471960282.501751
low,86,hor,60,1471960283.891340
high,17,hor,60,1471960285.447272
low,119,hor,60,1471960286.937380
mid,96,hor,60,1471960288.392978
high,115,hor,60,1471960289.983359
mid,95,hor,60,1471960291.441844
high,94,hor,60,1471960292.930794
mid,2,hor,60,1471960294.386443
high,101,hor,60,1471960295.874326
high,64,hor,60,1471960297.264333
low,69,hor,60,1471960298.720238
mid,88,hor,60,1471960300.309857
mid,111,hor,60,1471960301.763925
low,84,hor,60,1471960303.286659
low,47,hor,60,1471960304.775124
low,110,hor,60,1471960306.261770
mid,74,hor,60,1471960307.653483
mid,104,hor,60,1471960309.146176
high,6,hor,60,1471960310.665469
high,36,hor,60,1471960312.190854
high,112,hor,60,1471960313.778903
mid,20,hor,60,1471960315.268654
high,25,hor,60,1471960316.721775
high,59,hor,60,1471960318.209514
low,45,hor,60,1471960319.797339
mid,31,hor,60,1471960321.322992
mid,30,hor,60,1471960322.815203
low,20,hor,60,1471960324.402336
low,95,hor,60,1471960325.923814
mid,66,hor,60,1471960327.349449
low,25,hor,60,1471960328.873573
high,97,hor,60,1471960330.460933
high,30,hor,60,1471960332.049728
high,61,hor,60,1471960333.539138
mid,54,hor,60,1471960335.063091
mid,119,hor,60,1471960336.618541
high,52,hor,60,1471960338.070934
low,98,hor,60,1471960339.526923
high,19,hor,60,1471960341.083809
low,27,hor,60,1471960342.675797
mid,34,hor,60,1471960344.264559
mid,116,hor,60,1471960345.789568
low,106,hor,60,1471960347.214435
low,22,hor,60,1471960348.642031
low,82,hor,60,1471960350.194224
high,91,hor,60,1471960351.750787
mid,112,hor,60,1471960353.172109
low,50,hor,60,1471960354.627654
high,51,hor,60,1471960356.152283
mid,92,hor,60,1471960357.642411
mid,89,hor,60,1471960359.160669
high,106,hor,60,1471960360.685716
low,115,hor,60,1471960362.205328
mid,80,hor,60,1471960363.696799
low,4,hor,60,1471960365.286188
high,66,hor,60,1471960366.711528
low,81,hor,60,1471960368.300466
low,40,hor,60,1471960369.759999
high,93,hor,60,1471960371.349313
mid,60,hor,60,1471960372.940090
low,62,hor,60,1471960374.465099
high,79,hor,60,1471960376.057417
high,110,hor,60,1471960377.446207
mid,15,hor,60,1471960379.007126
low,89,hor,60,1471960380.460176
high,109,hor,60,1471960381.950680
mid,44,hor,60,1471960383.438352
mid,62,hor,60,1471960384.828718
high,92,hor,60,1471960386.415211
high,69,hor,60,1471960387.874167
low,43,hor,60,1471960389.427790
high,9,hor,60,1471960390.857844
mid,6,hor,60,1471960392.410254
low,33,hor,60,1471960393.929870
low,104,hor,60,1471960395.325908
mid,113,hor,60,1471960396.913791
low,44,hor,60,1471960398.433296
mid,9,hor,60,1471960399.923919
mid,75,hor,60,1471960401.482434
high,39,hor,60,1471960402.934819
mid,90,hor,60,1471960404.489325
low,58,hor,60,1471960406.075390
low,48,hor,60,1471960407.662663
high,71,hor,60,1471960409.183855
mid,107,hor,60,1471960410.608730
mid,22,hor,60,1471960412.164887
low,5,hor,60,1471960413.622864
high,24,hor,60,1471960415.046959
mid,23,hor,60,1471960416.467540
high,55,hor,60,1471960418.059219
low,18,hor,60,1471960419.583619
high,108,hor,60,1471960421.074910
low,10,hor,60,1471960422.497217
low,85,hor,60,1471960424.056214
mid,37,hor,60,1471960425.648283
mid,56,hor,60,1471960427.138322
high,58,hor,60,1471960428.660015
mid,24,hor,60,1471960430.117970
low,88,hor,60,1471960431.573694
mid,17,hor,60,1471960433.128924
high,42,hor,60,1471960434.653558
high,4,hor,60,1471960436.177488
low,111,hor,60,1471960437.597410
high,46,hor,60,1471960439.186202
