stimulus,angle,response,time
39,-10.50,right,1468917656.304694
102,21.00,right,1468917662.550891
47,-6.50,left,1468917663.961682
22,-19.00,left,1468917665.592244
95,17.50,right,1468917667.032397
71,5.50,right,1468917668.512675
21,-19.50,left,1468917670.005798
34,-13.00,left,1468917671.568441
19,-20.50,left,1468917673.117314
11,-24.50,left,1468917674.720028
54,-3.00,right,1468917676.418095
86,13.00,right,1468917677.651390
26,-17.00,left,1468917679.144908
37,-11.50,right,1468917680.638835
68,4.00,right,1468917682.190520
107,23.50,right,1468917683.779244
9,-25.50,left,1468917685.218238
74,7.00,right,1468917686.752259
72,6.00,right,1468917688.286609
104,22.00,right,1468917689.753350
31,-14.50,left,1468917691.262111
52,-4.00,left,1468917693.045859
51,-4.50,left,1468917694.417588
49,-5.50,left,1468917695.733988
1,-29.50,left,1468917697.103655
93,16.50,right,1468917698.557043
3,-28.50,left,1468917700.038271
69,4.50,right,1468917701.421988
24,-18.00,left,1468917702.861385
81,10.50,right,1468917704.328260
100,20.00,right,1468917706.016308
55,-2.50,left,1468917707.442765
75,7.50,right,1468917709.019198
97,18.50,right,1468917710.526311
45,-7.50,left,1468917712.048238
108,24.00,right,1468917713.475387
28,-16.00,right,1468917715.133798
10,-25.00,left,1468917716.558987
76,8.00,right,1468917718.010959
117,28.50,right,1468917719.519305
116,28.00,right,1468917720.984862
106,23.00,right,1468917722.533804
118,29.00,right,1468917724.068881
77,8.50,right,1468917725.604387
16,-22.00,left,1468917727.001408
80,10.00,right,1468917728.468840
7,-26.50,left,1468917730.071866
44,-8.00,left,1468917731.618960
56,-2.00,right,1468917733.003085
92,16.00,right,1468917734.483513
70,5.00,right,1468917736.141182
41,-9.50,right,1468917737.400863
112,26.00,right,1468917738.840930
91,15.50,right,1468917740.322173
8,-26.00,left,1468917741.857261
98,19.00,right,1468917743.323224
29,-15.50,left,1468917744.803026
87,13.50,right,1468917746.282292
110,25.00,right,1468917747.791797
73,6.50,right,1468917749.342256
46,-7.00,right,1468917751.083482
42,-9.00,right,1468917752.385429
20,-20.00,left,1468917753.754823
25,-17.50,left,1468917755.358604
115,27.50,right,1468917756.796837
64,2.00,right,1468917758.318749
101,20.50,right,1468917759.853851
66,3.00,right,1468917761.470802
105,22.50,right,1468917762.925379
63,1.50,right,1468917764.474501
60,0.00,right,1468917766.080166
89,14.50,right,1468917767.589159
36,-12.00,left,1468917769.329404
88,14.00,right,1468917770.782363
85,12.50,right,1468917772.139507
79,9.50,right,1468917773.497207
119,29.50,right,1468917774.963752
0,-30.00,left,1468917776.499247
14,-23.00,left,1468917777.871151
96,18.00,left,1468917779.324576
78,9.00,right,1468917781.023722
33,-13.50,left,1468917782.339968
15,-22.50,left,1468917783.832729
30,-15.00,left,1468917785.312987
27,-16.50,left,1468917786.737695
99,19.50,right,1468917788.273142
58,-1.00,right,1468917789.822373
40,-10.00,left,1468917791.427226
57,-1.50,right,1468917792.756955
48,-6.00,left,1468917794.182085
18,-21.00,left,1468917795.853034
38,-11.00,left,1468917797.360545
35,-12.50,left,1468917798.717231
114,27.00,right,1468917800.252677
17,-21.50,left,1468917801.773162
109,24.50,right,1468917803.226251
6,-27.00,left,1468917804.816215
65,2.50,right,1468917806.282361
84,12.00,left,1468917807.832617
103,21.50,left,1468917809.314709
113,26.50,right,1468917810.823972
12,-24.00,left,1468917812.455486
23,-18.50,left,1468917813.867329
5,-27.50,left,1468917815.332947
50,-5.00,right,1468917817.182373
53,-3.50,left,1468917818.444234
67,3.50,right,1468917819.936659
83,11.50,right,1468917821.472378
111,25.50,right,1468917822.994885
82,11.00,right,1468917824.560545
4,-28.00,left,1468917826.124452
62,1.00,right,1468917827.687018
13,-23.50,left,1468917829.084515
94,17.00,right,1468917830.633851
59,-0.50,left,1468917832.126568
43,-8.50,left,1468917833.676120
2,-29.00,left,1468917835.183547
90,15.00,right,1468917836.540721
61,0.50,right,1468917838.091718
32,-14.00,left,1468917839.518054
