stimulus,angle,response,time
103,8.60,right,1467793278.518381
21,-7.80,left,1467793279.559571
109,9.80,right,1467793280.957658
78,3.60,left,1467793282.366351
97,7.40,right,1467793284.105133
16,-8.80,left,1467793285.404424
74,2.80,right,1467793286.938602
19,-8.20,left,1467793288.490096
116,11.20,right,1467793290.188345
64,0.80,left,1467793291.477240
33,-5.40,left,1467793293.093188
43,-3.40,left,1467793294.529631
72,2.40,left,1467793296.350391
58,-0.40,left,1467793297.884832
13,-9.40,left,1467793299.282707
62,0.40,right,1467793300.776266
10,-10.00,left,1467793302.253615
36,-4.80,left,1467793303.664828
69,1.80,left,1467793305.171241
84,4.80,right,1467793306.830032
18,-8.40,left,1467793308.460525
105,9.00,right,1467793309.803269
85,5.00,right,1467793311.610554
39,-4.20,left,1467793312.967726
100,8.00,right,1467793314.391510
83,4.60,right,1467793316.116992
38,-4.40,left,1467793317.485689
52,-1.60,left,1467793319.060556
113,10.60,right,1467793320.554777
54,-1.20,left,1467793322.061426
3,-11.40,left,1467793323.733036
34,-5.20,left,1467793325.075464
23,-7.40,left,1467793326.611261
44,-3.20,left,1467793328.129606
70,2.00,right,1467793329.803384
119,11.80,right,1467793331.296308
26,-6.80,left,1467793332.681530
50,-2.00,left,1467793334.256969
111,10.20,right,1467793335.765865
56,-0.80,left,1467793337.217032
102,8.40,right,1467793338.779467
4,-11.20,left,1467793340.315540
32,-5.60,left,1467793341.971624
79,3.80,right,1467793343.396940
2,-11.60,left,1467793344.726010
27,-6.60,left,1467793346.490904
7,-10.60,left,1467793347.888468
24,-7.20,left,1467793349.545912
75,3.00,right,1467793351.107434
82,4.40,right,1467793352.546736
15,-9.00,left,1467793354.137665
101,8.20,right,1467793355.479627
93,6.60,right,1467793356.933303
47,-2.60,left,1467793358.454870
0,-12.00,left,1467793359.893467
104,8.80,right,1467793361.347550
9,-10.20,left,1467793362.895534
73,2.60,right,1467793364.376360
88,5.60,right,1467793365.962754
49,-2.20,left,1467793367.276980
114,10.80,right,1467793368.767507
53,-1.40,left,1467793370.261410
76,3.20,right,1467793371.782708
29,-6.20,left,1467793373.167296
51,-1.80,left,1467793374.729380
81,4.20,right,1467793376.248784
28,-6.40,left,1467793377.715798
35,-5.00,left,1467793379.114531
59,-0.20,left,1467793380.746201
8,-10.40,left,1467793382.078029
14,-9.20,left,1467793383.545661
77,3.40,left,1467793385.309763
107,9.40,right,1467793386.746980
98,7.60,right,1467793388.310608
63,0.60,left,1467793389.749953
25,-7.00,left,1467793391.146251
6,-10.80,left,1467793392.610989
118,11.60,right,1467793394.312017
12,-9.60,left,1467793395.504951
80,4.00,left,1467793397.234197
20,-8.00,left,1467793398.769523
87,5.40,right,1467793400.251156
91,6.20,right,1467793401.771011
94,6.80,right,1467793403.207918
41,-3.80,left,1467793404.866584
42,-3.60,left,1467793406.334821
68,1.60,left,1467793407.923377
37,-4.60,left,1467793409.182368
31,-5.80,left,1467793410.947546
92,6.40,right,1467793412.564108
11,-9.80,left,1467793413.685666
67,1.40,left,1467793415.315009
117,11.40,right,1467793416.657368
40,-4.00,left,1467793418.261301
48,-2.40,left,1467793419.684986
112,10.40,right,1467793421.231066
106,9.20,right,1467793422.708636
66,1.20,left,1467793424.228212
86,5.20,right,1467793425.775131
110,10.00,left,1467793427.103792
22,-7.60,left,1467793428.664713
46,-2.80,left,1467793430.118964
95,7.00,right,1467793431.570474
57,-0.60,left,1467793433.064337
108,9.60,right,1467793434.488769
60,-0.00,left,1467793436.218290
45,-3.00,left,1467793437.644361
115,11.00,right,1467793438.933757
65,1.00,left,1467793440.770893
1,-11.80,left,1467793442.168568
17,-8.60,left,1467793443.566153
30,-6.00,left,1467793445.020214
99,7.80,right,1467793446.624856
61,0.20,left,1467793447.979513
55,-1.00,left,1467793449.678011
90,6.00,right,1467793451.073540
71,2.20,left,1467793452.677944
89,5.80,right,1467793454.047848
96,7.20,right,1467793455.529682
5,-11.00,left,1467793457.121860
