stimulus,angle,response,time
45,-7.50,right,1479120090.711778
88,14.00,left,1479120091.446442
91,15.50,left,1479120092.902547
42,-9.00,right,1479120094.359282
72,6.00,left,1479120095.966790
15,-22.50,right,1479120097.464289
34,-13.00,right,1479120098.947863
69,4.50,left,1479120100.350085
32,-14.00,right,1479120101.955216
60,0.00,left,1479120103.302581
59,-0.50,left,1479120104.867247
8,-26.00,right,1479120106.269455
50,-5.00,left,1479120107.753261
56,-2.00,left,1479120109.155536
107,23.50,left,1479120110.652896
9,-25.50,right,1479120112.109375
41,-9.50,right,1479120113.838035
25,-17.50,right,1479120115.144326
1,-29.50,right,1479120116.518350
112,26.00,left,1479120118.001382
86,13.00,left,1479120119.484757
57,-1.50,left,1479120121.050490
95,17.50,left,1479120122.466050
62,1.00,left,1479120124.004628
108,24.00,left,1479120125.420711
0,-30.00,right,1479120126.985778
64,2.00,left,1479120128.455461
115,27.50,left,1479120129.953212
85,12.50,left,1479120131.504639
93,16.50,left,1479120133.055734
94,17.00,left,1479120134.661777
71,5.50,left,1479120136.173571
96,18.00,left,1479120137.711744
106,23.00,left,1479120139.249238
73,6.50,left,1479120140.582533
76,8.00,left,1479120141.984434
33,-13.50,right,1479120143.780365
98,19.00,left,1479120145.087670
119,29.50,left,1479120146.598608
2,-29.00,right,1479120148.328010
44,-8.00,right,1479120149.934461
89,14.50,left,1479120151.145916
55,-2.50,left,1479120152.710701
83,11.50,left,1479120154.044934
97,18.50,left,1479120155.596585
65,2.50,left,1479120157.188840
113,26.50,left,1479120158.727012
103,21.50,left,1479120160.346566
105,22.50,left,1479120161.816916
80,10.00,left,1479120163.273008
38,-11.00,right,1479120164.878916
19,-20.50,right,1479120166.321587
36,-12.00,right,1479120167.860044
110,25.00,left,1479120169.357531
47,-6.50,right,1479120170.881705
12,-24.00,right,1479120172.364799
53,-3.50,left,1479120173.793668
61,0.50,left,1479120175.317973
30,-15.00,right,1479120176.870176
37,-11.50,right,1479120178.299143
101,20.50,left,1479120179.892298
48,-6.00,left,1479120181.335124
118,29.00,left,1479120182.912925
92,16.00,left,1479120184.287012
21,-19.50,right,1479120185.892977
35,-12.50,right,1479120187.390383
6,-27.00,right,1479120188.847754
114,27.00,left,1479120190.412433
109,24.50,left,1479120191.841973
46,-7.00,right,1479120193.448135
52,-4.00,left,1479120194.917657
63,1.50,left,1479120196.443750
82,11.00,left,1479120197.805670
54,-3.00,left,1479120199.303129
68,4.00,left,1479120200.691266
49,-5.50,left,1479120202.121121
7,-26.50,right,1479120203.739963
23,-18.50,right,1479120205.223885
26,-17.00,right,1479120206.775505
67,3.50,left,1479120208.245271
24,-18.00,right,1479120209.824589
10,-25.00,right,1479120211.280921
77,8.50,left,1479120212.873051
4,-28.00,right,1479120214.328923
51,-4.50,left,1479120215.758504
102,21.00,left,1479120217.187963
28,-16.00,right,1479120218.753605
20,-20.00,right,1479120220.155009
74,7.00,left,1479120221.598087
11,-24.50,right,1479120223.176828
27,-16.50,right,1479120224.714807
87,13.50,left,1479120226.225605
5,-27.50,right,1479120227.764132
14,-23.00,right,1479120229.152209
39,-10.50,right,1479120230.990090
111,25.50,left,1479120232.296366
99,19.50,left,1479120233.820859
78,9.00,left,1479120235.304677
116,28.00,left,1479120236.843035
3,-28.50,right,1479120238.435600
31,-14.50,right,1479120239.823812
90,15.00,left,1479120241.252719
75,7.50,left,1479120242.735579
58,-1.00,left,1479120244.232224
29,-15.50,right,1479120245.797148
17,-21.50,right,1479120247.171163
13,-23.50,right,1479120248.654768
40,-10.00,right,1479120250.247300
104,22.00,left,1479120251.772152
79,9.50,left,1479120253.120297
84,12.00,left,1479120254.672472
43,-8.50,left,1479120256.155917
16,-22.00,right,1479120257.721556
18,-21.00,right,1479120259.095874
70,5.00,left,1479120260.620384
100,20.00,left,1479120262.185220
66,3.00,left,1479120263.736426
22,-19.00,right,1479120265.357193
117,28.50,left,1479120266.745759
81,10.50,left,1479120268.229874
