object,stimulus,angle,response,time
mid,37,23.50,right,1478785202.461341
high,21,15.50,right,1478785203.699924
low,16,13.00,left,1478785205.223746
low,33,21.50,left,1478785206.544634
high,60,35.00,right,1478785207.892267
mid,29,19.50,left,1478785209.565383
high,96,53.00,right,1478785210.844150
low,103,56.50,right,1478785212.191868
high,113,61.50,right,1478785213.825828
mid,18,14.00,left,1478785215.554522
low,46,28.00,left,1478785217.023770
mid,17,13.50,left,1478785218.684916
mid,75,42.50,right,1478785220.114151
mid,77,43.50,right,1478785221.692636
low,57,33.50,left,1478785223.407631
low,82,46.00,left,1478785224.837100
low,59,34.50,left,1478785226.428965
high,71,40.50,right,1478785227.830761
low,32,21.00,right,1478785229.260224
mid,14,12.00,left,1478785230.811912
high,104,57.00,right,1478785232.731118
high,4,7.00,left,1478785233.901661
mid,111,60.50,right,1478785235.261848
high,68,39.00,right,1478785236.854187
high,59,34.50,right,1478785238.541485
low,67,38.50,left,1478785239.902023
mid,82,46.00,right,1478785241.670703
low,71,40.50,left,1478785243.194937
high,57,33.50,right,1478785244.174939
mid,58,34.00,right,1478785245.917455
low,3,6.50,left,1478785247.196901
mid,55,32.50,right,1478785248.790331
low,31,20.50,right,1478785250.274312
high,25,17.50,right,1478785251.458173
high,38,24.00,right,1478785253.051099
mid,46,28.00,right,1478785254.656901
high,56,33.00,right,1478785256.018347
low,117,63.50,right,1478785257.542704
mid,97,53.50,right,1478785259.025398
high,42,26.00,left,1478785260.630474
high,90,50.00,right,1478785262.250777
low,75,42.50,right,1478785263.789234
low,0,5.00,left,1478785265.178083
high,78,44.00,right,1478785266.525322
mid,5,7.50,left,1478785267.926795
low,7,8.50,left,1478785269.506314
mid,7,8.50,left,1478785270.936147
mid,80,45.00,right,1478785272.393561
high,33,21.50,left,1478785274.109796
high,118,64.00,right,1478785275.470453
mid,21,15.50,right,1478785277.254200
mid,100,55.00,right,1478785278.547082
low,5,7.50,left,1478785280.153542
low,63,36.50,left,1478785281.718716
low,1,5.50,left,1478785283.257578
mid,76,43.00,right,1478785284.674084
high,83,46.50,right,1478785286.158087
mid,69,39.50,right,1478785287.873034
high,47,28.50,right,1478785289.193202
low,21,15.50,left,1478785290.772124
mid,35,22.50,left,1478785292.405885
low,11,10.50,left,1478785293.767294
mid,108,59.00,right,1478785295.032694
low,115,62.50,right,1478785296.408145
high,63,36.50,right,1478785298.068521
high,52,31.00,right,1478785299.470409
low,52,31.00,right,1478785301.117347
low,111,60.50,right,1478785302.370112
high,24,17.00,right,1478785304.138933
mid,94,52.00,right,1478785305.608901
mid,4,7.00,left,1478785307.282624
high,80,45.00,right,1478785308.684352
low,25,17.50,left,1478785310.426657
mid,31,20.50,left,1478785311.842492
high,55,32.50,right,1478785313.517459
mid,107,58.50,right,1478785314.851849
high,110,60.00,right,1478785316.281394
mid,15,12.50,left,1478785317.628906
high,107,58.50,right,1478785319.099344
high,16,13.00,right,1478785320.624372
low,47,28.50,right,1478785322.244792
low,113,61.50,right,1478785323.578745
mid,20,15.00,left,1478785325.226192
low,107,58.50,right,1478785327.022974
low,45,27.50,right,1478785328.629927
low,22,16.00,left,1478785330.112971
high,101,55.50,right,1478785331.161080
mid,40,25.00,left,1478785332.809035
mid,99,54.50,right,1478785333.966126
mid,84,47.00,right,1478785335.708211
high,8,9.00,left,1478785337.328753
high,3,6.50,left,1478785338.907515
low,41,25.50,left,1478785340.513555
low,116,63.00,right,1478785341.615422
high,100,55.00,right,1478785343.493478
mid,6,8.00,left,1478785344.704878
mid,19,14.50,left,1478785346.214976
mid,74,42.00,right,1478785347.644257
high,88,49.00,right,1478785349.100799
low,24,17.00,left,1478785350.788514
low,60,35.00,right,1478785352.435888
mid,0,5.00,left,1478785353.730255
high,105,57.50,right,1478785355.254705
mid,118,64.00,right,1478785356.670301
high,79,44.50,right,1478785358.195292
low,29,19.50,right,1478785359.801160
low,13,11.50,left,1478785361.176061
high,26,18.00,left,1478785362.782775
low,50,30.00,left,1478785364.429888
low,17,13.50,left,1478785365.533070
high,98,54.00,right,1478785366.826191
low,101,55.50,right,1478785368.608274
mid,12,11.00,left,1478785370.554552
high,82,46.00,right,1478785371.547795
mid,24,17.00,right,1478785373.302190
low,40,25.00,right,1478785374.908519
mid,43,26.50,right,1478785376.296904
high,34,22.00,right,1478785378.202085
mid,85,47.50,right,1478785379.671865
high,6,8.00,left,1478785380.774371
high,66,38.00,right,1478785414.709043
low,18,14.00,left,1478785416.370455
low,14,12.00,left,1478785417.445704
high,41,25.50,left,1478785419.583310
high,67,38.50,right,1478785420.903509
low,85,47.50,right,1478785422.074113
mid,9,9.50,left,1478785423.640092
mid,93,51.50,right,1478785424.783482
mid,110,60.00,right,1478785426.321847
mid,70,40.00,right,1478785427.736924
high,40,25.00,right,1478785429.301656
low,49,29.50,right,1478785430.731013
low,34,22.00,right,1478785432.295938
mid,92,51.00,right,1478785434.215254
low,99,54.50,right,1478785435.345637
high,108,59.00,right,1478785436.665789
mid,64,37.00,right,1478785438.299769
mid,83,46.50,right,1478785439.715064
mid,90,50.00,right,1478785441.130331
low,90,50.00,right,1478785442.749750
high,72,41.00,right,1478785444.124258
low,10,10.00,left,1478785445.649786
high,77,43.50,right,1478785447.079057
high,114,62.00,right,1478785448.507658
low,112,61.00,right,1478785450.005854
low,76,43.00,right,1478785451.571966
low,86,48.00,right,1478785453.028678
high,9,9.50,left,1478785454.649620
high,10,10.00,left,1478785456.078122
mid,98,54.00,right,1478785457.562202
high,1,5.50,left,1478785459.059819
mid,44,27.00,right,1478785460.325296
high,49,29.50,right,1478785461.864343
mid,113,61.50,right,1478785463.360609
mid,3,6.50,left,1478785464.884448
low,70,40.00,right,1478785467.293564
high,7,8.50,right,1478785468.369068
high,12,11.00,left,1478785469.811994
mid,11,10.50,left,1478785470.791992
low,108,59.00,right,1478785472.358363
low,89,49.50,right,1478785474.074087
low,8,9.00,left,1478785475.448909
low,15,12.50,left,1478785476.769392
high,87,48.50,right,1478785478.389680
mid,61,35.50,right,1478785479.642789
mid,38,24.00,right,1478785481.194948
high,22,16.00,right,1478785482.802323
mid,106,58.00,right,1478785484.408820
mid,96,53.00,left,1478785485.892976
low,44,27.00,left,1478785487.267987
high,74,42.00,right,1478785489.309147
low,96,53.00,right,1478785490.629554
mid,91,50.50,right,1478785491.758729
low,9,9.50,left,1478785493.309905
mid,51,30.50,left,1478785494.820233
high,30,20.00,left,1478785496.263410
high,95,52.50,right,1478785497.624517
low,6,8.00,left,1478785499.163005
high,115,62.50,right,1478785500.524278
mid,59,34.50,right,1478785502.116589
low,105,57.50,right,1478785503.668525
low,43,26.50,left,1478785505.411010
mid,25,17.50,left,1478785506.867736
mid,23,16.50,left,1478785508.378146
high,109,59.50,right,1478785509.766329
high,111,60.50,right,1478785511.359255
mid,33,21.50,right,1478785513.196099
low,56,33.00,right,1478785514.258120
high,58,34.00,right,1478785515.674001
low,104,57.00,right,1478785517.280142
mid,26,18.00,left,1478785519.062826
high,76,43.00,right,1478785520.205090
mid,34,22.00,right,1478785521.729685
mid,16,13.00,right,1478785523.253932
high,61,35.50,right,1478785524.833205
high,69,39.50,right,1478785526.194478
low,53,31.50,left,1478785528.195800
high,106,58.00,right,1478785529.283954
mid,66,38.00,right,1478785530.604414
