object,stimulus,angle,response,time
high,30,20.00,right,1478187421.566849
high,102,56.00,right,1478187489.904422
high,100,55.00,right,1478187491.251825
high,59,34.50,left,1478187492.749082
high,61,35.50,right,1478187494.164258
high,80,45.00,right,1478187495.715325
high,67,38.50,right,1478187497.213147
high,35,22.50,left,1478187499.009595
high,41,25.50,left,1478187500.411570
high,17,13.50,left,1478187501.896615
high,87,48.50,right,1478187503.367494
high,13,11.50,left,1478187504.959993
high,92,51.00,right,1478187506.415407
high,57,33.50,left,1478187507.966593
high,12,11.00,left,1478187509.504139
high,38,24.00,left,1478187510.973502
high,81,45.50,right,1478187512.469957
high,49,29.50,left,1478187514.130241
high,93,51.50,right,1478187515.546255
high,112,61.00,right,1478187517.112249
high,89,49.50,right,1478187518.719289
high,56,33.00,left,1478187520.230114
high,48,29.00,right,1478187521.781468
high,3,6.50,left,1478187523.169631
high,86,48.00,right,1478187524.585821
high,78,44.00,right,1478187526.190924
high,28,19.00,left,1478187527.742241
high,40,25.00,left,1478187529.089681
high,118,64.00,right,1478187530.560683
high,113,61.50,right,1478187532.029598
high,94,52.00,right,1478187533.730675
high,98,54.00,right,1478187535.160569
high,74,42.00,right,1478187536.930365
high,23,16.50,left,1478187538.100534
high,36,23.00,right,1478187539.543353
high,97,53.50,right,1478187540.999574
high,51,30.50,left,1478187542.414657
high,15,12.50,left,1478187543.829957
high,60,35.00,right,1478187545.314048
high,115,62.50,right,1478187546.920571
high,9,9.50,left,1478187548.419295
high,63,36.50,right,1478187549.889415
high,14,12.00,left,1478187551.318823
high,54,32.00,left,1478187552.830258
high,45,27.50,left,1478187554.395916
high,22,16.00,left,1478187555.865038
high,64,37.00,left,1478187557.335769
high,88,49.00,right,1478187558.751815
high,116,63.00,right,1478187560.182274
high,85,47.50,right,1478187561.803377
high,65,37.50,right,1478187563.287041
high,47,28.50,left,1478187565.042724
high,26,18.00,left,1478187566.240788
high,25,17.50,left,1478187567.765405
high,117,63.50,right,1478187569.316677
high,66,38.00,right,1478187570.814468
high,5,7.50,left,1478187572.339697
high,101,55.50,right,1478187573.822966
high,31,20.50,left,1478187575.333788
high,103,56.50,right,1478187576.736020
high,114,62.00,right,1478187578.137885
high,69,39.50,right,1478187579.634170
high,32,21.00,right,1478187581.117684
high,19,14.50,left,1478187582.546154
high,16,13.00,left,1478187584.071928
high,84,47.00,left,1478187585.446671
high,42,26.00,left,1478187587.081794
high,18,14.00,left,1478187588.524307
high,21,15.50,left,1478187589.979566
high,72,41.00,right,1478187591.503387
high,68,39.00,right,1478187592.960322
high,62,36.00,right,1478187594.456447
high,0,5.00,left,1478187595.981034
high,108,59.00,right,1478187597.437744
high,79,44.50,left,1478187599.057228
high,50,30.00,left,1478187600.595942
high,2,6.00,left,1478187602.134488
high,75,42.50,right,1478187603.549828
high,27,18.50,left,1478187605.060735
high,53,31.50,right,1478187606.543867
high,111,60.50,right,1478187608.096009
high,34,22.00,left,1478187609.702080
high,1,5.50,left,1478187611.144858
high,104,57.00,right,1478187612.683141
high,55,32.50,right,1478187614.370594
high,90,50.00,right,1478187615.514017
high,110,60.00,right,1478187616.915755
high,46,28.00,left,1478187618.494671
high,99,54.50,right,1478187620.073770
high,77,43.50,right,1478187621.543322
high,52,31.00,right,1478187623.203106
high,39,24.50,left,1478187624.659747
high,37,23.50,left,1478187626.251982
high,10,10.00,left,1478187627.682460
high,105,57.50,right,1478187629.125013
high,7,8.50,left,1478187630.621360
high,91,50.50,right,1478187632.186280
high,95,52.50,right,1478187633.738073
high,58,34.00,right,1478187635.549052
high,76,43.00,right,1478187636.815163
high,83,46.50,right,1478187638.258027
high,20,15.00,left,1478187639.931503
high,24,17.00,left,1478187641.264554
high,106,58.00,right,1478187642.775958
high,107,58.50,right,1478187644.164006
high,33,21.50,left,1478187645.756947
high,8,9.00,left,1478187647.172992
high,44,27.00,left,1478187648.698217
high,119,64.50,right,1478187650.317986
high,6,8.00,left,1478187651.896792
high,71,40.50,right,1478187653.380423
high,96,53.00,right,1478187654.904630
high,70,40.00,left,1478187656.387300
high,82,46.00,left,1478187657.925144
high,43,26.50,left,1478187659.366317
high,29,19.50,left,1478187660.877698
high,11,10.50,left,1478187662.415535
high,109,59.50,right,1478187663.912587
high,4,7.00,left,1478187665.327948
high,73,41.50,right,1478187666.906213
