object,stimulus,angle,response,time
mid,116,63.00,right,1473231988.900247
low,53,31.50,left,1473231996.772571
mid,70,40.00,left,1473231998.335590
high,42,26.00,left,1473231999.790822
high,25,17.50,left,1473232001.284373
mid,91,50.50,right,1473232002.765844
high,79,44.50,right,1473232004.280759
low,43,26.50,left,1473232005.870180
low,18,14.00,left,1473232007.240841
low,47,28.50,left,1473232008.870294
high,62,36.00,right,1473232010.198742
mid,26,18.00,left,1473232011.636897
mid,52,31.00,left,1473232013.309661
mid,78,44.00,right,1473232014.722266
low,34,22.00,left,1473232016.435462
low,97,53.50,right,1473232017.723116
low,44,27.00,left,1473232019.163485
low,37,23.50,left,1473232020.575914
high,35,22.50,left,1473232022.030357
mid,57,33.50,left,1473232023.715841
high,17,13.50,left,1473232025.059639
high,80,45.00,right,1473232026.649881
mid,18,14.00,left,1473232028.104634
high,71,40.50,left,1473232029.489075
high,113,61.50,right,1473232031.078102
low,23,16.50,left,1473232032.737322
mid,7,8.50,left,1473232034.188964
high,101,55.50,right,1473232035.655919
mid,30,20.00,left,1473232037.119818
mid,33,21.50,left,1473232038.640596
high,6,8.00,left,1473232040.078958
low,42,26.00,left,1473232041.586607
low,92,51.00,right,1473232043.136382
mid,12,11.00,left,1473232044.507552
low,12,11.00,left,1473232046.028637
high,7,8.50,left,1473232047.508468
high,112,61.00,right,1473232049.069658
high,32,21.00,left,1473232050.660530
mid,98,54.00,right,1473232052.319349
low,101,55.50,right,1473232053.758473
low,76,43.00,right,1473232055.169128
high,81,45.50,right,1473232056.636765
mid,36,23.00,left,1473232057.938455
mid,40,25.00,left,1473232059.351579
low,87,48.50,right,1473232060.832306
low,89,49.50,right,1473232062.324095
high,90,50.00,right,1473232063.857720
mid,59,34.50,right,1473232065.310849
high,4,7.00,left,1473232066.710263
low,20,15.00,left,1473232068.162280
high,97,53.50,right,1473232069.779608
mid,10,10.00,left,1473232071.301328
mid,29,19.50,left,1473232072.892284
mid,72,41.00,right,1473232074.234866
low,57,33.50,right,1473232075.800108
low,106,58.00,right,1473232077.307809
low,41,25.50,left,1473232078.871083
high,75,42.50,right,1473232080.228818
high,59,34.50,left,1473232081.778010
mid,79,44.50,right,1473232083.299552
high,29,19.50,left,1473232084.820707
low,82,46.00,right,1473232086.341565
mid,6,8.00,left,1473232087.823304
high,3,6.50,left,1473232089.304583
low,70,40.00,right,1473232090.895986
mid,39,24.50,left,1473232092.348448
mid,48,29.00,left,1473232093.939379
low,77,43.50,left,1473232095.636247
mid,25,17.50,NA,0.000000
high,39,24.50,left,1473232098.555351
high,27,18.50,left,1473232099.845790
low,100,55.00,right,1473232101.668744
mid,8,9.00,left,1473232102.958234
mid,28,19.00,left,1473232104.684954
mid,100,55.00,right,1473232106.151417
high,95,52.50,right,1473232107.356317
high,16,13.00,left,1473232109.054690
low,11,10.50,left,1473232110.441108
low,24,17.00,left,1473232111.989266
high,76,43.00,left,1473232113.565287
high,116,63.00,right,1473232115.032261
low,45,27.50,left,1473232116.389471
low,4,7.00,left,1473232117.992654
mid,13,11.50,left,1473232119.420219
mid,95,52.50,right,1473232121.023888
low,26,18.00,left,1473232122.450115
high,63,36.50,right,1473232124.026960
low,116,63.00,right,1473232125.606052
high,107,58.50,right,1473232126.949755
low,108,59.00,right,1473232128.402001
low,75,42.50,right,1473232129.978257
mid,16,13.00,left,1473232131.526351
mid,81,45.50,left,1473232132.939114
mid,69,39.50,left,1473232134.391947
high,8,9.00,left,1473232135.816959
