object,stimulus,angle,response,time
mid,82,46.00,right,1487065962.281757
high,30,20.00,left,1487065963.562092
mid,106,58.00,right,1487065965.100353
mid,32,21.00,left,1487065966.556982
low,63,36.50,right,1487065968.122394
low,31,20.50,left,1487065969.593316
high,73,41.50,right,1487065971.199328
low,68,39.00,right,1487065972.737226
low,9,9.50,left,1487065974.152705
mid,52,31.00,left,1487065975.771873
high,49,29.50,right,1487065977.323766
high,51,30.50,right,1487065978.725600
high,104,57.00,right,1487065980.277246
low,32,21.00,left,1487065981.829735
low,105,57.50,right,1487065983.381285
high,57,33.50,right,1487065985.001034
high,17,13.50,right,1487065986.648090
low,77,43.50,right,1487065987.982509
mid,54,32.00,left,1487065989.521586
high,20,15.00,left,1487065991.005566
mid,104,57.00,right,1487065992.476316
low,12,11.00,left,1487065993.878630
mid,107,58.50,right,1487065995.498358
mid,50,30.00,right,1487065997.037972
mid,59,34.50,right,1487065998.522298
mid,97,53.50,right,1487066000.129709
mid,57,33.50,left,1487066001.627692
high,9,9.50,left,1487066002.962036
low,53,31.50,left,1487066004.540456
low,93,51.50,right,1487066006.010282
low,15,12.50,left,1487066007.535158
low,21,15.50,left,1487066008.950936
high,70,40.00,right,1487066010.570846
high,33,21.50,left,1487066012.124061
high,40,25.00,left,1487066013.594232
mid,49,29.50,left,1487066015.051761
high,114,62.00,right,1487066016.645019
mid,101,55.50,right,1487066018.142638
low,55,32.50,left,1487066019.776938
low,96,53.00,right,1487066021.247144
mid,80,45.00,right,1487066022.867409
high,65,37.50,left,1487066024.501049
mid,92,51.00,right,1487066025.835097
high,41,25.50,left,1487066027.211405
high,109,59.50,right,1487066028.682563
low,19,14.50,left,1487066030.139454
mid,4,7.00,left,1487066031.595200
low,11,10.50,left,1487066033.214787
low,10,10.00,left,1487066034.673027
low,81,45.50,left,1487066036.417198
mid,98,54.00,right,1487066037.751884
low,99,54.50,left,1487066039.194995
mid,21,15.50,left,1487066040.651611
low,106,58.00,right,1487066042.053614
mid,65,37.50,left,1487066043.483183
high,1,5.50,left,1487066045.021514
high,76,43.00,right,1487066046.572035
mid,25,17.50,left,1487066048.067871
high,100,55.00,right,1487066049.564571
high,88,49.00,right,1487066051.117637
high,97,53.50,right,1487066052.765461
low,33,21.50,left,1487066054.330677
low,29,19.50,left,1487066055.746650
mid,78,44.00,left,1487066057.392852
mid,9,9.50,left,1487066058.753440
low,89,49.50,right,1487066060.268612
high,92,51.00,right,1487066061.916401
mid,17,13.50,left,1487066063.427400
high,115,62.50,right,1487066064.966057
high,2,6.00,left,1487066066.517886
mid,67,38.50,right,1487066068.369430
low,97,53.50,right,1487066069.554024
mid,42,26.00,left,1487066071.038099
