object,stimulus,angle,response,time
low,4,7.00,right,1478617183.415499
high,48,29.00,left,1478617184.612395
low,47,28.50,left,1478617186.109389
mid,2,6.00,right,1478617187.537579
high,70,40.00,left,1478617189.128685
high,92,51.00,left,1478617190.585006
mid,0,5.00,right,1478617192.191619
low,55,32.50,left,1478617193.634675
mid,65,37.50,left,1478617195.131750
high,56,33.00,left,1478617196.574792
low,19,14.50,left,1478617198.099378
mid,110,60.00,left,1478617199.555686
mid,76,43.00,left,1478617201.093823
low,107,58.50,left,1478617202.550154
low,76,43.00,left,1478617203.953100
high,71,40.50,left,1478617205.477878
high,67,38.50,left,1478617206.879931
low,46,28.00,right,1478617208.498653
mid,73,41.50,left,1478617209.859880
mid,25,17.50,right,1478617211.466230
high,7,8.50,right,1478617212.773577
high,73,41.50,left,1478617214.488859
low,116,63.00,left,1478617215.890521
mid,92,51.00,left,1478617217.291942
low,53,31.50,right,1478617218.871486
mid,113,61.50,left,1478617220.382488
mid,64,37.00,right,1478617221.837711
high,111,60.50,left,1478617223.267327
mid,95,52.50,right,1478617224.928463
low,43,26.50,right,1478617226.207802
high,88,49.00,left,1478617227.678075
high,76,43.00,left,1478617229.392890
low,22,16.00,right,1478617230.931300
high,64,37.00,left,1478617232.415313
mid,41,25.50,right,1478617234.021394
low,26,18.00,right,1478617235.491523
low,113,61.50,left,1478617237.057336
low,60,35.00,left,1478617238.472360
high,99,54.50,NA,0.000000
high,23,16.50,right,1478617241.656805
high,77,43.50,left,1478617243.249766
mid,70,40.00,left,1478617244.665776
low,20,15.00,right,1478617245.971417
low,40,25.00,right,1478617247.618736
mid,117,63.50,left,1478617249.103129
high,9,9.50,right,1478617250.423586
mid,104,57.00,left,1478617251.961644
mid,42,26.00,right,1478617253.540298
low,115,62.50,left,1478617254.847358
mid,35,22.50,right,1478617256.317334
low,97,53.50,left,1478617257.841705
high,61,35.50,left,1478617259.448393
low,58,34.00,right,1478617260.918347
low,17,13.50,right,1478617262.320024
high,117,63.50,left,1478617263.789774
mid,59,34.50,right,1478617265.396156
mid,90,50.00,right,1478617266.812148
high,2,6.00,right,1478617268.119031
mid,71,40.50,left,1478617269.670823
high,86,48.00,left,1478617271.099801
mid,106,58.00,left,1478617272.637922
low,49,29.50,left,1478617274.147611
high,72,41.00,left,1478617275.630343
low,7,8.50,right,1478617277.100715
high,54,32.00,right,1478617278.571526
mid,27,18.50,right,1478617280.123134
mid,31,20.50,right,1478617281.620880
low,12,11.00,right,1478617283.077898
high,118,64.00,left,1478617284.698904
high,26,18.00,right,1478617286.087350
mid,118,64.00,left,1478617287.761267
low,36,23.00,right,1478617289.354726
high,11,10.50,right,1478617290.744279
mid,46,28.00,right,1478617292.187360
mid,61,35.50,right,1478617293.765955
low,83,46.50,left,1478617295.440235
mid,91,50.50,left,1478617296.978337
high,58,34.00,right,1478617298.408469
low,101,55.50,left,1478617299.905480
low,65,37.50,right,1478617301.484118
high,14,12.00,right,1478617302.953785
low,117,63.50,left,1478617304.259744
mid,109,59.50,left,1478617305.729879
high,102,56.00,left,1478617307.226715
low,51,30.50,right,1478617308.737519
low,92,51.00,left,1478617310.221415
mid,116,63.00,left,1478617311.991160
high,97,53.50,left,1478617313.311830
mid,85,47.50,left,1478617314.782656
high,91,50.50,left,1478617316.116627
mid,89,49.50,right,1478617317.790563
high,82,46.00,left,1478617319.342432
low,42,26.00,right,1478617320.853944
mid,78,44.00,left,1478617322.391186
high,68,39.00,left,1478617323.861334
low,80,45.00,right,1478617325.440341
low,27,18.50,right,1478617326.950477
mid,112,61.00,left,1478617328.488771
low,79,44.50,right,1478617330.054694
low,114,62.00,left,1478617331.470595
low,82,46.00,right,1478617332.981299
high,18,14.00,right,1478617334.370176
high,13,11.50,right,1478617335.785916
mid,99,54.50,right,1478617337.501102
mid,55,32.50,right,1478617338.753624
high,15,12.50,right,1478617340.372728
mid,11,10.50,right,1478617341.856688
high,4,7.00,right,1478617343.381368
mid,7,8.50,right,1478617344.824239
low,112,61.00,right,1478617346.566421
high,60,35.00,right,1478617348.008222
low,44,27.00,right,1478617349.355247
high,107,58.50,left,1478617351.002952
high,75,42.50,left,1478617352.336177
mid,102,56.00,left,1478617353.859841
high,96,53.00,left,1478617355.425375
low,100,55.00,right,1478617356.949855
low,75,42.50,right,1478617358.446375
mid,10,10.00,right,1478617359.862382
mid,9,9.50,right,1478617361.360218
low,73,41.50,right,1478617395.163256
mid,44,27.00,right,1478617396.510610
mid,93,51.50,right,1478617398.089560
high,62,36.00,left,1478617399.748876
high,17,13.50,right,1478617401.110463
mid,58,34.00,left,1478617402.648643
low,74,42.00,left,1478617404.173928
low,2,6.00,right,1478617405.562819
high,80,45.00,left,1478617407.183033
low,88,49.00,right,1478617408.762462
high,112,61.00,left,1478617410.122859
mid,74,42.00,left,1478617411.659692
low,25,17.50,right,1478617412.898706
mid,75,42.50,left,1478617414.504662
high,85,47.50,left,1478617415.961898
low,24,17.00,right,1478617417.418324
low,33,21.50,right,1478617418.806461
low,5,7.50,right,1478617420.330415
mid,88,49.00,left,1478617421.882548
mid,39,24.50,right,1478617423.393472
high,114,62.00,left,1478617424.891077
high,63,36.50,left,1478617426.524704
mid,17,13.50,right,1478617428.035170
high,69,39.50,left,1478617429.559238
mid,52,31.00,right,1478617431.206965
mid,1,5.50,right,1478617432.430974
high,34,22.00,right,1478617434.023213
high,6,8.00,right,1478617435.316071
low,110,60.00,left,1478617436.853531
high,95,52.50,left,1478617438.337721
mid,38,24.00,right,1478617439.929489
low,78,44.00,left,1478617441.467401
high,59,34.50,right,1478617442.979355
low,67,38.50,right,1478617444.518484
low,14,12.00,right,1478617445.879082
mid,37,23.50,right,1478617447.403220
high,108,59.00,right,1478617448.709649
low,54,32.00,right,1478617450.288966
mid,32,21.00,right,1478617451.677201
high,29,19.50,right,1478617453.256409
low,91,50.50,left,1478617454.808172
mid,30,20.00,right,1478617456.114604
