object,stimulus,angle,response,time
mid,107,58.50,right,1487330467.329010
low,101,55.50,right,1487330468.839408
mid,14,12.00,left,1487330470.186772
low,111,60.50,right,1487330471.670410
low,115,62.50,right,1487330473.167335
high,119,64.50,right,1487330474.693066
mid,85,47.50,right,1487330476.244989
high,68,39.00,left,1487330477.456848
low,94,52.00,right,1487330478.994920
mid,86,48.00,right,1487330480.505668
high,61,35.50,right,1487330482.301893
high,69,39.50,right,1487330483.635322
mid,24,17.00,left,1487330485.024254
low,75,42.50,right,1487330486.658094
high,111,60.50,right,1487330487.910715
high,63,36.50,right,1487330489.666231
low,21,15.50,left,1487330491.067661
low,77,43.50,right,1487330492.687192
mid,74,42.00,right,1487330494.089294
low,11,10.50,left,1487330495.572432
high,116,63.00,right,1487330496.959776
mid,90,50.00,right,1487330498.511578
mid,48,29.00,left,1487330500.512117
high,80,45.00,right,1487330501.560944
low,82,46.00,right,1487330503.166470
low,67,38.50,right,1487330504.649748
mid,31,20.50,left,1487330506.119581
high,2,6.00,left,1487330507.494693
low,38,24.00,left,1487330509.141107
mid,92,51.00,right,1487330510.501854
high,93,51.50,right,1487330511.985150
high,112,61.00,right,1487330513.441771
mid,94,52.00,right,1487330515.021010
low,84,47.00,right,1487330516.504586
high,10,10.00,left,1487330517.851929
mid,5,7.50,left,1487330519.294054
mid,42,26.00,left,1487330520.913791
low,78,44.00,right,1487330522.165643
low,97,53.50,NA,0.000000
mid,100,55.00,right,1487330525.446572
mid,106,58.00,right,1487330526.835201
low,46,28.00,left,1487330528.318595
high,5,7.50,left,1487330529.938458
mid,72,41.00,right,1487330531.353683
high,67,38.50,right,1487330533.068830
low,58,34.00,right,1487330534.906004
high,52,31.00,right,1487330536.307697
high,101,55.50,right,1487330537.518552
mid,46,28.00,right,1487330539.478271
low,99,54.50,right,1487330540.540309
low,57,33.50,right,1487330542.377939
high,19,14.50,left,1487330543.643213
mid,9,9.50,left,1487330545.112735
low,31,20.50,left,1487330546.718444
high,49,29.50,right,1487330548.378140
low,10,10.00,left,1487330549.698974
mid,104,57.00,right,1487330551.236266
high,33,21.50,right,1487330553.155462
mid,70,40.00,right,1487330554.271681
high,95,52.50,right,1487330555.673068
high,103,56.50,right,1487330557.170272
high,86,48.00,right,1487330558.613511
low,37,23.50,left,1487330560.695846
low,9,9.50,left,1487330561.730068
low,6,8.00,left,1487330563.186452
mid,82,46.00,right,1487330564.792970
low,35,22.50,left,1487330566.766088
mid,43,26.50,left,1487330567.814330
mid,44,27.00,left,1487330569.420386
high,109,59.50,right,1487330570.605131
mid,8,9.00,left,1487330572.130374
high,92,51.00,right,1487330573.668335
high,83,46.50,right,1487330575.069654
mid,10,10.00,left,1487330576.798893
high,102,56.00,right,1487330578.119421
mid,17,13.50,left,1487330579.643891
high,18,14.00,left,1487330581.154961
mid,77,43.50,right,1487330582.624454
low,96,53.00,right,1487330584.149457
low,30,20.00,left,1487330585.783517
low,16,13.00,left,1487330587.240802
mid,116,63.00,right,1487330588.711306
low,43,26.50,left,1487330590.290270
high,72,41.00,right,1487330591.855706
high,23,16.50,left,1487330593.788220
mid,113,61.50,right,1487330594.823034
mid,38,24.00,left,1487330596.633956
mid,34,22.00,left,1487330598.321775
high,46,28.00,right,1487330599.914175
high,21,15.50,left,1487330601.206477
mid,84,47.00,right,1487330602.417316
low,1,5.50,left,1487330603.927775
low,42,26.00,left,1487330605.995296
high,85,47.50,right,1487330606.974824
low,79,44.50,right,1487330608.594355
low,12,11.00,left,1487330609.887391
mid,21,15.50,left,1487330611.398108
low,104,57.00,right,1487330612.963277
mid,101,55.50,right,1487330614.283967
low,8,9.00,left,1487330615.849439
high,73,41.50,right,1487330617.523216
high,37,23.50,left,1487330618.789663
mid,4,7.00,left,1487330620.015299
low,40,25.00,left,1487330621.511822
low,107,58.50,right,1487330622.832458
mid,62,36.00,right,1487330624.425492
high,3,6.50,left,1487330626.195018
high,54,32.00,right,1487330627.529065
high,114,62.00,right,1487330628.944280
high,76,43.00,right,1487330630.401428
mid,95,52.50,right,1487330631.884493
mid,18,14.00,left,1487330633.504587
low,89,49.50,right,1487330634.974339
low,113,61.50,right,1487330636.430521
high,24,17.00,left,1487330638.173236
low,117,63.50,right,1487330639.643814
low,23,16.50,left,1487330641.290820
high,55,32.50,right,1487330643.087863
mid,119,64.50,right,1487330644.054614
mid,49,29.50,right,1487330646.122869
mid,76,43.00,right,1487330679.347974
low,72,41.00,right,1487330680.696087
high,118,64.00,right,1487330682.085371
high,97,53.50,right,1487330683.760421
mid,28,19.00,left,1487330685.189155
low,74,42.00,right,1487330687.340443
high,38,24.00,right,1487330688.646440
mid,50,30.00,left,1487330690.456446
high,30,20.00,left,1487330691.245783
mid,41,25.50,left,1487330692.797378
low,112,61.00,right,1487330693.954352
low,18,14.00,left,1487330695.613821
mid,26,18.00,left,1487330697.084176
low,71,40.50,right,1487330699.207179
mid,67,38.50,right,1487330700.419285
low,69,39.50,right,1487330702.256182
high,44,27.00,right,1487330703.998963
high,117,63.50,right,1487330704.652689
low,65,37.50,left,1487330706.694047
mid,96,53.00,right,1487330707.715060
mid,112,61.00,right,1487330709.171841
high,104,57.00,right,1487330710.750772
low,62,36.00,left,1487330713.132683
high,89,49.50,right,1487330713.814038
low,27,18.50,left,1487330715.176147
mid,40,25.00,left,1487330717.165388
low,2,6.00,left,1487330718.131805
low,118,64.00,right,1487330719.724845
mid,16,13.00,left,1487330721.031058
mid,47,28.50,left,1487330722.895985
mid,91,50.50,right,1487330724.147492
high,9,9.50,left,1487330725.794360
high,99,54.50,right,1487330727.196047
low,51,30.50,left,1487330729.033410
high,115,62.50,right,1487330730.312382
high,59,34.50,right,1487330732.014196
low,61,35.50,left,1487330733.784294
mid,114,62.00,right,1487330734.818648
low,47,28.50,left,1487330736.465718
high,11,10.50,left,1487330737.760008
high,42,26.00,left,1487330739.598266
low,90,50.00,right,1487330740.782259
mid,108,59.00,right,1487330742.156958
low,13,11.50,left,1487330743.613247
mid,39,24.50,left,1487330745.394992
high,78,44.00,right,1487330746.905596
high,87,48.50,right,1487330748.293270
mid,36,23.00,left,1487330750.172973
high,77,43.50,right,1487330751.398297
high,57,33.50,right,1487330753.288978
low,92,51.00,right,1487330754.567895
low,5,7.50,left,1487330755.901425
mid,110,60.00,right,1487330757.262107
mid,93,51.50,right,1487330758.963287
low,86,48.00,right,1487330760.351807
high,75,42.50,right,1487330761.972122
high,82,46.00,right,1487330763.333986
mid,20,15.00,left,1487330764.885546
mid,23,16.50,left,1487330766.627669
low,48,29.00,right,1487330767.935288
high,41,25.50,right,1487330769.595355
high,20,15.00,left,1487330770.956817
low,109,59.50,right,1487330772.263094
mid,12,11.00,left,1487330773.938008
high,51,30.50,left,1487330775.612072
mid,99,54.50,right,1487330776.550849
low,17,13.50,left,1487330778.033518
mid,2,6.00,left,1487330779.570910
low,36,23.00,left,1487330781.272525
low,87,48.50,right,1487330782.483341
high,47,28.50,left,1487330783.993806
mid,32,21.00,left,1487330785.586587
mid,29,19.50,left,1487330787.192699
mid,52,31.00,right,1487330789.248534
mid,63,36.50,right,1487330790.378290
high,64,37.00,right,1487330791.644703
high,14,12.00,left,1487330793.019455
high,35,22.50,left,1487330794.911662
high,50,30.00,right,1487330796.204343
low,29,19.50,left,1487330797.565573
mid,27,18.50,left,1487330799.308464
