stimulus,angle,response,time
51,-4.50,right,1472819157.465053
16,-22.00,left,1472819224.164912
7,-26.50,left,1472819225.646175
39,-10.50,left,1472819227.223559
19,-20.50,left,1472819228.717617
92,16.00,right,1472819230.241234
110,25.00,right,1472819231.638982
68,4.00,right,1472819233.504834
11,-24.50,left,1472819234.478789
100,20.00,right,1472819236.205584
113,26.50,right,1472819237.632353
67,3.50,right,1472819239.565523
74,7.00,right,1472819240.690211
36,-12.00,left,1472819242.252908
54,-3.00,left,1472819243.803681
63,1.50,left,1472819245.311958
70,5.00,right,1472819246.859774
103,21.50,right,1472819248.258479
56,-2.00,left,1472819250.147615
14,-23.00,left,1472819251.093786
65,2.50,right,1472819253.202256
26,-17.00,left,1472819254.340144
91,15.50,right,1472819255.655115
17,-21.50,left,1472819257.121568
64,2.00,left,1472819258.792379
5,-27.50,left,1472819260.203684
94,17.00,right,1472819261.724028
44,-8.00,left,1472819263.175296
1,-29.50,left,1472819264.833872
18,-21.00,left,1472819266.285514
79,9.50,right,1472819267.834999
114,27.00,right,1472819269.013457
90,15.00,right,1472819270.646362
42,-9.00,left,1472819272.029396
115,27.50,right,1472819273.701685
34,-13.00,left,1472819275.154421
58,-1.00,left,1472819276.690055
60,0.00,left,1472819278.265813
55,-2.50,left,1472819279.894940
61,0.50,left,1472819281.498465
77,8.50,right,1472819282.637810
95,17.50,right,1472819284.089064
71,5.50,right,1472819285.651083
118,29.00,right,1472819287.214674
29,-15.50,left,1472819288.926005
82,11.00,right,1472819290.241784
40,-10.00,left,1472819291.803273
15,-22.50,left,1472819293.324724
86,13.00,right,1472819294.981688
81,10.50,right,1472819296.351707
49,-5.50,left,1472819297.829812
23,-18.50,left,1472819299.446036
41,-9.50,left,1472819300.720843
96,18.00,right,1472819302.256934
2,-29.00,left,1472819303.708792
27,-16.50,left,1472819305.190925
24,-18.00,left,1472819306.847049
76,8.00,right,1472819308.206578
102,21.00,left,1472819309.907495
48,-6.00,left,1472819311.566486
104,22.00,right,1472819312.704958
107,23.50,right,1472819314.198615
37,-11.50,left,1472819315.856126
85,12.50,right,1472819317.418577
89,14.50,right,1472819318.927566
119,29.50,NA,0.000000
22,-19.00,left,1472819321.902073
35,-12.50,left,1472819323.298591
4,-28.00,left,1472819324.765647
73,6.50,right,1472819326.244828
101,20.50,right,1472819327.727379
43,-8.50,left,1472819329.122772
83,11.50,right,1472819330.576437
10,-25.00,left,1472819332.095689
97,18.50,right,1472819333.740914
109,24.50,right,1472819335.138522
30,-15.00,left,1472819336.524981
0,-30.00,left,1472819338.058066
38,-11.00,left,1472819339.689326
112,26.00,right,1472819341.141368
59,-0.50,left,1472819342.580470
47,-6.50,left,1472819344.103935
105,22.50,right,1472819345.420155
117,28.50,right,1472819346.884804
88,14.00,right,1472819348.406268
111,25.50,right,1472819350.286405
66,3.00,left,1472819351.492169
98,19.00,right,1472819353.029667
78,9.00,right,1472819354.715273
9,-25.50,left,1472819356.058956
52,-4.00,left,1472819357.635037
57,-1.50,left,1472819359.335806
69,4.50,right,1472819360.609861
3,-28.50,left,1472819362.173104
8,-26.00,left,1472819363.652354
93,16.50,right,1472819365.270740
31,-14.50,left,1472819366.654232
75,7.50,right,1472819368.202428
13,-23.50,left,1472819369.586286
33,-13.50,right,1472819371.066756
46,-7.00,left,1472819372.587451
53,-3.50,left,1472819374.111454
87,13.50,right,1472819375.702099
45,-7.50,left,1472819377.276593
106,23.00,right,1472819378.714116
21,-19.50,left,1472819380.138441
32,-14.00,left,1472819381.687439
25,-17.50,left,1472819383.194684
50,-5.00,left,1472819384.650004
20,-20.00,left,1472819386.145251
28,-16.00,left,1472819387.887081
84,12.00,right,1472819389.353234
80,10.00,right,1472819390.860589
6,-27.00,left,1472819392.245928
108,24.00,right,1472819393.794975
72,6.00,right,1472819395.413648
99,19.50,right,1472819396.632192
12,-24.00,left,1472819398.113571
116,28.00,right,1472819399.661157
62,1.00,left,1472819401.427836
