object,obj.idx,table,tab.idx,time
high,97,hor,60,1478160454.316053
high,26,hor,60,1478160455.803181
high,61,hor,60,1478160457.290940
high,21,hor,60,1478160458.749940
high,13,hor,60,1478160460.274355
high,14,hor,60,1478160461.764047
high,38,hor,60,1478160463.286863
high,48,hor,60,1478160464.745754
high,99,hor,60,1478160466.167240
high,50,hor,60,1478160467.690440
high,86,hor,60,1478160469.081505
high,31,hor,60,1478160470.536012
high,22,hor,60,1478160472.059943
high,23,hor,60,1478160473.481866
high,24,hor,60,1478160474.873619
high,15,hor,60,1478160476.298253
high,107,hor,60,1478160477.754751
high,115,hor,60,1478160479.212922
high,39,hor,60,1478160480.769994
high,92,hor,60,1478160482.191305
high,106,hor,60,1478160483.580476
high,81,hor,60,1478160485.198459
high,29,hor,60,1478160486.753600
high,53,hor,60,1478160488.178961
high,89,hor,60,1478160489.702484
high,114,hor,60,1478160491.192272
high,36,hor,60,1478160492.713039
high,113,hor,60,1478160494.200120
high,79,hor,60,1478160495.691016
high,56,hor,60,1478160497.277046
high,11,hor,60,1478160498.831687
high,9,hor,60,1478160500.289446
high,33,hor,60,1478160501.847239
high,17,hor,60,1478160503.435112
high,101,hor,60,1478160505.023289
high,66,hor,60,1478160506.545756
high,47,hor,60,1478160508.066286
high,46,hor,60,1478160509.587465
high,32,hor,60,1478160511.142093
high,49,hor,60,1478160512.563642
high,103,hor,60,1478160514.088177
high,117,hor,60,1478160515.612120
high,72,hor,60,1478160517.101619
high,2,hor,60,1478160518.691363
high,68,hor,60,1478160520.113940
high,57,hor,60,1478160521.666563
high,96,hor,60,1478160523.159831
high,25,hor,60,1478160524.648678
high,85,hor,60,1478160526.172200
high,88,hor,60,1478160527.593524
high,90,hor,60,1478160529.017839
high,104,hor,60,1478160530.602837
high,19,hor,60,1478160532.191929
high,40,hor,60,1478160533.784682
high,34,hor,60,1478160535.367570
high,28,hor,60,1478160536.759443
high,10,hor,60,1478160538.218025
high,76,hor,60,1478160539.739513
high,62,hor,60,1478160541.160523
high,77,hor,60,1478160542.582413
high,0,hor,60,1478160544.168405
high,43,hor,60,1478160545.656707
high,37,hor,60,1478160547.209097
high,118,hor,60,1478160548.727808
high,45,hor,60,1478160550.150347
high,64,hor,60,1478160551.607741
high,6,hor,60,1478160553.232249
high,70,hor,60,1478160554.723329
high,100,hor,60,1478160556.279176
high,69,hor,60,1478160557.797086
high,71,hor,60,1478160559.354734
high,109,hor,60,1478160560.912945
high,95,hor,60,1478160562.531890
high,93,hor,60,1478160563.953978
high,8,hor,60,1478160565.507403
high,105,hor,60,1478160567.127184
high,3,hor,60,1478160568.715432
high,20,hor,60,1478160570.269080
high,12,hor,60,1478160571.757393
high,52,hor,60,1478160573.312224
high,102,hor,60,1478160574.901619
high,30,hor,60,1478160576.357256
high,75,hor,60,1478160577.878734
high,80,hor,60,1478160579.298379
high,44,hor,60,1478160580.752740
high,112,hor,60,1478160582.175270
high,1,hor,60,1478160583.598051
high,94,hor,60,1478160585.190629
high,7,hor,60,1478160586.747066
high,27,hor,60,1478160588.232753
high,116,hor,60,1478160589.754882
high,111,hor,60,1478160591.308475
high,54,hor,60,1478160592.797161
high,73,hor,60,1478160594.323708
high,59,hor,60,1478160595.847332
high,119,hor,60,1478160597.267360
high,82,hor,60,1478160598.755544
high,5,hor,60,1478160600.244109
high,78,hor,60,1478160601.732197
high,98,hor,60,1478160603.220002
high,63,hor,60,1478160604.676294
high,35,hor,60,1478160606.067314
high,83,hor,60,1478160607.656634
high,42,hor,60,1478160609.177161
high,84,hor,60,1478160610.665852
high,91,hor,60,1478160612.190826
high,4,hor,60,1478160613.579911
high,55,hor,60,1478160615.066239
high,87,hor,60,1478160616.554746
high,58,hor,60,1478160618.109123
high,108,hor,60,1478160619.531115
high,60,hor,60,1478160621.050131
high,110,hor,60,1478160622.538733
high,41,hor,60,1478160624.027567
high,51,hor,60,1478160625.516036
high,16,hor,60,1478160627.002780
high,18,hor,60,1478160628.591437
high,65,hor,60,1478160630.117177
high,67,hor,60,1478160631.538495
high,74,hor,60,1478160633.026323
