object,stimulus,angle,response,time
high,100,55.00,right,1478183366.962642
high,28,19.00,left,1478183436.246305
high,119,64.50,right,1478183437.607260
high,14,12.00,left,1478183438.996172
high,97,53.50,right,1478183440.630192
high,5,7.50,left,1478183442.181721
high,2,6.00,left,1478183443.814342
high,75,42.50,right,1478183445.379395
high,11,10.50,left,1478183446.848854
high,15,12.50,left,1478183448.209350
high,20,15.00,left,1478183449.734206
high,29,19.50,left,1478183451.259151
high,83,46.50,left,1478183452.796708
high,115,62.50,right,1478183454.267243
high,110,60.00,right,1478183455.847513
high,39,24.50,left,1478183457.657740
high,106,58.00,right,1478183458.950203
high,107,58.50,right,1478183460.270408
high,26,18.00,left,1478183461.835564
high,104,57.00,right,1478183463.306015
high,93,51.50,right,1478183464.721705
high,77,43.50,right,1478183466.219093
high,94,52.00,right,1478183467.648134
high,69,39.50,right,1478183469.227103
high,71,40.50,right,1478183470.888458
high,64,37.00,right,1478183472.345152
high,44,27.00,left,1478183473.842750
high,25,17.50,left,1478183475.340208
high,99,54.50,right,1478183476.920978
high,60,35.00,right,1478183478.567363
high,30,20.00,left,1478183479.819510
high,37,23.50,left,1478183481.289107
high,8,9.00,left,1478183482.787083
high,31,20.50,left,1478183484.325593
high,0,5.00,left,1478183485.930477
high,86,48.00,right,1478183487.589936
high,68,39.00,right,1478183488.977949
high,78,44.00,right,1478183490.365750
high,32,21.00,left,1478183492.026123
high,98,54.00,right,1478183493.372980
high,18,14.00,left,1478183494.992694
high,72,41.00,right,1478183496.394989
high,46,28.00,left,1478183498.056794
high,96,53.00,right,1478183499.608650
high,21,15.50,left,1478183501.243344
high,109,59.50,right,1478183502.685963
high,23,16.50,left,1478183504.577979
high,57,33.50,right,1478183505.843779
high,52,31.00,left,1478183507.395205
high,87,48.50,right,1478183508.797174
high,58,34.00,left,1478183510.226812
high,22,16.00,left,1478183511.886817
high,91,50.50,right,1478183513.329348
high,41,25.50,left,1478183514.757336
high,12,11.00,left,1478183516.227851
high,114,62.00,right,1478183517.874074
high,47,28.50,left,1478183519.248085
high,9,9.50,left,1478183520.622201
high,55,32.50,right,1478183522.187233
high,19,14.50,left,1478183523.765528
high,62,36.00,right,1478183525.333145
high,43,26.50,right,1478183527.238921
high,56,33.00,right,1478183528.531560
high,89,49.50,right,1478183530.028867
high,70,40.00,right,1478183531.511939
high,79,44.50,right,1478183532.997358
high,61,35.50,right,1478183534.590698
high,16,13.00,left,1478183536.061455
high,17,13.50,left,1478183537.557664
high,13,11.50,left,1478183539.000778
high,33,21.50,right,1478183540.540051
high,36,23.00,right,1478183542.132178
high,45,27.50,right,1478183543.426413
high,67,38.50,right,1478183544.937821
high,10,10.00,left,1478183546.434823
high,49,29.50,right,1478183548.040891
high,105,57.50,right,1478183549.442408
high,111,60.50,right,1478183550.966798
high,85,47.50,right,1478183552.586170
high,108,59.00,right,1478183554.015085
high,40,25.00,left,1478183555.675465
high,27,18.50,left,1478183557.240332
high,101,55.50,right,1478183558.464815
high,118,64.00,right,1478183559.976811
high,82,46.00,right,1478183561.691083
high,116,63.00,right,1478183563.010286
high,90,50.00,right,1478183564.615657
high,103,56.50,right,1478183566.071337
high,112,61.00,right,1478183567.486964
high,76,43.00,right,1478183569.106412
high,1,5.50,left,1478183570.630678
high,73,41.50,right,1478183572.088535
high,88,49.00,right,1478183573.437433
high,50,30.00,right,1478183574.894057
high,117,63.50,right,1478183576.337225
high,80,45.00,right,1478183577.780065
high,3,6.50,left,1478183579.522144
high,42,26.00,right,1478183580.978833
high,53,31.50,right,1478183582.461973
high,92,51.00,right,1478183583.849425
high,74,42.00,right,1478183585.373460
high,102,56.00,right,1478183586.707364
high,4,7.00,left,1478183588.545255
high,54,32.00,left,1478183589.674536
high,24,17.00,left,1478183591.363044
high,84,47.00,right,1478183593.009957
high,48,29.00,right,1478183594.248536
high,35,22.50,right,1478183595.787536
high,81,45.50,right,1478183597.272620
high,34,22.00,left,1478183599.001119
high,113,61.50,right,1478183600.322197
high,51,30.50,right,1478183602.009578
high,65,37.50,right,1478183603.275006
high,95,52.50,right,1478183604.704279
high,66,38.00,right,1478183606.255633
high,38,24.00,right,1478183607.644857
high,59,34.50,right,1478183609.400350
high,63,36.50,right,1478183610.651954
high,6,8.00,left,1478183612.108053
high,7,8.50,left,1478183613.618609
