stimulus,angle,response,time
14,-23.00,left,1478512206.113769
13,-23.50,left,1478512207.652754
60,0.00,right,1478512209.176791
2,-29.00,left,1478512210.605321
107,23.50,NA,0.000000
12,-24.00,left,1478512213.586612
26,-17.00,left,1478512215.057299
37,-11.50,left,1478512216.581482
66,3.00,right,1478512218.241785
83,11.50,NA,0.000000
111,25.50,right,1478512221.237178
73,6.50,right,1478512223.047054
69,4.50,right,1478512224.149925
28,-16.00,left,1478512225.674992
5,-27.50,left,1478512227.267888
47,-6.50,left,1478512228.833972
10,-25.00,left,1478512230.263477
90,15.00,right,1478512231.747041
104,22.00,right,1478512233.244673
23,-18.50,left,1478512234.932582
29,-15.50,left,1478512236.429241
76,8.00,right,1478512238.036068
78,9.00,right,1478512239.479689
102,21.00,right,1478512241.113520
91,15.50,right,1478512242.542299
46,-7.00,left,1478512243.985550
116,28.00,right,1478512245.495959
49,-5.50,left,1478512247.156417
119,29.50,right,1478512248.707869
42,-9.00,right,1478512250.232299
92,16.00,right,1478512251.756542
64,2.00,right,1478512253.458738
45,-7.50,left,1478512254.765245
18,-21.00,left,1478512256.154103
99,19.50,NA,0.000000
108,24.00,NA,0.000000
75,7.50,right,1478512260.862993
80,10.00,right,1478512262.115332
96,18.00,right,1478512263.502801
88,14.00,right,1478512265.245997
74,7.00,right,1478512266.676887
87,13.50,NA,0.000000
79,9.50,right,1478512269.753378
41,-9.50,left,1478512271.265499
117,28.50,NA,0.000000
118,29.00,right,1478512274.410706
103,21.50,right,1478512275.868533
101,20.50,right,1478512277.419734
68,4.00,right,1478512278.862622
44,-8.00,left,1478512280.524105
30,-15.00,left,1478512281.844392
35,-12.50,left,1478512283.178045
21,-19.50,left,1478512284.852429
43,-8.50,left,1478512286.186248
52,-4.00,left,1478512287.587938
25,-17.50,left,1478512289.207040
89,14.50,right,1478512290.636117
77,8.50,right,1478512292.147238
110,25.00,right,1478512293.698765
1,-29.50,left,1478512295.481639
112,26.00,right,1478512296.828584
67,3.50,right,1478512298.557556
100,20.00,right,1478512299.837955
114,27.00,right,1478512301.376734
106,23.00,right,1478512302.833169
3,-28.50,right,1478512304.398661
22,-19.00,left,1478512305.964044
0,-30.00,left,1478512307.489091
65,2.50,right,1478512309.026669
97,18.50,right,1478512310.564780
34,-13.00,left,1478512312.062048
54,-3.00,right,1478512313.559600
63,1.50,right,1478512315.084387
11,-24.50,left,1478512316.771528
15,-22.50,left,1478512318.119171
9,-25.50,left,1478512319.588824
71,5.50,right,1478512321.059737
57,-1.50,right,1478512322.870686
33,-13.50,left,1478512324.123316
19,-20.50,left,1478512325.470987
38,-11.00,left,1478512327.091119
17,-21.50,left,1478512328.411126
59,-0.50,right,1478512330.004704
53,-3.50,right,1478512331.501768
48,-6.00,left,1478512333.013083
70,5.00,right,1478512334.415873
58,-1.00,left,1478512335.967211
98,19.00,right,1478512337.327661
40,-10.00,left,1478512338.838380
56,-2.00,right,1478512340.416471
61,0.50,right,1478512341.954370
39,-10.50,left,1478512343.328583
115,27.50,right,1478512344.758274
105,22.50,right,1478512346.242154
7,-26.50,left,1478512347.671342
55,-2.50,right,1478512349.033037
95,17.50,right,1478512350.693798
81,10.50,right,1478512352.042101
32,-14.00,left,1478512353.553137
50,-5.00,left,1478512355.254358
31,-14.50,left,1478512356.519528
36,-12.00,left,1478512358.044499
16,-22.00,left,1478512359.555855
8,-26.00,left,1478512361.312083
20,-20.00,left,1478512362.645939
27,-16.50,left,1478512364.089163
24,-18.00,left,1478512365.558438
4,-28.00,left,1478512367.082605
93,16.50,right,1478512368.620486
86,13.00,right,1478512369.981045
84,12.00,right,1478512371.423956
113,26.50,right,1478512372.853252
109,24.50,right,1478512374.283360
6,-27.00,left,1478512375.874521
82,11.00,right,1478512377.330240
94,17.00,right,1478512378.799958
51,-4.50,left,1478512380.393403
85,12.50,right,1478512381.809642
72,6.00,right,1478512383.415019
62,1.00,right,1478512384.763222
