object,stimulus,angle,response,time
low,33,21.50,right,1472045757.438487
low,101,55.50,right,1472045825.875262
high,64,37.00,right,1472045827.576145
low,100,55.00,right,1472045828.934986
high,51,30.50,left,1472045830.280229
mid,88,49.00,right,1472045831.774974
mid,11,10.50,left,1472045833.159717
mid,48,29.00,left,1472045834.708236
mid,14,12.00,left,1472045836.065808
high,37,23.50,left,1472045837.752476
high,11,10.50,left,1472045839.138112
low,71,40.50,left,1472045840.876900
mid,76,43.00,left,1472045842.356988
low,65,37.50,left,1472045843.793778
high,71,40.50,right,1472045845.165099
mid,54,32.00,left,1472045846.687466
high,91,50.50,right,1472045848.345662
mid,95,52.50,right,1472045850.195466
low,92,51.00,left,1472045851.277913
mid,24,17.00,left,1472045852.854761
low,22,16.00,left,1472045854.322153
high,45,27.50,left,1472045856.269155
high,117,63.50,right,1472045857.490214
low,23,16.50,left,1472045858.901335
high,3,6.50,left,1472045860.410327
low,44,27.00,left,1472045862.000219
low,68,39.00,left,1472045863.576713
low,85,47.50,left,1472045865.427877
mid,4,7.00,left,1472045866.469691
low,87,48.50,left,1472045868.347737
high,90,50.00,right,1472045869.471979
mid,106,58.00,right,1472045870.882905
high,95,52.50,right,1472045872.268700
mid,117,63.50,right,1472045873.694840
high,48,29.00,left,1472045875.107450
mid,52,31.00,left,1472045876.408415
mid,94,52.00,right,1472045878.041000
mid,69,39.50,left,1472045879.397489
low,47,28.50,left,1472045880.839002
high,46,28.00,left,1472045882.441124
high,15,12.50,left,1472045883.974765
mid,98,54.00,right,1472045885.731192
low,80,45.00,left,1472045887.143314
high,118,64.00,right,1472045888.678440
high,61,35.50,right,1472045890.967023
low,50,30.00,left,1472045892.021643
low,69,39.50,left,1472045893.597942
mid,45,27.50,left,1472045894.996163
low,1,5.50,left,1472045896.544878
mid,0,5.00,left,1472045897.985313
high,23,16.50,left,1472045899.535462
high,29,19.50,left,1472045900.919592
high,96,53.00,right,1472045902.334685
mid,35,22.50,left,1472045903.937909
high,39,24.50,left,1472045905.458812
low,15,12.50,left,1472045907.158227
mid,42,26.00,left,1472045908.584363
low,106,58.00,right,1472045910.052170
mid,10,10.00,left,1472045911.669979
low,66,38.00,left,1472045913.340794
high,110,60.00,right,1472045914.889105
low,102,56.00,right,1472045916.273774
low,12,11.00,left,1472045917.603848
mid,79,44.50,left,1472045919.154509
mid,115,62.50,right,1472045920.620767
mid,32,21.00,left,1472045922.073355
high,26,18.00,left,1472045923.511150
high,101,55.50,right,1472045925.019257
low,79,44.50,left,1472045926.663501
low,54,32.00,left,1472045928.048449
high,78,44.00,right,1472045929.544888
mid,97,53.50,right,1472045931.053383
low,58,34.00,left,1472045932.467370
high,54,32.00,right,1472045933.935292
mid,70,40.00,left,1472045935.827853
mid,25,17.50,left,1472045937.088984
low,74,42.00,left,1472045939.076046
low,60,35.00,left,1472045940.213546
high,100,55.00,right,1472045941.569855
mid,67,38.50,left,1472045942.912763
high,102,56.00,right,1472045944.324628
high,76,43.00,right,1472045946.368933
low,14,12.00,left,1472045947.453312
mid,77,43.50,left,1472045949.139342
mid,63,36.50,left,1472045950.442679
high,2,6.00,left,1472045951.990983
low,17,13.50,left,1472045953.651011
mid,40,25.00,left,1472045955.378355
low,13,11.50,left,1472045956.696703
high,53,31.50,left,1472045958.495887
mid,57,33.50,left,1472045959.866564
mid,46,28.00,left,1472045961.278697
low,96,53.00,right,1472045962.978378
low,118,64.00,right,1472045964.252901
high,33,21.50,left,1472045965.734253
high,27,18.50,left,1472045967.188413
high,49,29.50,left,1472045968.943428
low,55,32.50,left,1472045970.191115
mid,26,18.00,left,1472045971.533384
mid,108,59.00,right,1472045973.082526
low,90,50.00,left,1472045975.071468
high,88,49.00,right,1472045976.263837
high,70,40.00,right,1472045977.934983
mid,56,33.00,left,1472045979.566373
low,41,25.50,left,1472045980.731287
mid,101,55.50,right,1472045982.310796
low,26,18.00,left,1472045983.545168
high,112,61.00,right,1472045985.123976
high,6,8.00,left,1472045986.634424
low,36,23.00,left,1472045988.170975
mid,30,20.00,left,1472045989.625113
high,28,19.00,left,1472045991.078965
high,57,33.50,right,1472045992.600035
mid,90,50.00,right,1472045994.259580
mid,22,16.00,left,1472045995.604736
mid,89,49.50,right,1472045997.222301
high,111,60.50,right,1472045998.483069
low,107,58.50,right,1472046000.127881
low,46,28.00,left,1472046001.579861
low,113,61.50,right,1472046003.127511
low,86,48.00,left,1472046037.013413
high,85,47.50,right,1472046038.356075
mid,91,50.50,right,1472046039.905995
low,28,19.00,left,1472046041.263962
high,20,15.00,left,1472046042.759701
mid,64,37.00,left,1472046044.363921
low,98,54.00,right,1472046045.926916
high,114,62.00,right,1472046047.420101
mid,2,6.00,left,1472046048.985848
mid,82,46.00,left,1472046050.752754
high,103,56.50,right,1472046051.986196
low,61,35.50,left,1472046053.427482
high,99,54.50,right,1472046055.003301
low,59,34.50,left,1472046056.553119
high,97,53.50,right,1472046058.115198
high,41,25.50,left,1472046059.596257
low,7,8.50,left,1472046061.076374
mid,60,35.00,left,1472046062.611644
low,51,30.50,left,1472046063.998534
low,35,22.50,left,1472046065.506826
high,60,35.00,left,1472046067.262556
mid,96,53.00,right,1472046069.003050
mid,81,45.50,left,1472046070.606421
mid,92,51.00,right,1472046071.868365
high,1,5.50,left,1472046072.936046
mid,85,47.50,left,1472046074.815678
low,48,29.00,left,1472046075.871641
mid,62,36.00,left,1472046077.575069
mid,44,27.00,left,1472046078.945610
low,82,46.00,right,1472046080.877403
low,20,15.00,left,1472046081.851384
low,29,19.50,left,1472046083.318464
mid,59,34.50,left,1472046084.882370
high,43,26.50,left,1472046086.679355
high,83,46.50,right,1472046087.789104
high,87,48.50,right,1472046089.188200
mid,83,46.50,right,1472046091.343401
low,30,20.00,left,1472046092.276006
high,42,26.00,left,1472046093.991881
low,24,17.00,left,1472046095.184561
low,108,59.00,right,1472046096.816103
mid,78,44.00,left,1472046098.448306
mid,27,18.50,left,1472046099.696456
mid,80,45.00,left,1472046101.685437
high,86,48.00,right,1472046102.905314
high,44,27.00,left,1472046104.166665
low,40,25.00,left,1472046105.715440
high,115,62.50,right,1472046107.305707
mid,6,8.00,left,1472046108.813440
mid,61,35.50,left,1472046110.416459
low,8,9.00,left,1472046111.814740
low,111,60.50,right,1472046113.323779
low,64,37.00,left,1472046114.981766
mid,72,41.00,left,1472046116.682010
low,25,17.50,left,1472046117.971442
high,19,14.50,left,1472046119.576822
high,18,14.00,left,1472046121.045832
mid,116,63.00,right,1472046122.444872
high,47,28.50,left,1472046124.172438
high,8,9.00,left,1472046125.529714
mid,29,19.50,left,1472046127.023177
mid,39,24.50,left,1472046128.557109
mid,75,42.50,left,1472046130.284242
low,6,8.00,left,1472046131.628586
low,95,52.50,right,1472046133.203864
high,67,38.50,right,1472046134.699118
low,81,45.50,left,1472046136.548589
high,10,10.00,left,1472046137.767191
high,35,22.50,left,1472046139.275242
low,10,10.00,left,1472046140.729841
high,50,30.00,left,1472046142.265069
mid,3,6.50,left,1472046143.648552
high,104,57.00,right,1472046145.088440
mid,110,60.00,right,1472046146.540695
low,16,13.00,left,1472046148.116774
mid,68,39.00,left,1472046149.952468
mid,118,64.00,right,1472046151.296933
low,75,42.50,left,1472046152.533756
high,24,17.00,left,1472046154.040571
high,82,46.00,right,1472046155.631075
low,116,63.00,right,1472046157.329418
high,69,39.50,right,1472046158.933405
low,38,24.00,left,1472046160.208898
mid,93,51.50,right,1472046161.882730
low,114,62.00,right,1472046163.280590
mid,86,48.00,right,1472046165.487297
high,116,63.00,right,1472046166.571502
mid,15,12.50,left,1472046167.736802
low,43,26.50,left,1472046169.107594
high,79,44.50,left,1472046170.972486
mid,74,42.00,left,1472046172.069645
mid,16,13.00,left,1472046173.522049
low,49,29.50,left,1472046174.935419
low,104,57.00,right,1472046176.607216
high,106,58.00,right,1472046178.046656
high,0,5.00,left,1472046179.486153
mid,103,56.50,left,1472046181.349901
mid,43,26.50,left,1472046182.557112
high,92,51.00,right,1472046184.119103
low,45,27.50,left,1472046185.724309
low,103,56.50,right,1472046187.779125
high,32,21.00,left,1472046189.123865
mid,8,9.00,left,1472046190.179418
high,4,7.00,left,1472046191.523926
low,37,23.50,left,1472046193.017523
low,31,20.50,left,1472046194.386343
mid,105,57.50,right,1472046196.154991
high,16,13.00,left,1472046197.554653
low,11,10.50,left,1472046199.075419
high,36,23.00,left,1472046200.500276
high,9,9.50,left,1472046201.924445
high,75,42.50,left,1472046203.912920
mid,111,60.50,right,1472046205.065163
mid,47,28.50,left,1472046206.477470
high,93,51.50,left,1472046208.231719
low,105,57.50,right,1472046209.575491
low,39,24.50,left,1472046211.001072
mid,51,30.50,left,1472046212.742681
mid,1,5.50,left,1472046213.893791
low,72,41.00,left,1472046216.001690
low,76,43.00,left,1472046249.307294
high,80,45.00,right,1472046250.678778
low,94,52.00,left,1472046252.419506
mid,113,61.50,right,1472046253.583583
low,32,21.00,left,1472046254.980055
high,66,38.00,left,1472046256.981616
low,27,18.50,left,1472046258.092437
mid,55,32.50,left,1472046259.479905
mid,49,29.50,left,1472046261.016064
high,5,7.50,left,1472046262.592447
high,7,8.50,left,1472046264.057899
mid,17,13.50,left,1472046265.484767
low,3,6.50,left,1472046266.910223
low,77,43.50,left,1472046268.786266
mid,28,19.00,left,1472046270.075064
mid,104,57.00,right,1472046271.611092
mid,33,21.50,left,1472046272.995517
high,25,17.50,left,1472046274.448967
high,59,34.50,left,1472046276.025373
mid,19,14.50,left,1472046277.450778
high,22,16.00,left,1472046278.946052
low,42,26.00,left,1472046280.425098
low,91,50.50,right,1472046281.973804
high,108,59.00,right,1472046283.468998
low,56,33.00,left,1472046285.211465
high,105,57.50,right,1472046286.817122
high,89,49.50,right,1472046288.037671
mid,41,25.50,left,1472046289.599200
low,34,22.00,left,1472046291.135899
high,56,33.00,left,1472046292.862986
high,81,45.50,right,1472046294.262297
low,89,49.50,left,1472046295.976513
mid,58,34.00,left,1472046297.170332
mid,112,61.00,right,1472046298.718820
mid,9,9.50,left,1472046300.060020
low,18,14.00,left,1472046301.514388
low,63,36.50,left,1472046303.171920
low,117,63.50,right,1472046304.641043
mid,71,40.50,left,1472046306.079630
high,14,12.00,left,1472046307.492928
