object,stimulus,angle,response,time
high,37,23.50,left,1478598017.535673
high,81,45.50,left,1478598018.747570
high,28,19.00,left,1478598020.394845
high,51,30.50,right,1478598021.851189
high,10,10.00,left,1478598023.471457
high,69,39.50,right,1478598024.997282
high,103,56.50,right,1478598026.344373
high,67,38.50,right,1478598027.922543
high,41,25.50,left,1478598029.419317
high,91,50.50,left,1478598031.038268
high,79,44.50,right,1478598032.576368
high,53,31.50,left,1478598034.183023
high,62,36.00,left,1478598035.571586
high,82,46.00,right,1478598036.878554
high,3,6.50,left,1478598038.634626
high,118,64.00,right,1478598039.886516
high,75,42.50,right,1478598041.533120
high,4,7.00,left,1478598043.192871
high,0,5.00,left,1478598044.853061
high,105,57.50,right,1478598046.159557
high,11,10.50,left,1478598047.684405
high,6,8.00,left,1478598049.263035
high,46,28.00,left,1478598050.746802
high,19,14.50,left,1478598052.393078
high,49,29.50,right,1478598053.685550
high,42,26.00,right,1478598055.087473
high,13,11.50,left,1478598056.707697
high,84,47.00,right,1478598058.232392
high,92,51.00,right,1478598059.689048
high,25,17.50,right,1478598061.227197
high,34,22.00,right,1478598063.296217
high,14,12.00,left,1478598064.387279
high,61,35.50,right,1478598065.884214
high,112,61.00,right,1478598067.286663
high,52,31.00,right,1478598068.879256
high,23,16.50,left,1478598070.294795
high,94,52.00,right,1478598072.118940
high,83,46.50,right,1478598073.261630
high,100,55.00,right,1478598074.840605
high,56,33.00,left,1478598076.351521
high,22,16.00,left,1478598078.284457
high,21,15.50,left,1478598079.414836
high,113,61.50,right,1478598080.830557
high,76,43.00,right,1478598082.394921
high,39,24.50,left,1478598083.838144
high,80,45.00,right,1478598085.375924
high,47,28.50,left,1478598086.954820
high,44,27.00,left,1478598088.873472
high,17,13.50,right,1478598089.907872
high,32,21.00,left,1478598091.758083
high,116,63.00,right,1478598092.983175
high,95,52.50,right,1478598094.439059
high,36,23.00,left,1478598096.181219
high,109,59.50,right,1478598097.405955
high,108,59.00,right,1478598098.822531
high,74,42.00,right,1478598100.292839
high,1,5.50,left,1478598101.939286
high,5,7.50,left,1478598103.395104
high,59,34.50,right,1478598104.865685
high,107,58.50,right,1478598106.376795
high,70,40.00,right,1478598108.010831
high,78,44.00,left,1478598109.426413
high,115,62.50,right,1478598110.951610
high,48,29.00,left,1478598113.142965
high,119,64.50,right,1478598114.054991
high,96,53.00,right,1478598115.484376
high,97,53.50,right,1478598117.063965
high,71,40.50,right,1478598118.642676
high,26,18.00,left,1478598120.303105
high,7,8.50,left,1478598121.541602
high,20,15.00,left,1478598123.093836
high,98,54.00,right,1478598124.550505
high,114,62.00,right,1478598126.019632
high,58,34.00,right,1478598127.557594
high,104,57.00,right,1478598129.068639
high,93,51.50,right,1478598130.606184
high,9,9.50,left,1478598132.268499
high,72,41.00,right,1478598133.875338
high,31,20.50,left,1478598135.263738
high,111,60.50,right,1478598136.721709
high,106,58.00,right,1478598138.096568
high,102,56.00,right,1478598139.472234
high,24,17.00,left,1478598141.078786
high,54,32.00,left,1478598142.684876
high,73,41.50,right,1478598144.317797
high,60,35.00,right,1478598145.610268
high,68,39.00,right,1478598147.312338
high,12,11.00,left,1478598148.660129
high,57,33.50,left,1478598150.252554
high,16,13.00,right,1478598151.505029
high,30,20.00,left,1478598153.261667
high,27,18.50,left,1478598154.677153
high,99,54.50,right,1478598156.215144
high,38,24.00,left,1478598157.957554
high,101,55.50,right,1478598159.060416
high,65,37.50,right,1478598160.693863
high,87,48.50,right,1478598162.095529
high,8,9.00,left,1478598163.742989
high,33,21.50,left,1478598165.172018
high,18,14.00,left,1478598166.709977
high,50,30.00,left,1478598168.316296
high,110,60.00,right,1478598169.773070
high,15,12.50,left,1478598171.542087
high,2,6.00,left,1478598172.672324
high,45,27.50,right,1478598174.265484
high,29,19.50,right,1478598175.611918
high,77,43.50,right,1478598177.054532
high,86,48.00,right,1478598178.443226
high,55,32.50,right,1478598179.940756
high,90,50.00,right,1478598181.396818
high,43,26.50,left,1478598183.003018
high,66,38.00,right,1478598184.555280
high,64,37.00,right,1478598186.024660
high,88,49.00,right,1478598187.660588
high,89,49.50,right,1478598189.565951
high,63,36.50,right,1478598190.518761
high,85,47.50,right,1478598191.866332
high,40,25.00,left,1478598193.527727
high,35,22.50,left,1478598195.012028
high,117,63.50,right,1478598196.427682
