stimulus,angle,response,time
106,23.00,right,1473232719.045130
34,-13.00,left,1473232726.913312
89,14.50,right,1473232728.341790
15,-22.50,left,1473232729.880057
7,-26.50,left,1473232731.388949
16,-22.00,left,1473232732.732708
39,-10.50,left,1473232734.255225
47,-6.50,left,1473232735.775168
85,12.50,left,1473232737.213395
93,16.50,right,1473232738.859690
9,-25.50,left,1473232740.299438
8,-26.00,left,1473232741.724675
50,-5.00,left,1473232743.466740
18,-21.00,left,1473232744.659077
80,10.00,right,1473232746.085729
56,-2.00,left,1473232747.825741
35,-12.50,left,1473232749.429991
14,-23.00,left,1473232750.704708
86,13.00,right,1473232752.200541
46,-7.00,left,1473232753.435935
69,4.50,left,1473232755.122746
82,11.00,right,1473232756.384780
115,27.50,right,1473232757.823041
97,18.50,right,1473232759.397155
2,-29.00,left,1473232761.070833
45,-7.50,left,1473232762.633253
63,1.50,right,1473232764.660455
12,-24.00,left,1473232766.029161
26,-17.00,left,1473232767.236858
114,27.00,right,1473232768.511493
99,19.50,right,1473232770.073291
30,-15.00,left,1473232771.579069
25,-17.50,left,1473232772.866492
118,29.00,right,1473232774.250272
27,-16.50,left,1473232775.824913
70,5.00,right,1473232777.525080
11,-24.50,left,1473232779.046571
38,-11.00,left,1473232780.321310
102,21.00,right,1473232781.803648
49,-5.50,left,1473232783.433936
13,-23.50,left,1473232785.024544
40,-10.00,left,1473232786.462377
62,1.00,left,1473232788.106030
98,19.00,right,1473232789.900115
117,28.50,right,1473232791.066284
17,-21.50,left,1473232792.793853
4,-28.00,left,1473232794.000303
96,18.00,right,1473232795.493803
58,-1.00,NA,0.000000
66,3.00,right,1473232799.166343
90,15.00,right,1473232799.919090
5,-27.50,left,1473232801.565026
61,0.50,right,1473232802.936029
72,6.00,right,1473232804.471291
116,28.00,right,1473232806.062617
48,-6.00,left,1473232807.982665
79,9.50,right,1473232809.176335
113,26.50,right,1473232810.603246
31,-14.50,left,1473232812.481209
55,-2.50,right,1473232814.043017
107,23.50,right,1473232815.236104
24,-18.00,left,1473232816.701844
92,16.00,right,1473232817.991614
109,24.50,right,1473232819.732208
100,20.00,right,1473232821.076301
101,20.50,right,1473232822.528405
33,-13.50,left,1473232824.090531
91,15.50,right,1473232825.652188
83,11.50,right,1473232827.076956
74,7.00,right,1473232828.681383
51,-4.50,right,1473232830.038656
3,-28.50,left,1473232831.587311
19,-20.50,left,1473232833.001444
95,17.50,right,1473232834.714728
78,9.00,right,1473232836.180825
73,6.50,right,1473232837.757588
22,-19.00,left,1473232839.115846
81,10.50,right,1473232840.637712
41,-9.50,left,1473232842.186432
108,24.00,right,1473232843.393718
88,14.00,right,1473232844.996359
110,25.00,right,1473232846.299426
20,-20.00,left,1473232847.943305
65,2.50,right,1473232849.891807
43,-8.50,left,1473232851.372477
44,-8.00,left,1473232853.140193
53,-3.50,left,1473232854.373625
75,7.50,left,1473232855.580730
112,26.00,right,1473232857.239107
23,-18.50,left,1473232858.869163
21,-19.50,left,1473232860.266970
52,-4.00,left,1473232861.844485
37,-11.50,left,1473232863.324971
59,-0.50,left,1473232864.916379
54,-3.00,left,1473232866.876111
104,22.00,right,1473232867.821453
77,8.50,right,1473232869.453979
60,0.00,right,1473232870.729729
28,-16.00,left,1473232872.415213
67,3.50,right,1473232874.020448
84,12.00,right,1473232875.390961
105,22.50,right,1473232876.968648
68,4.00,right,1473232878.421231
94,17.00,right,1473232879.971389
6,-27.00,left,1473232881.628976
57,-1.50,left,1473232883.108613
76,8.00,right,1473232884.670804
111,25.50,right,1473232886.181426
29,-15.50,left,1473232887.649327
10,-25.00,left,1473232889.254924
64,2.00,NA,0.000000
103,21.50,right,1473232892.108403
71,5.50,right,1473232893.808380
0,-30.00,left,1473232895.302696
36,-12.00,left,1473232896.606808
32,-14.00,left,1473232898.005916
87,13.50,right,1473232899.502517
1,-29.50,left,1473232900.955161
42,-9.00,left,1473232902.475131
119,29.50,right,1473232903.928099
