stimulus,angle,response,time
80,10.00,left,1478765705.606909
44,-8.00,right,1478765706.858807
25,-17.50,right,1478765708.300874
7,-26.50,right,1478765709.757395
63,1.50,left,1478765711.363812
21,-19.50,right,1478765712.846863
57,-1.50,left,1478765714.412117
79,9.50,left,1478765716.086801
24,-18.00,right,1478765717.407941
30,-15.00,right,1478765718.973057
73,6.50,left,1478765720.443811
117,28.50,left,1478765721.885135
119,29.50,left,1478765723.354838
76,8.00,left,1478765725.055804
9,-25.50,right,1478765726.321466
98,19.00,left,1478765727.995159
52,-4.00,right,1478765729.532954
97,18.50,left,1478765730.893949
96,18.00,left,1478765732.310099
93,16.50,left,1478765733.726207
33,-13.50,right,1478765735.468800
20,-20.00,right,1478765736.925783
2,-29.00,right,1478765738.286716
112,26.00,left,1478765739.973657
18,-21.00,right,1478765741.361154
32,-14.00,right,1478765742.858513
39,-10.50,right,1478765744.234590
36,-12.00,right,1478765745.950228
111,25.50,left,1478765747.636940
4,-28.00,right,1478765748.766836
15,-22.50,right,1478765750.317927
118,29.00,left,1478765752.019273
90,15.00,left,1478765753.666330
69,4.50,left,1478765754.999906
53,-3.50,right,1478765756.797085
31,-14.50,right,1478765758.008296
115,27.50,left,1478765759.573018
19,-20.50,right,1478765761.002085
92,16.00,left,1478765762.485291
72,6.00,left,1478765764.200784
42,-9.00,right,1478765765.574952
100,20.00,left,1478765767.166958
108,24.00,left,1478765768.649355
67,3.50,left,1478765770.215120
68,4.00,left,1478765771.807443
43,-8.50,right,1478765772.991158
101,20.50,left,1478765774.610279
107,23.50,left,1478765776.148203
66,3.00,left,1478765777.699530
1,-29.50,right,1478765779.264959
35,-12.50,right,1478765780.571625
85,12.50,left,1478765782.259977
46,-7.00,right,1478765783.798553
22,-19.00,right,1478765785.078193
102,21.00,left,1478765786.492955
29,-15.50,left,1478765788.167698
8,-26.00,right,1478765789.502198
89,14.50,left,1478765791.095102
51,-4.50,right,1478765792.496974
77,8.50,left,1478765794.020958
94,17.00,left,1478765795.641085
38,-11.00,right,1478765797.001733
14,-23.00,right,1478765798.649057
99,19.50,right,1478765800.146030
88,14.00,left,1478765801.793151
64,2.00,left,1478765803.262854
0,-30.00,right,1478765804.814278
47,-6.50,left,1478765806.229376
40,-10.00,right,1478765807.768037
6,-27.00,right,1478765809.116339
82,11.00,left,1478765810.627553
49,-5.50,right,1478765812.437757
71,5.50,left,1478765813.486216
45,-7.50,right,1478765814.915505
10,-25.00,right,1478765816.603283
65,2.50,left,1478765817.910015
27,-16.50,right,1478765819.352750
11,-24.50,right,1478765820.999766
81,10.50,left,1478765822.455353
55,-2.50,right,1478765824.061801
75,7.50,left,1478765825.381073
113,26.50,left,1478765826.891647
41,-9.50,right,1478765828.660355
86,13.00,left,1478765830.156692
87,13.50,left,1478765831.708468
62,1.00,left,1478765833.124532
16,-22.00,right,1478765834.417602
58,-1.00,left,1478765835.942607
74,7.00,left,1478765837.521349
50,-5.00,right,1478765839.126570
23,-18.50,right,1478765840.609462
83,11.50,left,1478765842.012113
34,-13.00,right,1478765843.304607
91,15.50,left,1478765845.073571
13,-23.50,right,1478765846.367100
3,-28.50,right,1478765848.027290
60,0.00,left,1478765849.633028
56,-2.00,left,1478765851.075470
106,23.00,left,1478765852.627801
37,-11.50,right,1478765853.975481
54,-3.00,left,1478765855.513046
17,-21.50,right,1478765856.997441
48,-6.00,left,1478765858.468101
103,21.50,left,1478765860.075297
28,-16.00,right,1478765861.709317
59,-0.50,left,1478765863.273956
104,22.00,left,1478765864.485104
110,25.00,right,1478765866.022875
114,27.00,left,1478765867.668339
78,9.00,left,1478765868.838762
109,24.50,left,1478765870.662218
26,-17.00,right,1478765871.996140
116,28.00,left,1478765873.534218
61,0.50,right,1478765875.684369
95,17.50,left,1478765877.317058
84,12.00,left,1478765878.311198
70,5.00,left,1478765879.713776
12,-24.00,right,1478765881.238750
5,-27.50,right,1478765882.436728
105,22.50,left,1478765883.920927
