stimulus,angle,response,time
73,36.50,right,1467964715.023303
19,9.50,left,1467964724.084601
56,28.00,left,1467964725.428895
106,53.00,left,1467964726.951713
109,54.50,left,1467964728.583416
21,10.50,right,1467964730.145276
13,6.50,right,1467964731.596846
101,50.50,left,1467964733.146696
25,12.50,left,1467964734.720853
11,5.50,right,1467964736.242459
118,59.00,left,1467964737.695863
94,47.00,left,1467964739.245313
38,19.00,right,1467964740.862209
6,3.00,right,1467964742.411855
0,0.00,right,1467964743.864031
44,22.00,left,1467964745.398576
67,33.50,left,1467964746.782250
84,42.00,left,1467964748.262231
15,7.50,right,1467964749.864466
62,31.00,left,1467964751.220821
113,56.50,left,1467964752.590527
116,58.00,left,1467964754.168469
48,24.00,left,1467964755.687687
52,26.00,left,1467964757.278013
81,40.50,left,1467964758.813192
45,22.50,left,1467964760.237995
64,32.00,left,1467964761.679501
57,28.50,left,1467964763.159092
78,39.00,left,1467964764.706806
119,59.50,left,1467964766.200165
110,55.00,left,1467964767.598615
99,49.50,left,1467964769.135242
27,13.50,left,1467964770.629450
77,38.50,left,1467964772.328857
97,48.50,left,1467964773.739818
95,47.50,left,1467964775.249251
86,43.00,left,1467964776.620510
111,55.50,left,1467964778.126900
43,21.50,left,1467964779.758293
60,30.00,left,1467964781.156136
55,27.50,left,1467964782.582201
93,46.50,left,1467964784.062033
53,26.50,left,1467964785.707482
89,44.50,left,1467964787.090807
12,6.00,right,1467964788.571293
10,5.00,right,1467964789.899058
41,20.50,left,1467964791.392829
39,19.50,left,1467964793.009066
36,18.00,left,1467964794.379796
80,40.00,left,1467964795.805295
17,8.50,right,1467964797.505079
69,34.50,left,1467964798.861793
9,4.50,right,1467964800.300074
66,33.00,left,1467964801.834220
35,17.50,left,1467964803.354846
50,25.00,left,1467964804.767127
115,57.50,left,1467964806.302192
100,50.00,left,1467964807.795818
102,51.00,left,1467964809.317395
16,8.00,right,1467964810.934144
30,15.00,right,1467964812.347380
112,56.00,left,1467964813.785002
85,42.50,left,1467964815.321713
75,37.50,left,1467964816.815678
33,16.50,left,1467964818.378538
4,2.00,right,1467964819.914574
1,0.50,right,1467964821.423086
79,39.50,left,1467964822.931783
92,46.00,left,1467964824.588511
18,9.00,right,1467964826.342536
20,10.00,right,1467964827.603349
117,58.50,left,1467964829.028630
47,23.50,left,1467964830.618554
59,29.50,left,1467964832.056588
91,45.50,left,1467964833.456357
108,54.00,left,1467964834.840371
87,43.50,left,1467964836.402573
88,44.00,left,1467964837.814123
28,14.00,left,1467964839.158156
104,52.00,left,1467964841.049367
71,35.50,left,1467964842.709281
8,4.00,right,1467964844.009931
31,15.50,left,1467964845.559372
34,17.00,left,1467964846.970249
107,53.50,left,1467964848.408749
32,16.00,right,1467964849.957811
58,29.00,left,1467964851.369891
37,18.50,left,1467964852.864564
76,38.00,left,1467964854.357201
82,41.00,left,1467964855.919764
65,32.50,left,1467964857.399077
24,12.00,right,1467964859.043059
70,35.00,left,1467964860.386734
68,34.00,left,1467964861.977600
72,36.00,left,1467964863.634687
26,13.00,right,1467964865.156559
23,11.50,right,1467964866.526860
22,11.00,right,1467964868.062975
46,23.00,left,1467964869.693158
98,49.00,left,1467964871.062939
103,51.50,left,1467964872.529600
61,30.50,left,1467964874.008344
54,27.00,left,1467964875.556319
40,20.00,left,1467964876.900199
114,57.00,left,1467964878.297476
3,1.50,left,1467964879.790300
7,3.50,right,1467964881.392414
51,25.50,left,1467964882.940357
5,2.50,right,1467964884.446489
49,24.50,left,1467964886.049380
42,21.00,left,1467964887.543289
2,1.00,right,1467964888.982065
90,45.00,left,1467964890.615361
74,37.00,left,1467964892.026922
14,7.00,right,1467964893.633120
29,14.50,left,1467964895.168582
96,48.00,left,1467964896.566078
105,52.50,left,1467964898.018601
63,31.50,left,1467964899.484758
83,41.50,left,1467964900.924523
