object,stimulus,angle,response,time
mid,99,54.50,right,1474614325.304900
high,43,26.50,left,1474614354.976059
high,30,20.00,left,1474614356.607108
mid,59,34.50,right,1474614357.936409
low,80,45.00,right,1474614359.375101
mid,47,28.50,left,1474614361.061359
low,0,5.00,left,1474614362.266065
high,57,33.50,right,1474614363.623029
low,78,44.00,right,1474614365.253425
high,75,42.50,right,1474614366.828604
mid,54,32.00,right,1474614368.118171
low,88,49.00,right,1474614369.625974
high,31,20.50,left,1474614371.340069
low,14,12.00,left,1474614372.628060
mid,81,45.50,right,1474614374.151189
high,88,49.00,right,1474614375.754395
mid,88,49.00,right,1474614377.165665
high,102,56.00,right,1474614378.616096
low,104,57.00,right,1474614380.041587
high,61,35.50,right,1474614381.561921
mid,98,54.00,right,1474614383.000986
low,61,35.50,left,1474614384.562318
low,49,29.50,left,1474614386.139096
mid,53,31.50,left,1474614387.740238
low,1,5.50,right,1474614389.015227
mid,91,50.50,right,1474614390.565103
mid,9,9.50,left,1474614392.098459
mid,64,37.00,right,1474614393.399099
mid,86,48.00,right,1474614394.865009
high,104,57.00,right,1474614396.358769
low,76,43.00,right,1474614397.920016
high,108,59.00,right,1474614399.523228
low,97,53.50,right,1474614401.139370
high,83,46.50,right,1474614402.509844
low,71,40.50,right,1474614404.126568
high,46,28.00,right,1474614405.702080
mid,105,57.50,right,1474614407.085402
mid,84,47.00,right,1474614408.563229
high,9,9.50,left,1474614410.111087
mid,79,44.50,right,1474614411.426822
high,55,32.50,right,1474614412.904976
low,106,58.00,right,1474614414.466161
high,85,47.50,right,1474614415.876115
low,91,50.50,right,1474614417.493090
high,21,15.50,left,1474614419.041470
low,100,55.00,right,1474614420.411172
low,67,38.50,right,1474614421.959667
mid,112,61.00,right,1474614423.438922
high,110,60.00,right,1474614424.972686
high,52,31.00,left,1474614426.616681
low,40,25.00,left,1474614428.303204
low,19,14.50,left,1474614429.687599
mid,94,52.00,right,1474614431.193915
mid,72,41.00,right,1474614432.606671
mid,71,40.50,right,1474614434.153921
mid,80,45.00,right,1474614435.701692
high,64,37.00,right,1474614437.399593
high,11,10.50,left,1474614438.730025
low,50,30.00,right,1474614440.239785
low,51,30.50,right,1474614441.719188
high,40,25.00,right,1474614443.389757
low,11,10.50,left,1474614444.787710
low,20,15.00,left,1474614446.103506
mid,28,19.00,left,1474614447.610348
mid,44,27.00,left,1474614449.214653
high,26,18.00,left,1474614450.763427
high,17,13.50,left,1474614452.271215
low,43,26.50,right,1474614454.107159
low,45,27.50,left,1474614455.422957
high,14,12.00,left,1474614456.970769
mid,20,15.00,left,1474614458.354148
mid,103,56.50,right,1474614459.833812
mid,77,43.50,right,1474614461.299197
high,28,19.00,left,1474614463.012066
low,114,62.00,right,1474614464.395581
low,13,11.50,left,1474614465.860733
mid,100,55.00,right,1474614467.477298
low,26,18.00,left,1474614469.011660
high,45,27.50,left,1474614470.779437
high,116,63.00,right,1474614471.972037
low,89,49.50,right,1474614473.412118
mid,36,23.00,left,1474614475.124617
mid,39,24.50,left,1474614476.591237
high,74,42.00,right,1474614478.044790
mid,115,62.50,right,1474614479.661817
low,101,55.50,right,1474614481.087816
high,101,55.50,right,1474614482.634375
mid,62,36.00,right,1474614484.127909
low,74,42.00,right,1474614485.662457
mid,96,53.00,right,1474614487.127422
low,92,51.00,right,1474614488.606562
high,115,62.50,right,1474614490.222374
mid,46,28.00,left,1474614491.894689
low,10,10.00,left,1474614493.277599
high,15,12.50,left,1474614494.701920
high,97,53.50,right,1474614496.154791
low,116,63.00,right,1474614497.620091
high,32,21.00,right,1474614499.238048
high,109,59.50,right,1474614500.717344
low,35,22.50,right,1474614502.183861
low,112,61.00,right,1474614503.759135
mid,52,31.00,left,1474614505.115370
mid,93,51.50,NA,0.000000
mid,1,5.50,left,1474614508.061072
low,81,45.50,right,1474614509.678407
high,16,13.00,left,1474614511.269302
high,29,19.50,left,1474614512.680253
mid,78,44.00,right,1474614514.201748
mid,90,50.00,right,1474614515.680736
low,103,56.50,right,1474614517.313449
high,106,58.00,right,1474614518.807777
high,73,41.50,right,1474614520.233953
high,38,24.00,left,1474614521.851621
low,30,20.00,left,1474614523.509220
mid,108,59.00,right,1474614524.909572
mid,33,21.50,left,1474614526.388368
low,77,43.50,right,1474614527.855614
high,86,48.00,right,1474614529.404299
mid,41,25.50,right,1474614530.938530
low,96,53.00,right,1474614532.418241
low,107,58.50,right,1474614565.998249
high,72,41.00,right,1474614567.409696
high,19,14.50,left,1474614568.890515
high,10,10.00,left,1474614570.315472
low,6,8.00,left,1474614571.890660
mid,69,39.50,right,1474614573.316602
low,118,64.00,right,1474614574.905782
mid,101,55.50,right,1474614576.481736
low,99,54.50,right,1474614577.961647
high,77,43.50,right,1474614579.577231
mid,40,25.00,right,1474614581.207127
mid,30,20.00,left,1474614582.644516
mid,58,34.00,left,1474614584.096313
low,3,6.50,left,1474614585.536062
mid,29,19.50,left,1474614586.949158
high,76,43.00,right,1474614588.648551
low,66,38.00,left,1474614590.169513
high,117,63.50,right,1474614591.402745
high,62,36.00,right,1474614593.196521
mid,87,48.50,right,1474614594.390316
low,52,31.00,left,1474614595.869730
low,94,52.00,right,1474614597.310216
high,44,27.00,left,1474614598.762358
mid,113,61.50,right,1474614600.326672
low,68,39.00,left,1474614601.958323
mid,74,42.00,right,1474614603.314403
low,65,37.50,right,1474614604.985684
low,33,21.50,left,1474614606.383778
low,55,32.50,left,1474614607.876433
high,118,64.00,right,1474614609.259565
mid,34,22.00,left,1474614610.849252
high,84,47.00,right,1474614612.287621
high,7,8.50,left,1474614613.863093
mid,75,42.50,right,1474614615.396262
high,96,53.00,right,1474614616.754372
mid,66,38.00,right,1474614618.302693
low,15,12.50,left,1474614619.781093
mid,73,41.50,right,1474614621.329273
high,91,50.50,right,1474614622.810503
low,105,57.50,right,1474614624.373307
mid,111,60.50,right,1474614625.782703
high,56,33.00,right,1474614627.411508
low,59,34.50,right,1474614628.726830
mid,4,7.00,left,1474614630.194943
high,105,57.50,right,1474614631.798798
mid,116,63.00,right,1474614633.308347
high,70,40.00,right,1474614634.969438
low,12,11.00,left,1474614636.476165
mid,50,30.00,left,1474614637.996383
low,47,28.50,left,1474614639.599053
high,23,16.50,left,1474614641.035559
mid,21,15.50,left,1474614642.612317
low,23,16.50,left,1474614644.134600
high,119,64.50,right,1474614645.588437
low,83,46.50,right,1474614646.984989
high,81,45.50,right,1474614648.437917
high,22,16.00,left,1474614649.916236
mid,45,27.50,left,1474614651.601539
mid,17,13.50,left,1474614652.987143
low,75,42.50,right,1474614654.507018
high,2,6.00,left,1474614655.958331
high,98,54.00,right,1474614657.328735
low,69,39.50,right,1474614658.820671
mid,11,10.50,left,1474614660.397118
mid,19,14.50,left,1474614661.862992
high,71,40.50,right,1474614663.631414
low,111,60.50,right,1474614664.962001
high,49,29.50,right,1474614666.360120
mid,95,52.50,right,1474614668.005605
low,38,24.00,left,1474614669.675844
low,79,44.50,right,1474614671.100748
mid,118,64.00,right,1474614672.512043
high,41,25.50,right,1474614674.087240
low,18,14.00,left,1474614675.716809
mid,32,21.00,left,1474614677.087481
low,9,9.50,left,1474614678.578991
mid,56,33.00,right,1474614680.059931
high,89,49.50,right,1474614681.621275
high,54,32.00,right,1474614683.129258
high,87,48.50,right,1474614684.375791
low,48,29.00,right,1474614685.896123
mid,38,24.00,right,1474614687.374986
mid,63,36.50,right,1474614688.855207
low,119,64.50,right,1474614690.554718
high,107,58.50,right,1474614691.760798
low,17,13.50,left,1474614693.392122
low,21,15.50,left,1474614694.858341
high,3,6.50,left,1474614696.503687
mid,67,38.50,left,1474614697.955214
mid,25,17.50,left,1474614699.476887
high,111,60.50,right,1474614700.875448
low,32,21.00,right,1474614702.696922
low,62,36.00,right,1474614703.903950
mid,109,59.50,right,1474614705.289138
mid,83,46.50,right,1474614706.758476
high,63,36.50,right,1474614708.307963
low,22,16.00,left,1474614709.829973
mid,119,64.50,right,1474614711.173842
low,42,26.00,left,1474614712.790149
mid,89,49.50,right,1474614714.284735
high,67,38.50,right,1474614715.791922
low,25,17.50,left,1474614717.286120
low,16,13.00,left,1474614718.764859
high,93,51.50,right,1474614720.216848
high,112,61.00,right,1474614721.668642
high,94,52.00,right,1474614723.190851
mid,117,63.50,right,1474614724.726008
mid,106,58.00,right,1474614726.221608
low,73,41.50,left,1474614728.060168
high,6,8.00,left,1474614729.690484
low,4,7.00,left,1474614731.022023
high,36,23.00,right,1474614732.515244
mid,60,35.00,right,1474614733.831749
high,50,30.00,right,1474614735.337608
mid,102,56.00,right,1474614736.939758
low,87,48.50,right,1474614738.337566
low,72,41.00,right,1474614739.898353
mid,6,8.00,left,1474614741.584921
mid,24,17.00,left,1474614742.984064
high,18,14.00,left,1474614744.451144
high,100,55.00,right,1474614778.079037
low,24,17.00,left,1474614779.601596
mid,10,10.00,left,1474614781.012793
high,92,51.00,right,1474614782.520523
mid,48,29.00,left,1474614784.055463
high,90,50.00,right,1474614785.465950
low,95,52.50,left,1474614787.301034
mid,114,62.00,right,1474614788.588349
high,4,7.00,left,1474614790.015014
low,31,20.50,left,1474614791.413274
low,109,59.50,right,1474614792.894627
mid,57,33.50,right,1474614794.483842
high,37,23.50,right,1474614795.963507
low,36,23.00,right,1474614797.593412
low,7,8.50,left,1474614799.114360
high,95,52.50,right,1474614800.416622
high,69,39.50,right,1474614801.909700
mid,2,6.00,left,1474614803.596133
high,0,5.00,right,1474614804.993923
mid,82,46.00,right,1474614806.541817
low,29,19.50,left,1474614808.185107
low,113,61.50,right,1474614809.595989
mid,8,9.00,left,1474614811.021833
mid,110,60.00,right,1474614812.502321
low,60,35.00,right,1474614813.954253
mid,22,16.00,right,1474614815.624427
low,27,18.50,left,1474614817.118787
high,66,38.00,right,1474614818.515414
high,114,62.00,right,1474614820.172962
mid,107,58.50,right,1474614821.515780
low,115,62.50,right,1474614822.968777
mid,104,57.00,right,1474614824.654551
high,13,11.50,left,1474614826.107956
low,84,47.00,left,1474614828.040518
mid,15,12.50,left,1474614829.506717
high,35,22.50,left,1474614830.793807
mid,70,40.00,right,1474614832.149745
high,8,9.00,left,1474614833.835240
low,56,33.00,left,1474614835.329203
mid,14,12.00,left,1474614836.877108
mid,42,26.00,left,1474614838.370909
high,82,46.00,right,1474614840.138112
high,103,56.50,right,1474614841.521199
mid,43,26.50,left,1474614843.070010
high,48,29.00,left,1474614844.316106
low,70,40.00,right,1474614845.823412
low,57,33.50,right,1474614847.303190
low,5,7.50,left,1474614848.823469
mid,97,53.50,right,1474614850.386119
high,51,30.50,right,1474614851.797225
high,27,18.50,right,1474614853.318049
low,90,50.00,right,1474614854.755939
high,78,44.00,right,1474614856.070009
low,28,19.00,left,1474614857.617755
mid,27,18.50,left,1474614859.081766
mid,23,16.50,left,1474614860.642270
high,39,24.50,left,1474614862.381726
low,85,47.50,right,1474614863.859915
mid,55,32.50,right,1474614865.229862
low,44,27.00,right,1474614866.723214
high,12,11.00,left,1474614868.176899
mid,26,18.00,left,1474614869.781427
low,39,24.50,left,1474614871.152202
high,47,28.50,left,1474614872.893163
mid,37,23.50,left,1474614874.195760
low,86,48.00,left,1474614875.799714
low,54,32.00,right,1474614877.209482
mid,68,39.00,right,1474614878.497513
low,8,9.00,left,1474614879.922575
high,79,44.50,right,1474614881.471558
mid,5,7.50,left,1474614883.101239
high,68,39.00,right,1474614884.389652
low,98,54.00,right,1474614885.869130
mid,65,37.50,right,1474614887.458166
mid,31,20.50,right,1474614888.910683
high,24,17.00,left,1474614890.595766
high,113,61.50,right,1474614891.925185
high,58,34.00,right,1474614893.596397
mid,7,8.50,left,1474614894.789472
low,110,60.00,right,1474614896.365490
mid,92,51.00,right,1474614897.763275
high,25,17.50,right,1474614899.598492
low,102,56.00,right,1474614900.899886
low,93,51.50,right,1474614902.420961
high,1,5.50,left,1474614903.913944
low,2,6.00,left,1474614905.586871
high,5,7.50,left,1474614906.943358
low,82,46.00,right,1474614908.547150
mid,0,5.00,right,1474614909.833328
mid,3,6.50,left,1474614911.559636
low,34,22.00,left,1474614913.136165
high,60,35.00,right,1474614914.575354
mid,61,35.50,right,1474614916.096368
low,41,25.50,left,1474614917.808559
high,53,31.50,right,1474614919.028354
mid,49,29.50,right,1474614920.699980
mid,12,11.00,left,1474614922.126623
high,34,22.00,right,1474614923.441696
mid,85,47.50,right,1474614925.115336
high,99,54.50,right,1474614926.458195
low,37,23.50,left,1474614927.992382
low,46,28.00,left,1474614929.814390
mid,76,43.00,right,1474614931.087543
high,20,15.00,left,1474614932.443942
mid,35,22.50,left,1474614934.388717
low,108,59.00,right,1474614935.566087
high,59,34.50,left,1474614937.334396
low,63,36.50,left,1474614938.498992
mid,16,13.00,left,1474614940.129925
low,53,31.50,left,1474614941.526329
high,33,21.50,left,1474614943.103165
low,117,63.50,right,1474614944.541127
high,65,37.50,right,1474614945.980173
mid,51,30.50,right,1474614947.472943
high,80,45.00,right,1474614949.023217
mid,13,11.50,left,1474614950.446807
low,58,34.00,right,1474614952.093057
high,42,26.00,right,1474614953.464048
mid,18,14.00,left,1474614955.000320
low,64,37.00,right,1474614956.398925
