object,obj.idx,table,tab.idx,time
low,64,hor,60,1487163854.545782
high,59,hor,60,1487163855.971375
low,13,hor,60,1487163857.426252
mid,84,hor,60,1487163858.880065
low,95,hor,60,1487163860.435644
high,48,hor,60,1487163862.021665
mid,106,hor,60,1487163863.577192
low,62,hor,60,1487163865.134050
mid,36,hor,60,1487163866.623974
high,98,hor,60,1487163868.211929
high,80,hor,60,1487163869.771396
mid,34,hor,60,1487163871.262070
low,19,hor,60,1487163872.652764
low,101,hor,60,1487163874.240199
low,65,hor,60,1487163875.796229
mid,27,hor,60,1487163877.320588
high,21,hor,60,1487163878.812614
high,54,hor,60,1487163880.265063
mid,69,hor,60,1487163881.756724
high,57,hor,60,1487163883.213613
mid,1,hor,60,1487163884.703401
mid,79,hor,60,1487163886.292295
low,94,hor,60,1487163887.878067
high,85,hor,60,1487163889.437928
low,23,hor,60,1487163891.023635
high,38,hor,60,1487163892.543261
high,26,hor,60,1487163893.937788
low,91,hor,60,1487163895.457447
mid,78,hor,60,1487163897.013928
mid,16,hor,60,1487163898.503413
mid,35,hor,60,1487163899.956226
low,80,hor,60,1487163901.378408
mid,30,hor,60,1487163902.898799
high,55,hor,60,1487163904.395361
low,66,hor,60,1487163905.850932
high,75,hor,60,1487163907.408340
mid,62,hor,60,1487163908.962216
high,6,hor,60,1487163910.421123
mid,82,hor,60,1487163912.013508
low,87,hor,60,1487163913.505702
mid,43,hor,60,1487163914.994154
high,110,hor,60,1487163916.548999
mid,10,hor,60,1487163918.070762
low,92,hor,60,1487163919.625982
low,6,hor,60,1487163921.081507
high,66,hor,60,1487163922.541758
low,81,hor,60,1487163924.028527
high,39,hor,60,1487163925.451379
mid,17,hor,60,1487163927.042194
high,23,hor,60,1487163928.464923
low,103,hor,60,1487163929.919292
low,24,hor,60,1487163931.442802
mid,80,hor,60,1487163932.995584
mid,105,hor,60,1487163934.420852
high,37,hor,60,1487163935.879653
high,0,hor,60,1487163937.405730
low,7,hor,60,1487163938.827479
low,18,hor,60,1487163940.415087
high,78,hor,60,1487163941.874363
