object,stimulus,angle,response,time
high,9,9.50,right,1474617930.576400
low,22,16.00,left,1474617937.120789
high,59,34.50,right,1474617938.685729
mid,75,42.50,right,1474617940.164570
mid,14,12.00,left,1474617941.480019
high,34,22.00,left,1474617943.043137
mid,100,55.00,right,1474617944.535897
high,49,29.50,left,1474617946.344887
mid,4,7.00,left,1474617947.646770
low,92,51.00,right,1474617949.045517
low,88,49.00,right,1474617950.579496
low,74,42.00,right,1474617952.183791
high,10,10.00,left,1474617953.608217
mid,9,9.50,left,1474617955.062317
mid,77,43.50,right,1474617956.567535
low,13,11.50,left,1474617957.993659
low,34,22.00,left,1474617959.541695
low,11,10.50,left,1474617961.104500
high,7,8.50,left,1474617962.626074
high,89,49.50,right,1474617964.163982
low,18,14.00,left,1474617965.562536
mid,92,51.00,right,1474617967.058794
high,84,47.00,right,1474617968.553312
mid,89,49.50,right,1474617970.117214
low,25,17.50,left,1474617971.598165
high,98,54.00,right,1474617973.214431
high,33,21.50,left,1474617974.667443
mid,63,36.50,left,1474617976.339779
high,69,39.50,left,1474617977.766352
low,50,30.00,left,1474617979.081412
mid,97,53.50,right,1474617980.658267
high,11,10.50,left,1474617982.042877
mid,90,50.00,right,1474617983.660103
low,107,58.50,right,1474617985.101829
mid,111,60.50,right,1474617986.652014
low,53,31.50,left,1474617988.270501
high,82,46.00,right,1474617989.723469
mid,79,44.50,right,1474617991.177848
low,82,46.00,right,1474617992.657611
mid,54,32.00,right,1474617994.359772
high,5,7.50,left,1474617995.689683
low,26,18.00,left,1474617997.252654
high,12,11.00,left,1474617998.719386
mid,10,10.00,left,1474618000.117240
mid,34,22.00,left,1474618001.596739
high,21,15.50,left,1474618003.006757
low,63,36.50,right,1474618004.665704
low,30,20.00,right,1474618006.229580
high,6,8.00,left,1474618007.751350
low,103,56.50,right,1474618009.191358
high,22,16.00,left,1474618010.714127
mid,15,12.50,left,1474618012.306143
high,41,25.50,left,1474618014.157617
low,2,6.00,left,1474618015.391943
mid,27,18.50,left,1474618017.021720
mid,80,45.00,right,1474618018.489088
low,85,47.50,right,1474618020.051203
high,117,63.50,right,1474618021.614954
low,94,52.00,right,1474618023.054362
mid,84,47.00,right,1474618024.493719
low,41,25.50,left,1474618026.233915
mid,76,43.00,left,1474618027.548368
high,43,26.50,left,1474618028.987755
mid,50,30.00,left,1474618030.467252
mid,69,39.50,left,1474618031.947763
low,87,48.50,left,1474618033.359936
low,10,10.00,left,1474618034.910890
high,64,37.00,left,1474618036.554170
mid,93,51.50,right,1474618037.786702
low,62,36.00,right,1474618039.280145
high,4,7.00,left,1474618040.665109
high,40,25.00,left,1474618042.228457
mid,71,40.50,left,1474618043.682076
low,61,35.50,left,1474618045.189156
mid,88,49.00,right,1474618046.890213
high,85,47.50,right,1474618048.262915
low,113,61.50,right,1474618050.003949
high,119,64.50,right,1474618051.389077
mid,5,7.50,left,1474618052.896777
high,111,60.50,right,1474618054.542196
low,43,26.50,left,1474618056.036606
mid,64,37.00,left,1474618057.516605
low,49,29.50,left,1474618059.146488
high,116,63.00,right,1474618060.571845
mid,24,17.00,left,1474618062.092191
high,75,42.50,left,1474618063.558064
high,15,12.50,left,1474618065.174569
high,83,46.50,right,1474618066.668030
low,12,11.00,left,1474618068.052453
low,35,22.50,left,1474618069.547398
mid,95,52.50,right,1474618071.096718
mid,85,47.50,right,1474618072.646689
low,102,56.00,right,1474618074.388696
low,96,53.00,right,1474618075.775229
high,78,44.00,right,1474618077.175057
mid,3,6.50,left,1474618078.597809
high,80,45.00,right,1474618080.049049
high,13,11.50,left,1474618081.624096
high,31,20.50,left,1474618083.103336
low,67,38.50,left,1474618084.651507
low,0,5.00,left,1474618085.979996
mid,60,35.00,right,1474618087.543012
mid,110,60.00,right,1474618089.036988
low,15,12.50,left,1474618090.586496
low,9,9.50,left,1474618092.011703
mid,62,36.00,right,1474618093.521456
high,95,52.50,right,1474618095.001706
mid,57,33.50,right,1474618096.716027
low,28,19.00,left,1474618098.128148
high,30,20.00,left,1474618099.715631
high,100,55.00,right,1474618101.182320
low,97,53.50,right,1474618102.895039
high,18,14.00,left,1474618104.183354
mid,81,45.50,right,1474618105.827978
mid,106,58.00,right,1474618107.240263
mid,6,8.00,left,1474618108.639007
high,35,22.50,left,1474618110.215680
low,111,60.50,right,1474618111.805012
low,55,32.50,right,1474618113.270515
mid,103,56.50,right,1474618114.696809
high,42,26.00,left,1474618148.642581
high,112,61.00,right,1474618149.875554
low,104,57.00,right,1474618151.535081
low,47,28.50,left,1474618152.823247
low,79,44.50,left,1474618154.289620
high,62,36.00,left,1474618155.920405
mid,73,41.50,left,1474618157.509219
mid,66,38.00,left,1474618159.098087
mid,45,27.50,left,1474618160.604253
low,93,51.50,right,1474618162.303079
high,58,34.00,left,1474618163.564939
mid,87,48.50,right,1474618165.263917
mid,8,9.00,left,1474618166.483338
high,114,62.00,right,1474618167.935979
low,4,7.00,left,1474618169.361260
high,109,59.50,right,1474618170.869996
high,37,23.50,left,1474618172.403772
mid,43,26.50,left,1474618173.843587
mid,105,57.50,right,1474618175.325098
mid,96,53.00,right,1474618176.914900
high,87,48.50,right,1474618178.438721
low,51,30.50,left,1474618179.990255
low,110,60.00,right,1474618181.553116
low,54,32.00,left,1474618182.841963
high,76,43.00,right,1474618184.403726
low,38,24.00,left,1474618185.951682
low,20,15.00,left,1474618187.308048
mid,46,28.00,left,1474618189.077109
mid,108,59.00,right,1474618190.365441
low,3,6.50,left,1474618191.928744
high,70,40.00,right,1474618193.436331
mid,30,20.00,left,1474618194.943569
low,78,44.00,right,1474618196.342350
mid,78,44.00,right,1474618197.796917
high,115,62.50,right,1474618199.372882
high,50,30.00,left,1474618200.784526
high,48,29.00,left,1474618202.443123
high,39,24.50,left,1474618203.813920
low,99,54.50,right,1474618205.240373
mid,18,14.00,left,1474618206.774850
mid,38,24.00,left,1474618208.337457
mid,104,57.00,right,1474618209.791367
high,71,40.50,right,1474618211.408441
low,71,40.50,right,1474618212.999970
mid,29,19.50,left,1474618214.327944
low,90,50.00,right,1474618216.084129
high,57,33.50,left,1474618217.304084
low,17,13.50,left,1474618218.770876
mid,65,37.50,left,1474618220.251687
mid,1,5.50,left,1474618221.773251
low,23,16.50,left,1474618223.252570
mid,55,32.50,left,1474618224.788357
low,84,47.00,right,1474618226.186170
high,52,31.00,left,1474618227.707066
low,39,24.50,left,1474618229.119338
mid,56,33.00,left,1474618230.598839
high,29,19.50,left,1474618232.052810
low,27,18.50,left,1474618233.627786
high,60,35.00,left,1474618235.179595
high,96,53.00,right,1474618236.700512
high,17,13.50,left,1474618238.113053
mid,107,58.50,right,1474618239.678298
high,66,38.00,right,1474618241.390913
low,19,14.50,left,1474618242.625921
low,45,27.50,left,1474618244.134153
mid,37,23.50,left,1474618245.519225
high,20,15.00,left,1474618246.944391
mid,82,46.00,right,1474618248.861478
low,31,20.50,left,1474618249.998495
low,48,29.00,left,1474618251.561158
high,102,56.00,right,1474618253.004309
mid,67,38.50,left,1474618254.824992
high,14,12.00,left,1474618256.072687
mid,113,61.50,right,1474618257.607230
high,61,35.50,right,1474618259.129911
mid,28,19.00,left,1474618260.527163
low,32,21.00,left,1474618262.102798
low,24,17.00,left,1474618263.528929
mid,116,63.00,right,1474618264.982082
low,5,7.50,left,1474618266.422491
high,36,23.00,left,1474618267.901371
low,100,55.00,right,1474618269.971821
high,26,18.00,left,1474618270.849321
mid,11,10.50,left,1474618272.426555
mid,83,46.50,right,1474618274.016620
high,92,51.00,right,1474618275.455327
high,55,32.50,left,1474618277.319341
low,36,23.00,left,1474618278.428664
low,8,9.00,left,1474618279.881591
mid,31,20.50,left,1474618281.402359
high,54,32.00,left,1474618282.978623
low,59,34.50,left,1474618284.555644
mid,22,16.00,left,1474618286.118619
high,47,28.50,left,1474618287.502982
mid,101,55.50,right,1474618288.901352
low,116,63.00,right,1474618290.396015
high,107,58.50,right,1474618291.958310
low,70,40.00,right,1474618293.494222
high,104,57.00,right,1474618295.220011
mid,98,54.00,right,1474618296.468737
high,23,16.50,left,1474618297.894541
mid,42,26.00,left,1474618299.582290
low,112,61.00,right,1474618301.008547
low,46,28.00,left,1474618302.683356
mid,119,64.50,right,1474618304.067392
low,65,37.50,left,1474618306.122807
mid,33,21.50,left,1474618307.068512
high,105,57.50,right,1474618308.631407
high,110,60.00,right,1474618310.166240
mid,58,34.00,left,1474618311.921298
high,3,6.50,left,1474618313.223616
mid,94,52.00,right,1474618314.758993
low,33,21.50,left,1474618316.210494
low,114,62.00,right,1474618317.746602
low,80,45.00,right,1474618319.239893
mid,21,15.50,left,1474618320.817229
high,16,13.00,left,1474618322.214859
low,40,25.00,left,1474618323.792856
mid,19,14.50,left,1474618325.245506
high,94,52.00,right,1474618326.862286
high,65,37.50,left,1474618360.950994
high,51,30.50,left,1474618362.156454
mid,86,48.00,left,1474618363.541711
high,1,5.50,left,1474618364.981795
low,69,39.50,left,1474618366.668748
mid,118,64.00,right,1474618367.875842
mid,112,61.00,right,1474618369.368767
mid,74,42.00,left,1474618371.014225
low,37,23.50,left,1474618372.479766
low,118,64.00,right,1474618373.906068
high,56,33.00,left,1474618375.454779
low,109,59.50,right,1474618376.964417
high,68,39.00,left,1474618378.801570
low,7,8.50,left,1474618379.883053
low,76,43.00,left,1474618381.651820
high,91,50.50,right,1474618383.091689
mid,59,34.50,left,1474618384.531397
low,72,41.00,left,1474618386.259240
low,98,54.00,right,1474618387.603243
high,19,14.50,left,1474618389.056996
mid,52,31.00,left,1474618390.565690
mid,99,54.50,right,1474618391.895634
mid,61,35.50,left,1474618393.376813
high,45,27.50,left,1474618394.747081
high,81,45.50,left,1474618396.584879
low,119,64.50,right,1474618397.721445
mid,102,56.00,right,1474618399.462209
high,27,18.50,left,1474618400.900798
high,8,9.00,left,1474618402.380671
low,101,55.50,right,1474618403.887303
low,68,39.00,left,1474618405.862309
high,25,17.50,left,1474618406.890319
mid,41,25.50,left,1474618408.385165
mid,23,16.50,left,1474618409.811514
low,16,13.00,left,1474618411.456261
mid,53,31.50,left,1474618412.814040
high,2,6.00,left,1474618414.433848
mid,17,13.50,left,1474618416.010414
mid,72,41.00,left,1474618417.750487
low,66,38.00,left,1474618419.162006
mid,39,24.50,left,1474618420.574692
low,86,48.00,right,1474618422.163737
low,115,62.50,right,1474618423.493351
high,73,41.50,right,1474618425.274478
mid,91,50.50,right,1474618426.494493
low,108,59.00,right,1474618428.112275
high,44,27.00,left,1474618429.921862
high,86,48.00,left,1474618431.540101
low,106,58.00,right,1474618433.117600
high,28,19.00,left,1474618434.131320
high,93,51.50,right,1474618435.858256
mid,117,63.50,right,1474618437.160716
high,32,21.00,left,1474618438.738763
low,83,46.50,left,1474618440.274762
low,95,52.50,right,1474618441.783199
mid,36,23.00,left,1474618443.030954
mid,35,22.50,left,1474618444.621517
low,14,12.00,left,1474618446.075188
high,67,38.50,right,1474618447.747986
mid,13,11.50,left,1474618448.968203
high,53,31.50,left,1474618450.545641
low,58,34.00,left,1474618452.094708
low,73,41.50,left,1474618453.725922
high,101,55.50,right,1474618454.986492
low,75,42.50,right,1474618456.549805
high,97,53.50,right,1474618458.113864
mid,20,15.00,left,1474618459.621144
mid,44,27.00,left,1474618461.060729
mid,25,17.50,left,1474618462.554447
high,99,54.50,right,1474618464.105843
low,6,8.00,left,1474618465.628275
mid,47,28.50,left,1474618467.356468
low,56,33.00,left,1474618468.688939
low,52,31.00,left,1474618470.127698
high,113,61.50,right,1474618471.689756
mid,49,29.50,left,1474618473.143067
mid,32,21.00,left,1474618474.500090
low,1,5.50,left,1474618476.089485
high,72,41.00,right,1474618477.925452
high,108,59.00,right,1474618479.145670
high,24,17.00,left,1474618480.653488
mid,0,5.00,left,1474618482.010369
low,57,33.50,left,1474618483.710333
mid,40,25.00,left,1474618485.108544
low,117,63.50,right,1474618486.685149
mid,114,62.00,right,1474618488.054576
mid,26,18.00,left,1474618489.740246
low,21,15.50,left,1474618491.289915
high,90,50.00,right,1474618492.783245
high,103,56.50,right,1474618494.235785
low,89,49.50,right,1474618495.919778
mid,68,39.00,right,1474618497.360580
high,88,49.00,right,1474618498.895591
low,105,57.50,right,1474618500.379669
high,106,58.00,right,1474618501.994954
mid,7,8.50,left,1474618503.352792
low,44,27.00,left,1474618504.722895
