object,obj.idx,table,tab.idx,time
NA,0,hor,84,1472214476.385293
NA,0,hor,23,1472214477.842353
NA,0,hor,93,1472214479.298335
NA,0,hor,20,1472214480.859046
NA,0,hor,8,1472214482.314100
NA,0,hor,69,1472214483.771326
NA,0,hor,98,1472214485.262183
NA,0,hor,42,1472214486.815240
NA,0,hor,48,1472214488.272561
NA,0,hor,76,1472214489.762440
NA,0,hor,11,1472214491.218794
NA,0,hor,19,1472214492.808958
NA,0,hor,47,1472214494.230990
NA,0,hor,37,1472214495.719521
NA,0,hor,70,1472214497.144973
NA,0,hor,34,1472214498.635483
NA,0,hor,97,1472214500.122384
NA,0,hor,57,1472214501.711200
NA,0,hor,85,1472214503.265185
NA,0,hor,51,1472214504.718864
NA,0,hor,80,1472214506.140602
NA,0,hor,60,1472214507.629979
NA,0,hor,46,1472214509.022696
NA,0,hor,10,1472214510.609873
NA,0,hor,116,1472214512.066166
NA,0,hor,100,1472214513.558471
NA,0,hor,53,1472214514.981845
NA,0,hor,41,1472214516.537287
NA,0,hor,89,1472214518.097761
NA,0,hor,9,1472214519.587359
NA,0,hor,117,1472214521.141147
NA,0,hor,13,1472214522.565166
NA,0,hor,49,1472214524.059180
NA,0,hor,45,1472214525.648377
NA,0,hor,103,1472214527.236505
NA,0,hor,81,1472214528.793395
NA,0,hor,68,1472214530.252126
NA,0,hor,58,1472214531.678669
NA,0,hor,79,1472214533.131464
NA,0,hor,66,1472214534.559286
NA,0,hor,78,1472214535.986320
NA,0,hor,18,1472214537.580584
NA,0,hor,108,1472214539.038023
NA,0,hor,43,1472214540.593294
NA,0,hor,50,1472214542.045907
NA,0,hor,71,1472214543.505502
NA,0,hor,33,1472214545.058415
NA,0,hor,95,1472214546.547528
NA,0,hor,54,1472214548.068826
NA,0,hor,110,1472214549.492116
NA,0,hor,14,1472214550.980011
NA,0,hor,28,1472214552.435513
NA,0,hor,32,1472214553.858710
NA,0,hor,62,1472214555.445973
NA,0,hor,82,1472214556.835008
NA,0,hor,109,1472214558.393149
NA,0,hor,30,1472214559.785140
NA,0,hor,35,1472214561.244755
NA,0,hor,44,1472214562.667705
NA,0,hor,112,1472214564.256406
NA,0,hor,114,1472214565.813872
NA,0,hor,29,1472214567.305904
NA,0,hor,92,1472214568.862141
NA,0,hor,38,1472214570.318767
NA,0,hor,63,1472214571.806330
NA,0,hor,72,1472214573.231517
NA,0,hor,83,1472214574.819078
NA,0,hor,61,1472214576.406401
NA,0,hor,73,1472214577.827953
NA,0,hor,88,1472214579.285847
NA,0,hor,6,1472214580.708841
NA,0,hor,59,1472214582.233367
NA,0,hor,4,1472214583.726363
NA,0,hor,0,1472214585.278992
NA,0,hor,15,1472214586.736653
NA,0,hor,17,1472214588.160715
NA,0,hor,115,1472214589.556180
NA,0,hor,39,1472214591.017475
NA,0,hor,106,1472214592.510848
NA,0,hor,1,1472214594.099152
NA,0,hor,74,1472214595.688742
NA,0,hor,12,1472214597.247801
NA,0,hor,90,1472214598.671228
NA,0,hor,75,1472214600.060199
NA,0,hor,96,1472214601.617694
NA,0,hor,105,1472214603.036368
NA,0,hor,7,1472214604.559669
NA,0,hor,56,1472214606.017339
NA,0,hor,55,1472214607.474116
NA,0,hor,21,1472214609.029897
NA,0,hor,36,1472214610.491186
NA,0,hor,22,1472214611.879820
NA,0,hor,119,1472214613.368859
NA,0,hor,87,1472214614.892726
NA,0,hor,25,1472214616.383875
NA,0,hor,52,1472214617.807998
NA,0,hor,107,1472214619.298376
NA,0,hor,65,1472214620.817581
NA,0,hor,101,1472214622.239688
NA,0,hor,113,1472214623.698421
NA,0,hor,3,1472214625.124962
NA,0,hor,31,1472214626.652569
NA,0,hor,26,1472214628.111777
NA,0,hor,102,1472214629.665696
NA,0,hor,24,1472214631.091125
NA,0,hor,99,1472214632.581228
NA,0,hor,67,1472214634.040605
NA,0,hor,16,1472214635.560226
NA,0,hor,77,1472214637.051301
NA,0,hor,104,1472214638.544093
NA,0,hor,2,1472214640.031179
NA,0,hor,64,1472214641.487914
NA,0,hor,94,1472214642.974448
NA,0,hor,40,1472214644.498741
NA,0,hor,5,1472214645.958624
NA,0,hor,86,1472214647.513325
NA,0,hor,111,1472214648.939046
NA,0,hor,91,1472214650.461416
NA,0,hor,27,1472214652.051062
NA,0,hor,118,1472214653.575195
