object,obj.idx,table,tab.idx,time
NA,0,hor,7,1471938075.352569
NA,0,hor,76,1471938076.843633
NA,0,hor,103,1471938078.303270
NA,0,hor,94,1471938079.823762
NA,0,hor,26,1471938081.282207
NA,0,hor,22,1471938082.843117
NA,0,hor,18,1471938084.364663
NA,0,hor,6,1471938085.884006
NA,0,hor,69,1471938087.445235
NA,0,hor,67,1471938088.867246
NA,0,hor,9,1471938090.388579
NA,0,hor,63,1471938091.943194
NA,0,hor,117,1471938093.464526
NA,0,hor,109,1471938095.022231
NA,0,hor,55,1471938096.479586
NA,0,hor,46,1471938098.069240
NA,0,hor,4,1471938099.491810
NA,0,hor,45,1471938100.986699
NA,0,hor,61,1471938102.516050
NA,0,hor,50,1471938104.101730
NA,0,hor,85,1471938105.624165
NA,0,hor,68,1471938107.047567
NA,0,hor,12,1471938108.469381
NA,0,hor,32,1471938110.024549
NA,0,hor,39,1471938111.514768
NA,0,hor,44,1471938112.940915
NA,0,hor,35,1471938114.528120
NA,0,hor,23,1471938116.119603
NA,0,hor,49,1471938117.706866
NA,0,hor,3,1471938119.296121
NA,0,hor,48,1471938120.784401
NA,0,hor,27,1471938122.341723
NA,0,hor,72,1471938123.893329
NA,0,hor,100,1471938125.383534
NA,0,hor,14,1471938126.839782
NA,0,hor,28,1471938128.359843
NA,0,hor,33,1471938129.949255
NA,0,hor,40,1471938131.506634
NA,0,hor,71,1471938132.927656
NA,0,hor,92,1471938134.415120
NA,0,hor,98,1471938135.844287
NA,0,hor,113,1471938137.330340
NA,0,hor,43,1471938138.922662
NA,0,hor,91,1471938140.479235
NA,0,hor,74,1471938141.999226
NA,0,hor,89,1471938143.422418
NA,0,hor,19,1471938144.978639
NA,0,hor,37,1471938146.435364
NA,0,hor,112,1471938147.923629
NA,0,hor,5,1471938149.480636
NA,0,hor,30,1471938151.034946
NA,0,hor,106,1471938152.426983
NA,0,hor,16,1471938153.883717
NA,0,hor,90,1471938155.372992
NA,0,hor,66,1471938156.896515
NA,0,hor,42,1471938158.418317
NA,0,hor,119,1471938159.910670
NA,0,hor,111,1471938161.401971
NA,0,hor,62,1471938162.926767
NA,0,hor,115,1471938164.350136
NA,0,hor,70,1471938165.909918
NA,0,hor,53,1471938167.429581
NA,0,hor,95,1471938168.853952
NA,0,hor,58,1471938170.379728
NA,0,hor,86,1471938171.933310
NA,0,hor,79,1471938173.392241
NA,0,hor,87,1471938174.983995
NA,0,hor,24,1471938176.441604
NA,0,hor,31,1471938177.902122
NA,0,hor,108,1471938179.423272
NA,0,hor,56,1471938180.911965
NA,0,hor,97,1471938182.469173
NA,0,hor,1,1471938183.959513
NA,0,hor,52,1471938185.480019
NA,0,hor,64,1471938186.936946
NA,0,hor,118,1471938188.391930
NA,0,hor,116,1471938189.916025
NA,0,hor,47,1471938191.338887
NA,0,hor,60,1471938192.926313
NA,0,hor,59,1471938194.382910
NA,0,hor,65,1471938195.805755
NA,0,hor,75,1471938197.328260
NA,0,hor,101,1471938198.918128
NA,0,hor,104,1471938200.477932
NA,0,hor,20,1471938202.038325
NA,0,hor,84,1471938203.594011
NA,0,hor,11,1471938205.083454
NA,0,hor,51,1471938206.512002
NA,0,hor,81,1471938207.969443
NA,0,hor,107,1471938209.390880
NA,0,hor,83,1471938210.912397
NA,0,hor,73,1471938212.473546
NA,0,hor,105,1471938213.861091
NA,0,hor,102,1471938215.417543
NA,0,hor,17,1471938216.946238
NA,0,hor,36,1471938218.535275
NA,0,hor,96,1471938220.025319
NA,0,hor,10,1471938221.550205
NA,0,hor,2,1471938223.107289
NA,0,hor,34,1471938224.562992
NA,0,hor,0,1471938226.151350
NA,0,hor,88,1471938227.672571
NA,0,hor,82,1471938229.195567
NA,0,hor,29,1471938230.717901
NA,0,hor,110,1471938232.308269
NA,0,hor,77,1471938233.732702
NA,0,hor,114,1471938235.292028
NA,0,hor,78,1471938236.913940
NA,0,hor,25,1471938238.434926
NA,0,hor,54,1471938239.891413
NA,0,hor,57,1471938241.419145
NA,0,hor,15,1471938242.879844
NA,0,hor,38,1471938244.336164
NA,0,hor,13,1471938245.822626
NA,0,hor,80,1471938247.345471
NA,0,hor,8,1471938248.734124
NA,0,hor,41,1471938250.324844
NA,0,hor,99,1471938251.782524
NA,0,hor,93,1471938253.208130
NA,0,hor,21,1471938254.727819
