stimulus,angle,response,time
1,-29.50,right,1472219971.162888
100,20.00,right,1472220040.112583
110,25.00,right,1472220041.482242
3,-28.50,left,1472220043.046276
27,-16.50,left,1472220044.580248
115,27.50,right,1472220046.199236
30,-15.00,left,1472220047.500359
111,25.50,right,1472220049.076652
72,6.00,left,1472220050.720882
9,-25.50,left,1472220052.311515
16,-22.00,left,1472220053.573796
96,18.00,right,1472220055.192391
68,4.00,left,1472220056.783206
34,-13.00,left,1472220058.153675
0,-30.00,left,1472220059.579844
98,19.00,right,1472220061.266464
2,-29.00,left,1472220062.649664
62,1.00,left,1472220064.142564
7,-26.50,left,1472220065.692035
117,28.50,right,1472220067.227079
59,-0.50,left,1472220068.624224
13,-23.50,left,1472220070.213907
118,29.00,right,1472220071.639425
116,28.00,right,1472220073.105078
38,-11.00,left,1472220074.517019
22,-19.00,left,1472220076.036678
53,-3.50,left,1472220077.656291
113,26.50,right,1472220079.080927
83,11.50,right,1472220081.246660
50,-5.00,left,1472220082.082710
79,9.50,right,1472220083.727671
73,6.50,left,1472220085.428092
42,-9.00,left,1472220086.895670
76,8.00,right,1472220088.377431
108,24.00,right,1472220089.761055
104,22.00,right,1472220091.187379
63,1.50,left,1472220092.788710
17,-21.50,left,1472220094.762230
119,29.50,right,1472220096.064256
29,-15.50,left,1472220097.256075
87,13.50,right,1472220098.791761
28,-16.00,left,1472220100.383215
107,23.50,right,1472220101.701001
90,15.00,right,1472220103.538234
58,-1.00,left,1472220104.688897
94,17.00,right,1472220106.156108
55,-2.50,left,1472220107.676702
20,-20.00,left,1472220109.280821
39,-10.50,left,1472220110.678981
106,23.00,right,1472220112.255034
75,7.50,left,1472220113.942510
11,-24.50,left,1472220115.271681
12,-24.00,left,1472220116.613614
47,-6.50,left,1472220118.106566
35,-12.50,left,1472220119.574714
43,-8.50,left,1472220120.930748
84,12.00,right,1472220122.453075
19,-20.50,left,1472220123.852002
25,-17.50,left,1472220125.317789
5,-27.50,left,1472220126.756862
4,-28.00,left,1472220128.209807
64,2.00,left,1472220130.074061
88,14.00,right,1472220131.388883
77,8.50,right,1472220132.759055
78,9.00,right,1472220134.292576
93,16.50,right,1472220135.771980
109,24.50,right,1472220137.211293
65,2.50,left,1472220138.774052
31,-14.50,left,1472220140.774009
60,0.00,left,1472220141.896695
15,-22.50,left,1472220143.459302
40,-10.00,left,1472220144.802075
14,-23.00,left,1472220146.391458
10,-25.00,left,1472220148.104534
37,-11.50,left,1472220149.323952
71,5.50,left,1472220151.202506
41,-9.50,left,1472220152.462401
21,-19.50,left,1472220154.216489
105,22.50,right,1472220155.818687
23,-18.50,left,1472220156.792455
69,4.50,left,1472220158.259169
112,26.00,right,1472220159.726842
103,21.50,right,1472220161.411900
52,-4.00,left,1472220162.989706
48,-6.00,left,1472220164.673942
44,-8.00,left,1472220165.852804
6,-27.00,left,1472220167.400509
8,-26.00,left,1472220168.882065
81,10.50,right,1472220170.652928
114,27.00,right,1472220172.022604
97,18.50,right,1472220173.449475
57,-1.50,left,1472220175.067282
18,-21.00,left,1472220176.424352
24,-18.00,left,1472220178.030645
32,-14.00,left,1472220179.566292
80,10.00,right,1472220181.401618
92,16.00,right,1472220182.579321
91,15.50,right,1472220184.019193
51,-4.50,left,1472220185.527048
89,14.50,right,1472220187.129601
46,-7.00,left,1472220188.556189
67,3.50,left,1472220190.407500
99,19.50,right,1472220191.777977
56,-2.00,left,1472220193.094638
36,-12.00,left,1472220194.506903
54,-3.00,left,1472220196.057331
85,12.50,right,1472220197.663034
45,-7.50,left,1472220199.075422
95,17.50,right,1472220200.678296
74,7.00,left,1472220202.392149
101,20.50,right,1472220203.707971
26,-17.00,left,1472220205.175313
70,5.00,left,1472220207.067004
82,11.00,right,1472220208.135339
49,-5.50,left,1472220209.533109
86,13.00,right,1472220211.083236
61,0.50,left,1472220212.427164
66,3.00,left,1472220213.961546
102,21.00,right,1472220215.580311
33,-13.50,left,1472220216.949546
