stimulus,angle,response,time
58,-1.00,left,1478703046.350215
37,-11.50,right,1478703116.012916
35,-12.50,right,1478703117.496288
33,-13.50,right,1478703118.775065
9,-25.50,right,1478703120.231766
24,-18.00,right,1478703121.743325
39,-10.50,right,1478703123.362742
29,-15.50,right,1478703124.954577
57,-1.50,left,1478703126.533703
61,0.50,left,1478703127.907378
3,-28.50,right,1478703129.377187
49,-5.50,right,1478703131.023205
97,18.50,left,1478703132.629741
79,9.50,left,1478703134.017953
68,4.00,left,1478703135.446141
71,5.50,left,1478703136.956621
1,-29.50,right,1478703138.480684
108,24.00,left,1478703140.045815
103,21.50,left,1478703141.434125
8,-26.00,right,1478703142.944490
119,29.50,left,1478703144.428109
30,-15.00,right,1478703146.007340
55,-2.50,right,1478703147.586922
112,26.00,left,1478703148.920377
92,16.00,left,1478703150.295085
75,7.50,left,1478703151.778233
53,-3.50,right,1478703153.356754
111,25.50,left,1478703154.718958
110,25.00,left,1478703156.078553
5,-27.50,right,1478703157.507372
91,15.50,left,1478703159.085227
65,2.50,right,1478703160.787876
100,20.00,left,1478703162.243365
90,15.00,left,1478703163.617797
80,10.00,left,1478703165.155831
15,-22.50,right,1478703166.747801
51,-4.50,right,1478703168.679174
69,4.50,left,1478703169.971550
105,22.50,left,1478703171.480809
11,-24.50,right,1478703172.869447
27,-16.50,right,1478703174.377664
43,-8.50,right,1478703176.214859
16,-22.00,right,1478703177.412452
45,-7.50,left,1478703178.949899
66,3.00,left,1478703180.473067
12,-24.00,right,1478703181.889379
107,23.50,left,1478703183.384251
2,-29.00,right,1478703184.838761
60,0.00,left,1478703186.851146
84,12.00,left,1478703187.925078
63,1.50,left,1478703189.271501
19,-20.50,right,1478703190.673170
67,3.50,left,1478703192.413246
6,-27.00,right,1478703193.732468
114,27.00,left,1478703195.215344
89,14.50,left,1478703196.752863
95,17.50,left,1478703198.304497
98,19.00,left,1478703199.800537
118,29.00,left,1478703201.311179
48,-6.00,left,1478703203.012267
20,-20.00,right,1478703204.808170
70,5.00,left,1478703205.964481
102,21.00,left,1478703207.434781
64,2.00,left,1478703209.054059
26,-17.00,right,1478703210.713857
28,-16.00,right,1478703212.073568
36,-12.00,right,1478703213.447645
54,-3.00,left,1478703214.999282
0,-30.00,right,1478703216.442105
113,26.50,left,1478703217.870683
22,-19.00,right,1478703219.448604
87,13.50,left,1478703220.809615
18,-21.00,right,1478703222.483280
17,-21.50,right,1478703223.964998
31,-14.50,right,1478703225.325734
83,11.50,left,1478703226.904762
115,27.50,left,1478703228.456720
25,-17.50,right,1478703230.007724
109,24.50,left,1478703231.463206
56,-2.00,left,1478703233.206093
47,-6.50,left,1478703235.097422
41,-9.50,left,1478703236.511410
96,18.00,left,1478703237.776593
32,-14.00,right,1478703239.286781
59,-0.50,left,1478703240.742042
44,-8.00,left,1478703242.334375
88,14.00,left,1478703243.763569
42,-9.00,left,1478703245.083692
34,-13.00,left,1478703246.785642
86,13.00,left,1478703248.038240
50,-5.00,left,1478703249.751703
106,23.00,left,1478703251.274387
99,19.50,left,1478703252.687314
62,1.00,left,1478703254.034084
13,-23.50,right,1478703255.449805
40,-10.00,right,1478703257.298694
94,17.00,left,1478703258.550651
7,-26.50,right,1478703260.047416
104,22.00,left,1478703261.680855
10,-25.00,right,1478703263.053222
77,8.50,right,1478703264.534623
74,7.00,left,1478703266.073227
23,-18.50,right,1478703267.869128
73,6.50,right,1478703269.147703
78,9.00,left,1478703270.847663
117,28.50,left,1478703272.290435
81,10.50,left,1478703273.826418
85,12.50,left,1478703275.348466
21,-19.50,right,1478703277.061668
52,-4.00,left,1478703278.558073
72,6.00,left,1478703279.973801
76,8.00,left,1478703281.429948
116,28.00,left,1478703283.034978
82,11.00,left,1478703284.517774
93,16.50,left,1478703286.014529
14,-23.00,right,1478703287.457153
38,-11.00,right,1478703289.035744
101,20.50,left,1478703290.275090
4,-28.00,right,1478703292.016338
46,-7.00,left,1478703293.539072
