object,obj.idx,table,tab.idx,time
NA,0,egol,6,1468830922.968757
NA,0,egol,103,1468830924.396165
NA,0,egol,51,1468830926.020037
NA,0,egol,64,1468830927.477641
NA,0,egol,118,1468830928.969378
NA,0,egol,8,1468830930.490240
NA,0,egol,34,1468830932.110432
NA,0,egol,38,1468830933.535640
NA,0,egol,11,1468830935.055240
NA,0,egol,45,1468830936.612928
NA,0,egol,10,1468830938.168331
NA,0,egol,97,1468830939.591672
NA,0,egol,30,1468830941.114343
NA,0,egol,60,1468830942.707699
NA,0,egol,114,1468830944.229172
NA,0,egol,66,1468830945.784983
NA,0,egol,89,1468830947.276484
NA,0,egol,119,1468830948.764014
NA,0,egol,63,1468830950.354317
NA,0,egol,5,1468830951.745046
NA,0,egol,58,1468830953.171705
NA,0,egol,52,1468830954.725703
NA,0,egol,55,1468830956.246214
NA,0,egol,87,1468830957.702812
NA,0,egol,22,1468830959.290856
NA,0,egol,54,1468830960.815281
NA,0,egol,109,1468830962.238642
NA,0,egol,41,1468830963.761106
NA,0,egol,94,1468830965.352626
NA,0,egol,15,1468830966.806098
NA,0,egol,33,1468830968.230539
NA,0,egol,25,1468830969.785686
NA,0,egol,105,1468830971.340993
NA,0,egol,48,1468830972.830934
NA,0,egol,28,1468830974.354415
NA,0,egol,90,1468830975.777603
NA,0,egol,2,1468830977.204579
NA,0,egol,104,1468830978.796460
NA,0,egol,72,1468830980.285214
NA,0,egol,31,1468830981.836571
NA,0,egol,101,1468830983.391699
NA,0,egol,82,1468830984.987059
NA,0,egol,110,1468830986.445405
NA,0,egol,79,1468830987.836157
NA,0,egol,113,1468830989.359899
NA,0,egol,96,1468830990.850687
NA,0,egol,7,1468830992.440807
NA,0,egol,78,1468830993.895455
NA,0,egol,53,1468830995.351272
NA,0,egol,37,1468830996.908997
NA,0,egol,77,1468830998.429939
NA,0,egol,85,1468831000.022913
NA,0,egol,47,1468831001.610372
NA,0,egol,95,1468831003.171532
NA,0,egol,27,1468831004.693382
NA,0,egol,50,1468831006.213862
NA,0,egol,24,1468831007.773640
NA,0,egol,12,1468831009.329347
NA,0,egol,98,1468831010.786890
NA,0,egol,86,1468831012.242135
NA,0,egol,70,1468831013.665490
NA,0,egol,14,1468831015.121850
NA,0,egol,106,1468831016.646712
NA,0,egol,17,1468831018.105413
NA,0,egol,83,1468831019.628360
NA,0,egol,62,1468831021.116632
NA,0,egol,99,1468831022.573092
NA,0,egol,43,1468831023.998205
NA,0,egol,4,1468831025.553392
NA,0,egol,71,1468831027.144003
NA,0,egol,3,1468831028.733787
NA,0,egol,36,1468831030.191519
NA,0,egol,115,1468831031.617877
NA,0,egol,107,1468831033.176239
NA,0,egol,93,1468831034.698770
NA,0,egol,108,1468831036.189255
NA,0,egol,59,1468831037.647690
NA,0,egol,74,1468831039.170385
NA,0,egol,88,1468831040.627856
NA,0,egol,117,1468831042.050195
NA,0,egol,23,1468831043.574229
NA,0,egol,81,1468831045.097939
NA,0,egol,91,1468831046.618707
NA,0,egol,21,1468831048.243649
NA,0,egol,68,1468831049.698731
NA,0,egol,44,1468831051.257113
NA,0,egol,1,1468831052.749408
NA,0,egol,100,1468831054.269260
NA,0,egol,20,1468831055.688956
NA,0,egol,32,1468831057.145431
NA,0,egol,76,1468831058.602145
NA,0,egol,18,1468831060.158604
NA,0,egol,0,1468831061.749066
NA,0,egol,16,1468831063.306977
NA,0,egol,67,1468831064.730016
NA,0,egol,39,1468831066.259002
NA,0,egol,92,1468831067.783163
NA,0,egol,19,1468831069.240687
NA,0,egol,80,1468831070.794311
NA,0,egol,40,1468831072.251788
NA,0,egol,84,1468831073.775221
NA,0,egol,9,1468831075.262943
NA,0,egol,35,1468831076.821436
NA,0,egol,57,1468831078.280378
NA,0,egol,56,1468831079.803574
NA,0,egol,49,1468831081.330795
NA,0,egol,13,1468831082.885967
NA,0,egol,75,1468831084.442457
NA,0,egol,46,1468831086.034028
NA,0,egol,29,1468831087.621337
NA,0,egol,42,1468831089.076709
NA,0,egol,73,1468831090.568621
NA,0,egol,111,1468831091.992045
NA,0,egol,102,1468831093.516258
NA,0,egol,61,1468831094.973929
NA,0,egol,69,1468831096.432033
NA,0,egol,26,1468831097.956037
NA,0,egol,116,1468831099.382638
NA,0,egol,65,1468831100.906268
NA,0,egol,112,1468831102.432558
