object,stimulus,angle,response,time
mid,92,51.00,left,1487315298.447628
low,85,47.50,left,1487315305.589707
low,39,24.50,left,1487315307.074740
high,71,40.50,right,1487315308.545028
low,86,48.00,right,1487315309.906268
low,77,43.50,left,1487315311.607802
high,15,12.50,right,1487315312.860497
high,115,62.50,right,1487315314.439803
high,21,15.50,left,1487315316.059856
mid,80,45.00,right,1487315317.353033
mid,3,6.50,left,1487315318.932158
mid,34,22.00,right,1487315320.620200
low,109,59.50,right,1487315321.927489
high,87,48.50,right,1487315323.354335
low,36,23.00,right,1487315324.916926
high,33,21.50,right,1487315326.550321
mid,65,37.50,right,1487315327.938818
mid,45,27.50,left,1487315329.408934
mid,48,29.00,left,1487315331.082684
mid,29,19.50,right,1487315332.526381
low,24,17.00,left,1487315333.982826
low,13,11.50,right,1487315335.697613
high,108,59.00,right,1487315336.936591
high,47,28.50,right,1487315338.665494
mid,43,26.50,left,1487315339.808804
mid,42,26.00,right,1487315341.551137
low,119,64.50,right,1487315343.008040
low,61,35.50,right,1487315344.490821
high,40,25.00,left,1487315345.838434
high,44,27.00,right,1487315347.130339
low,16,13.00,right,1487315348.831391
mid,51,30.50,right,1487315350.369939
high,32,21.00,left,1487315351.975366
high,16,13.00,left,1487315353.471362
mid,66,38.00,left,1487315354.806062
low,34,22.00,left,1487315356.317377
low,94,52.00,right,1487315357.788013
high,37,23.50,left,1487315359.326341
low,117,63.50,right,1487315360.646772
mid,76,43.00,right,1487315362.076412
high,85,47.50,right,1487315363.587421
mid,59,34.50,right,1487315365.180861
low,22,16.00,left,1487315366.569454
high,41,25.50,right,1487315368.448450
mid,20,15.00,left,1487315369.660769
high,95,52.50,right,1487315371.144844
mid,88,49.00,right,1487315372.736263
low,45,27.50,left,1487315374.178508
low,83,46.50,right,1487315375.594974
high,46,28.00,left,1487315377.105812
low,50,30.00,right,1487315378.576406
mid,13,11.50,left,1487315380.196459
low,42,26.00,left,1487315381.830508
high,112,61.00,right,1487315383.218553
mid,23,16.50,left,1487315384.851594
high,114,62.00,right,1487315386.267302
mid,47,28.50,left,1487315387.642197
low,80,45.00,right,1487315389.303530
high,1,5.50,left,1487315390.882958
mid,84,47.00,right,1487315392.433159
mid,62,36.00,left,1487315393.820980
mid,37,23.50,right,1487315395.291588
high,116,63.00,left,1487315396.789476
low,14,12.00,right,1487315398.423269
low,72,41.00,left,1487315399.920579
mid,79,44.50,right,1487315401.349989
mid,30,20.00,left,1487315402.915438
low,28,19.00,right,1487315404.345104
high,70,40.00,right,1487315405.897407
high,27,18.50,left,1487315407.422129
low,79,44.50,right,1487315408.810367
high,22,16.00,left,1487315410.403993
mid,86,48.00,right,1487315411.996863
low,67,38.50,left,1487315413.534137
low,98,54.00,right,1487315414.963447
high,107,58.50,left,1487315416.446329
mid,97,53.50,right,1487315418.051375
low,3,6.50,left,1487315419.603243
low,113,61.50,right,1487315420.950742
high,77,43.50,right,1487315422.570112
mid,94,52.00,left,1487315424.257646
high,98,54.00,right,1487315425.565044
mid,101,55.50,right,1487315427.075599
high,113,61.50,right,1487315428.464565
high,66,38.00,left,1487315430.139971
mid,96,53.00,right,1487315431.447217
mid,61,35.50,left,1487315433.163133
low,52,31.00,right,1487315434.632654
low,88,49.00,right,1487315436.225801
low,38,24.00,left,1487315437.655587
high,26,18.00,left,1487315439.249001
high,18,14.00,right,1487315440.883001
high,45,27.50,right,1487315442.202676
mid,68,39.00,right,1487315443.754205
low,32,21.00,left,1487315445.087820
mid,102,56.00,right,1487315446.639504
high,5,7.50,left,1487315448.122917
low,104,57.00,right,1487315449.647526
high,19,14.50,left,1487315451.212682
low,19,14.50,left,1487315452.791296
mid,82,46.00,right,1487315454.261578
low,101,55.50,right,1487315455.786180
high,97,53.50,right,1487315457.309263
mid,35,22.50,left,1487315458.901563
low,110,60.00,right,1487315460.303477
high,2,6.00,left,1487315461.746600
mid,58,34.00,right,1487315463.269978
mid,55,32.50,right,1487315464.836234
low,107,58.50,right,1487315466.483412
mid,87,48.50,right,1487315468.020797
low,5,7.50,left,1487315469.561118
mid,46,28.00,right,1487315470.989207
high,94,52.00,left,1487315472.540647
high,62,36.00,right,1487315474.036710
mid,11,10.50,left,1487315475.384607
low,25,17.50,right,1487315476.813575
high,17,13.50,left,1487315478.365392
low,21,15.50,left,1487315480.053377
high,6,8.00,left,1487315481.469357
mid,64,37.00,right,1487315483.020304
mid,67,38.50,right,1487315516.775200
low,89,49.50,right,1487315518.041351
high,9,9.50,left,1487315519.647472
low,12,11.00,left,1487315521.103427
high,36,23.00,right,1487315522.613797
mid,105,57.50,right,1487315524.056637
high,3,6.50,left,1487315525.540476
mid,85,47.50,right,1487315527.051515
mid,0,5.00,left,1487315528.671375
high,119,64.50,right,1487315530.249480
low,0,5.00,left,1487315531.772896
low,114,62.00,right,1487315533.229243
mid,109,59.50,right,1487315534.808453
mid,63,36.50,right,1487315536.429168
low,74,42.00,right,1487315537.953142
high,64,37.00,right,1487315539.478011
mid,18,14.00,left,1487315540.962480
low,108,59.00,right,1487315542.528002
high,43,26.50,right,1487315544.052710
high,29,19.50,left,1487315545.577729
low,97,53.50,right,1487315546.980106
low,63,36.50,left,1487315548.422212
high,25,17.50,left,1487315550.028543
mid,104,57.00,right,1487315551.294347
mid,5,7.50,left,1487315552.601759
high,73,41.50,right,1487315554.126758
mid,117,63.50,right,1487315555.787486
high,105,57.50,right,1487315557.256917
low,20,15.00,left,1487315558.917896
high,96,53.00,right,1487315560.456725
mid,98,54.00,right,1487315561.954577
mid,8,9.00,left,1487315563.479468
low,58,34.00,left,1487315564.922120
high,31,20.50,left,1487315566.447317
low,100,55.00,right,1487315567.890364
low,92,51.00,right,1487315569.510738
mid,17,13.50,left,1487315570.899014
low,105,57.50,right,1487315572.327564
low,17,13.50,left,1487315573.892537
mid,33,21.50,right,1487315575.294297
mid,44,27.00,left,1487315576.912710
low,46,28.00,right,1487315578.518439
high,56,33.00,right,1487315579.934645
high,81,45.50,right,1487315581.417827
high,50,30.00,right,1487315582.956718
low,53,31.50,left,1487315584.509049
mid,113,61.50,right,1487315585.870224
high,30,20.00,left,1487315587.489992
mid,25,17.50,right,1487315589.028216
low,70,40.00,right,1487315590.634554
mid,2,6.00,left,1487315592.023340
low,57,33.50,right,1487315593.425471
mid,54,32.00,right,1487315595.017981
high,51,30.50,right,1487315596.542279
mid,81,45.50,right,1487315598.053209
low,51,30.50,left,1487315599.496023
high,60,35.00,right,1487315601.089213
high,7,8.50,left,1487315602.640300
low,62,36.00,right,1487315604.218385
high,110,60.00,right,1487315605.729089
low,99,54.50,left,1487315607.294701
mid,56,33.00,left,1487315608.778770
low,7,8.50,left,1487315610.208080
low,56,33.00,right,1487315611.705463
high,42,26.00,right,1487315613.271101
low,33,21.50,left,1487315614.632425
high,34,22.00,right,1487315616.034537
mid,49,29.50,left,1487315617.653961
mid,93,51.50,right,1487315619.014948
high,78,44.00,left,1487315620.417792
high,83,46.50,right,1487315621.833899
mid,115,62.50,right,1487315623.304153
high,23,16.50,left,1487315624.842285
mid,83,46.50,right,1487315626.326186
high,99,54.50,right,1487315627.796626
mid,28,19.00,left,1487315629.376158
low,27,18.50,right,1487315630.819523
high,52,31.00,right,1487315632.303446
mid,112,61.00,right,1487315633.799980
low,54,32.00,right,1487315635.488103
low,82,46.00,left,1487315636.985567
high,68,39.00,right,1487315638.183687
low,6,8.00,right,1487315639.708538
mid,71,40.50,right,1487315641.463886
low,64,37.00,right,1487315643.002265
low,96,53.00,right,1487315644.322315
high,90,50.00,right,1487315645.887765
high,109,59.50,right,1487315647.181119
mid,27,18.50,left,1487315648.759447
mid,24,17.00,right,1487315650.066173
high,72,41.00,right,1487315651.672988
low,71,40.50,left,1487315653.293431
mid,15,12.50,right,1487315654.559552
mid,6,8.00,left,1487315656.098084
high,102,56.00,right,1487315657.554877
low,4,7.00,left,1487315659.147354
mid,107,58.50,right,1487315660.630973
high,0,5.00,right,1487315662.346218
