stimulus,angle,response,time
79,9.50,right,1473411197.746939
108,24.00,right,1473411206.560370
6,-27.00,left,1473411208.097101
113,26.50,right,1473411209.634545
57,-1.50,left,1473411210.994003
95,17.50,right,1473411212.500520
8,-26.00,left,1473411214.131022
81,10.50,right,1473411215.623266
103,21.50,right,1473411217.307897
12,-24.00,left,1473411218.719001
115,27.50,right,1473411220.211832
87,13.50,right,1473411221.717318
98,19.00,right,1473411223.252844
13,-23.50,left,1473411224.746745
118,29.00,right,1473411226.243098
107,23.50,right,1473411227.736803
5,-27.50,left,1473411229.272339
39,-10.50,right,1473411230.835283
97,18.50,right,1473411232.414345
92,16.00,right,1473411233.852195
82,11.00,right,1473411235.387503
24,-18.00,left,1473411236.866786
47,-6.50,right,1473411238.388060
78,9.00,right,1473411239.717164
101,20.50,right,1473411241.280542
88,14.00,right,1473411242.910904
73,6.50,left,1473411244.295870
17,-21.50,left,1473411245.860445
114,27.00,right,1473411247.176260
84,12.00,right,1473411248.683715
74,7.00,right,1473411250.369040
75,7.50,right,1473411251.956448
50,-5.00,left,1473411253.449556
80,10.00,right,1473411255.012072
66,3.00,right,1473411256.769083
112,26.00,right,1473411257.934017
105,22.50,right,1473411259.361113
30,-15.00,left,1473411260.978372
117,28.50,right,1473411262.582767
25,-17.50,left,1473411263.966167
109,24.50,right,1473411265.487744
21,-19.50,left,1473411266.927582
4,-28.00,left,1473411268.340678
20,-20.00,left,1473411269.874883
7,-26.50,left,1473411271.299833
60,0.00,right,1473411272.929623
55,-2.50,right,1473411274.621134
1,-29.50,left,1473411276.045400
51,-4.50,right,1473411277.665003
33,-13.50,left,1473411279.158057
77,8.50,right,1473411280.638736
91,15.50,right,1473411282.132080
72,6.00,left,1473411283.652838
36,-12.00,left,1473411285.379920
44,-8.00,left,1473411286.752159
89,14.50,right,1473411288.274730
85,12.50,right,1473411289.713780
27,-16.50,left,1473411291.264956
62,1.00,right,1473411292.706576
14,-23.00,left,1473411294.133706
76,8.00,right,1473411295.613705
10,-25.00,left,1473411297.081554
19,-20.50,left,1473411298.657113
38,-11.00,left,1473411300.233749
15,-22.50,left,1473411301.618269
3,-28.50,left,1473411303.167549
26,-17.00,left,1473411304.633471
48,-6.00,right,1473411306.180512
22,-19.00,left,1473411307.593652
86,13.00,right,1473411309.128152
96,18.00,right,1473411310.540759
9,-25.50,left,1473411312.036931
35,-12.50,left,1473411313.612269
40,-10.00,left,1473411314.997355
46,-7.00,left,1473411316.535958
102,21.00,right,1473411318.029997
111,25.50,right,1473411319.456490
2,-29.00,left,1473411321.047374
31,-14.50,left,1473411322.540884
110,25.00,right,1473411324.007239
59,-0.50,left,1473411325.530040
53,-3.50,left,1473411327.117945
63,1.50,left,1473411328.761180
56,-2.00,right,1473411330.239935
93,16.50,right,1473411331.677879
83,11.50,right,1473411333.047284
54,-3.00,left,1473411334.695163
16,-22.00,left,1473411336.203452
90,15.00,right,1473411337.904523
106,23.00,right,1473411339.343450
116,28.00,right,1473411340.783219
104,22.00,right,1473411342.264097
119,29.50,right,1473411343.772058
11,-24.50,left,1473411345.334871
34,-13.00,left,1473411346.718591
43,-8.50,left,1473411348.117534
65,2.50,left,1473411349.692383
58,-1.00,left,1473411351.392927
99,19.50,right,1473411352.859802
42,-9.00,left,1473411354.408274
28,-16.00,left,1473411356.025993
67,3.50,right,1473411357.548057
37,-11.50,left,1473411358.892679
41,-9.50,left,1473411360.415222
49,-5.50,left,1473411361.938333
61,0.50,left,1473411363.391386
64,2.00,right,1473411364.887076
45,-7.50,left,1473411366.341424
23,-18.50,left,1473411367.753638
100,20.00,right,1473411369.178082
94,17.00,right,1473411370.713407
18,-21.00,left,1473411372.288319
29,-15.50,left,1473411373.824820
68,4.00,right,1473411375.415781
69,4.50,right,1473411376.883788
0,-30.00,left,1473411378.405377
71,5.50,right,1473411379.875187
52,-4.00,left,1473411381.465744
32,-14.00,left,1473411382.918454
70,5.00,right,1473411384.440195
