stimulus,angle,response,time
27,-6.6,left,1467792979.97362
105,9,right,1467792981.30064
1,-11.8,left,1467792982.84875
62,0.4,right,1467792984.34286
32,-5.6,left,1467792985.61401
43,-3.4,left,1467792987.20331
99,7.8,right,1467792988.62855
111,10.2,right,1467792990.09377
54,-1.2,left,1467792991.81812
44,-3.2,left,1467792993.29628
26,-6.8,right,1467792995.30973
12,-9.6,left,1467792996.33679
98,7.6,right,1467792997.96536
108,9.6,right,1467792999.36119
79,3.8,right,1467793001.10085
72,2.4,right,1467793002.44405
13,-9.4,left,1467793003.82732
86,5.2,right,1467793005.27852
67,1.4,left,1467793006.97598
19,-8.2,left,1467793008.30325
2,-11.6,right,1467793009.72915
66,1.2,right,1467793011.30381
89,5.8,right,1467793012.57701
36,-4.8,right,1467793013.90648
16,-8.8,left,1467793015.86611
65,1,right,1467793017.07207
100,8,right,1467793018.27738
47,-2.6,left,1467793019.97883
10,-10,left,1467793021.63617
119,11.8,right,1467793022.92419
107,9.4,right,1467793024.52651
94,6.8,right,1467793025.88288
9,-10.2,left,1467793027.60676
109,9.8,right,1467793028.97356
58,-0.4,left,1467793030.49283
52,-1.6,left,1467793032.12026
39,-4.2,left,1467793033.62857
24,-7.2,left,1467793035.53332
88,5.6,right,1467793036.7126
69,1.8,right,1467793038.30302
23,-7.4,left,1467793039.66015
30,-6,left,1467793041.88284
114,10.8,right,1467793042.81402
21,-7.8,left,1467793044.74749
20,-8,left,1467793046.01971
7,-10.6,left,1467793047.79937
56,-0.8,right,1467793049.19692
37,-4.6,left,1467793050.99271
77,3.4,right,1467793052.39149
85,5,right,1467793053.46357
112,10.4,right,1467793054.8324
74,2.8,right,1467793056.69562
61,0.2,right,1467793057.91287
34,-5.2,left,1467793059.62604
3,-11.4,left,1467793061.44867
60,0,right,1467793062.29874
41,-3.8,right,1467793063.60112
71,2.2,right,1467793065.34034
40,-4,right,1467793067.52914
93,6.6,right,1467793068.39113
91,6.2,right,1467793069.96479
84,4.8,right,1467793071.41892
96,7.2,right,1467793072.84484
78,3.6,left,1467793074.32421
4,-11.2,left,1467793075.74863
75,3,right,1467793077.32412
48,-2.4,right,1467793079.26976
110,10,right,1467793080.33803
53,-1.4,right,1467793081.73589
116,11.2,right,1467793083.80712
25,-7,left,1467793084.76637
115,11,right,1467793086.2174
42,-3.6,left,1467793087.90355
35,-5,left,1467793089.34142
102,8.4,right,1467793090.87538
14,-9.2,left,1467793092.29855
38,-4.4,left,1467793093.72264
5,-11,left,1467793095.46118
45,-3,right,1467793097.06239
68,1.6,right,1467793098.30967
31,-5.8,left,1467793100.36682
118,11.6,right,1467793101.29926
117,11.4,right,1467793102.64401
81,4.2,right,1467793104.29092
22,-7.6,left,1467793105.97888
59,-0.2,left,1467793107.35134
113,10.6,right,1467793108.7096
29,-6.2,left,1467793110.59984
6,-10.8,left,1467793111.91343
15,-9,left,1467793113.421
49,-2.2,right,1467793115.2156
11,-9.8,right,1467793116.45975
8,-10.4,left,1467793118.19973
63,0.6,left,1467793119.39205
92,6.4,right,1467793120.99325
33,-5.4,left,1467793122.14421
104,8.8,right,1467793123.60971
50,-2,left,1467793125.03341
55,-1,right,1467793127.4838
97,7.4,right,1467793128.31844
80,4,right,1467793129.70094
95,7,right,1467793131.39823
87,5.4,right,1467793133.21989
70,2,right,1467793134.46721
28,-6.4,left,1467793135.76782
90,6,right,1467793137.50675
82,4.4,right,1467793139.42219
101,8.2,right,1467793140.57134
73,2.6,left,1467793142.02221
17,-8.6,left,1467793143.65131
76,3.2,right,1467793145.00676
106,9.2,right,1467793146.556
18,-8.4,left,1467793148.12872
83,4.6,right,1467793149.6215
57,-0.6,right,1467793151.41404
103,8.6,right,1467793152.56381
51,-1.8,left,1467793154.0037
64,0.8,left,1467793155.78306
0,-12,right,1467793156.95871
46,-2.8,left,1467793158.69972
