stimulus,angle,response,time
8,-26.00,right,1474616205.742394
78,9.00,left,1474616273.433256
69,4.50,left,1474616274.899928
62,1.00,left,1474616276.367722
5,-27.50,left,1474616277.791522
89,14.50,right,1474616279.312309
64,2.00,left,1474616281.038674
65,2.50,right,1474616282.368545
33,-13.50,left,1474616284.135214
45,-7.50,right,1474616285.615826
7,-26.50,left,1474616286.834916
55,-2.50,right,1474616288.426014
60,0.00,right,1474616290.043852
37,-11.50,left,1474616291.469369
32,-14.00,left,1474616292.991612
57,-1.50,right,1474616294.512752
42,-9.00,left,1474616296.132371
39,-10.50,left,1474616297.433768
97,18.50,right,1474616298.749402
21,-19.50,left,1474616300.228087
95,17.50,right,1474616301.804939
100,20.00,right,1474616303.327762
48,-6.00,left,1474616304.807397
86,13.00,right,1474616306.329799
9,-25.50,left,1474616307.770633
75,7.50,right,1474616309.292345
26,-17.00,left,1474616310.746783
1,-29.50,left,1474616312.406054
108,24.00,right,1474616313.875169
67,3.50,right,1474616315.366738
24,-18.00,left,1474616316.834960
44,-8.00,left,1474616318.343134
114,27.00,right,1474616319.754554
72,6.00,left,1474616321.262927
112,26.00,right,1474616322.934410
29,-15.50,left,1474616324.470258
11,-24.50,left,1474616325.813104
51,-4.50,left,1474616327.293425
23,-18.50,left,1474616328.828483
111,25.50,right,1474616330.418405
71,5.50,left,1474616331.803106
98,19.00,left,1474616333.270210
106,23.00,right,1474616334.874148
87,13.50,right,1474616336.311691
76,8.00,right,1474616337.956014
19,-20.50,left,1474616339.271243
36,-12.00,left,1474616340.587741
91,15.50,right,1474616341.970595
15,-22.50,left,1474616343.547025
46,-7.00,left,1474616345.177642
0,-30.00,left,1474616346.727393
10,-25.00,left,1474616348.152766
93,16.50,right,1474616349.634468
92,16.00,right,1474616351.114173
47,-6.50,left,1474616352.869441
35,-12.50,left,1474616354.296986
103,21.50,right,1474616355.790842
117,28.50,right,1474616357.201766
30,-15.00,left,1474616358.779179
31,-14.50,left,1474616360.257223
99,19.50,right,1474616361.669082
94,17.00,right,1474616363.067001
83,11.50,right,1474616364.615931
107,23.50,right,1474616366.138348
50,-5.00,left,1474616367.687671
68,4.00,left,1474616369.183733
82,11.00,right,1474616370.966684
70,5.00,right,1474616372.271506
73,6.50,left,1474616373.985987
110,25.00,right,1474616375.276064
25,-17.50,left,1474616376.772740
49,-5.50,left,1474616378.115290
84,12.00,right,1474616379.458324
77,8.50,right,1474616381.075500
14,-23.00,left,1474616382.567900
101,20.50,right,1474616384.156496
53,-3.50,right,1474616385.678342
17,-21.50,left,1474616387.117012
54,-3.00,left,1474616388.856395
52,-4.00,left,1474616390.267368
4,-28.00,left,1474616391.844885
6,-27.00,left,1474616393.131613
105,22.50,right,1474616394.612747
102,21.00,right,1474616396.064687
16,-22.00,left,1474616397.436420
115,27.50,right,1474616399.013357
20,-20.00,right,1474616400.563204
109,24.50,right,1474616402.166365
61,0.50,left,1474616403.742888
104,22.00,right,1474616405.211425
12,-24.00,left,1474616406.611406
41,-9.50,left,1474616408.134573
59,-0.50,left,1474616409.642900
119,29.50,right,1474616411.124186
79,9.50,right,1474616412.728389
43,-8.50,left,1474616414.030887
88,14.00,left,1474616415.581051
96,18.00,right,1474616417.349577
28,-16.00,left,1474616418.528725
113,26.50,right,1474616420.146874
2,-29.00,left,1474616421.476047
3,-28.50,left,1474616422.957683
38,-11.00,left,1474616424.563582
81,10.50,right,1474616426.397934
22,-19.00,left,1474616427.589579
40,-10.00,left,1474616429.110934
85,12.50,right,1474616430.646654
116,28.00,right,1474616432.128304
13,-23.50,left,1474616433.719902
118,29.00,right,1474616435.213150
90,15.00,right,1474616436.613593
27,-16.50,left,1474616438.080542
66,3.00,left,1474616439.754612
34,-13.00,left,1474616441.002564
74,7.00,right,1474616442.496896
18,-21.00,left,1474616443.935959
56,-2.00,right,1474616445.457976
80,10.00,right,1474616446.952325
58,-1.00,left,1474616448.379960
63,1.50,left,1474616449.818950
