object,obj.idx,table,tab.idx,time
NA,0,hor,4,1472818126.813627
NA,0,hor,41,1472818128.302062
NA,0,hor,30,1472818129.796113
NA,0,hor,29,1472818131.253722
NA,0,hor,81,1472818132.808385
NA,0,hor,118,1472818134.234816
NA,0,hor,78,1472818135.721763
NA,0,hor,44,1472818137.213076
NA,0,hor,113,1472818138.768192
NA,0,hor,64,1472818140.296533
NA,0,hor,90,1472818141.886447
NA,0,hor,87,1472818143.310605
NA,0,hor,116,1472818144.801560
NA,0,hor,14,1472818146.260357
NA,0,hor,105,1472818147.850833
NA,0,hor,82,1472818149.372505
NA,0,hor,52,1472818150.928851
NA,0,hor,9,1472818152.352569
NA,0,hor,50,1472818153.876322
NA,0,hor,20,1472818155.335089
NA,0,hor,68,1472818156.858714
NA,0,hor,74,1472818158.449545
NA,0,hor,115,1472818160.035246
NA,0,hor,57,1472818161.459063
NA,0,hor,5,1472818162.883228
NA,0,hor,6,1472818164.405957
NA,0,hor,71,1472818165.960118
NA,0,hor,3,1472818167.548607
NA,0,hor,104,1472818169.035616
NA,0,hor,25,1472818170.623537
NA,0,hor,21,1472818172.213640
NA,0,hor,18,1472818173.738289
NA,0,hor,36,1472818175.227682
NA,0,hor,22,1472818176.781248
NA,0,hor,89,1472818178.334277
NA,0,hor,88,1472818179.889240
NA,0,hor,101,1472818181.420142
NA,0,hor,49,1472818182.879789
NA,0,hor,47,1472818184.467197
NA,0,hor,45,1472818185.956242
NA,0,hor,102,1472818187.383414
NA,0,hor,117,1472818188.903799
NA,0,hor,100,1472818190.325651
NA,0,hor,8,1472818191.818210
NA,0,hor,110,1472818193.305549
NA,0,hor,92,1472818194.829277
NA,0,hor,12,1472818196.254639
NA,0,hor,66,1472818197.744715
NA,0,hor,13,1472818199.233059
NA,0,hor,72,1472818200.759593
NA,0,hor,40,1472818202.348216
NA,0,hor,56,1472818203.804353
NA,0,hor,1,1472818205.226682
NA,0,hor,2,1472818206.819592
NA,0,hor,77,1472818208.280445
NA,0,hor,96,1472818209.869860
NA,0,hor,69,1472818211.292268
NA,0,hor,34,1472818212.683798
NA,0,hor,111,1472818214.303387
NA,0,hor,109,1472818215.727473
NA,0,hor,38,1472818217.183577
NA,0,hor,84,1472818218.706607
NA,0,hor,31,1472818220.157628
NA,0,hor,35,1472818221.679135
NA,0,hor,94,1472818223.201242
NA,0,hor,60,1472818224.660224
NA,0,hor,119,1472818226.116571
NA,0,hor,0,1472818227.572180
NA,0,hor,62,1472818229.131763
NA,0,hor,39,1472818230.557703
NA,0,hor,32,1472818232.113571
NA,0,hor,91,1472818233.567585
NA,0,hor,103,1472818235.055965
NA,0,hor,61,1472818236.511436
NA,0,hor,33,1472818238.033326
NA,0,hor,17,1472818239.626518
NA,0,hor,10,1472818241.116538
NA,0,hor,93,1472818242.604269
NA,0,hor,24,1472818244.194388
NA,0,hor,98,1472818245.652198
NA,0,hor,70,1472818247.075465
NA,0,hor,114,1472818248.530216
NA,0,hor,108,1472818250.023296
NA,0,hor,97,1472818251.548054
NA,0,hor,11,1472818252.979052
NA,0,hor,48,1472818254.503334
NA,0,hor,65,1472818256.059169
NA,0,hor,76,1472818257.623825
NA,0,hor,28,1472818259.050731
NA,0,hor,37,1472818260.506753
NA,0,hor,85,1472818262.059527
NA,0,hor,79,1472818263.486332
NA,0,hor,63,1472818264.944193
NA,0,hor,54,1472818266.362871
NA,0,hor,99,1472818267.885625
NA,0,hor,55,1472818269.374341
NA,0,hor,19,1472818270.928337
NA,0,hor,42,1472818272.451768
NA,0,hor,106,1472818273.938479
NA,0,hor,73,1472818275.525900
NA,0,hor,26,1472818276.981942
NA,0,hor,80,1472818278.402609
NA,0,hor,27,1472818279.891631
NA,0,hor,43,1472818281.481790
NA,0,hor,59,1472818282.910014
NA,0,hor,7,1472818284.464960
NA,0,hor,83,1472818285.955065
NA,0,hor,112,1472818287.542539
NA,0,hor,46,1472818288.963303
NA,0,hor,67,1472818290.552333
NA,0,hor,58,1472818292.045111
NA,0,hor,75,1472818293.565238
NA,0,hor,86,1472818294.988572
NA,0,hor,16,1472818296.543888
NA,0,hor,23,1472818298.035542
NA,0,hor,51,1472818299.521491
NA,0,hor,95,1472818300.978932
NA,0,hor,15,1472818302.530709
NA,0,hor,53,1472818304.018532
NA,0,hor,107,1472818305.573483
